feature,importance
macd_histogram,0.08565207549057054
bb_width,0.07032793143405403
volatility_10,0.05152226040193285
rsi_14,0.051167594883737164
returns,0.04188275902669315
macd,0.04124736382604359
log_returns,0.04040490790875735
momentum_5,0.040375799227033576
return,0.04008765533619296
macd_diff,0.04007586009192092
log_return,0.03964471337682933
momentum_1,0.037683540924227855
macd_signal,0.03677635023329574
momentum_10,0.03612034617974556
bb_low,0.034215150218370946
price_lag_3,0.031127448536930537
bb_high,0.030191068484887167
price_lag_1,0.028002375719934004
price,0.02788506814486007
low,0.0278323619173516
open,0.027383432036676612
price_lag_2,0.026420682966973634
high,0.025314103785597387
sma_50,0.024252680142893453
ema_50,0.0231804363814542
sma_10,0.0214590042114938
ema_10,0.01976702911154203
