date,open,high,low,price,token_address,returns,log_returns,sma_10,sma_50,ema_10,ema_50,volatility_10,volatility_50,rsi_14,macd,macd_signal,macd_histogram,momentum_1,momentum_5,momentum_10,return,log_return,macd_diff,bb_high,bb_low,bb_width,price_lag_1,price_lag_2,price_lag_3,volume_sma_10,volume_sma_50,action_label
2024-12-11,3.429e-05,3.441e-05,2.701e-05,2.946e-05,$truth,-0.1416083916083915,-0.1526948635852772,2.946e-05,2.946e-05,2.946e-05,2.946e-05,,,100.0,0.0,0.0,-1.4451830902439929e-05,,,,,,0.0,2.946e-05,2.946e-05,0.0,,,,,,1
2024-12-15,2.759e-05,2.987e-05,2.704e-05,2.729e-05,$truth,-0.0736591989137813,-0.076513076314237,2.8375e-05,2.8375e-05,2.9065454545454543e-05,2.9374901960784314e-05,,,0.0,-1.7310541310541254e-07,-3.462108262108251e-08,-1.591693432414762e-05,-2.169999999999998e-06,,,-0.07365919891378137,-0.07651307631423707,-1.3848433048433004e-07,3.054499999999999e-05,2.6205000000000004e-05,15.295154185021989,2.946e-05,,,,,1
2024-12-19,2.732e-05,2.884e-05,2.546e-05,2.546e-05,$truth,-0.0670575302308538,-0.0694117415909866,2.7403333333333332e-05,2.7403333333333332e-05,2.8409917355371897e-05,2.9221376393694733e-05,,,0.0,-4.527395069845198e-07,-1.1824476749376998e-07,-1.2739674490431716e-06,-1.8300000000000011e-06,,,-0.06705753023085381,-0.06941174159098666,-3.3449473949074983e-07,3.067325008388762e-05,2.4133416582779043e-05,23.865102181396107,2.729e-05,2.946e-05,,,,1
2024-12-23,2.539e-05,2.573e-05,2.136e-05,2.217e-05,$truth,-0.129222309505106,-0.1383685695010403,2.6095e-05,2.6095e-05,2.7275386927122462e-05,2.8944851829236118e-05,,,0.0,-9.291167656421152e-07,-2.80419167123439e-07,5.3133984253660685e-06,-3.2900000000000007e-06,,,-0.12922230950510605,-0.13836856950104037,-6.486975985186762e-07,3.143916504236162e-05,2.075083495763838e-05,40.95930287305325,2.546e-05,2.729e-05,2.946e-05,,,1
2024-12-31,2.103e-05,2.168e-05,2.085e-05,2.085e-05,$truth,-0.0595399188092016,-0.0613860753834096,2.5045999999999997e-05,2.5045999999999997e-05,2.610713475855474e-05,2.8627406659462156e-05,,,0.0,-1.397057731648584e-06,-5.037468800284681e-07,9.56470137424346e-06,-1.320000000000001e-06,,,-0.05953991880920162,-0.061386075383409636,-8.933108516201159e-07,3.140638489401388e-05,1.8685615105986113e-05,50.789626239829786,2.217e-05,2.546e-05,2.729e-05,,,1
2025-01-04,2.21e-05,2.333e-05,2.192e-05,2.329e-05,$truth,0.1170263788968826,0.1106701356514392,2.4753333333333332e-05,2.4753333333333332e-05,2.5594928438817512e-05,2.841809659438521e-05,,,25.46701115334254,-1.553113386136289e-06,-7.136201812500323e-07,9.73768479250664e-06,2.4400000000000004e-06,-6.17e-06,,0.11702637889688261,0.11067013565143928,-8.394932048862566e-07,3.0705236857043674e-05,1.8801429809622994e-05,48.08971336151635,2.085e-05,2.217e-05,2.546e-05,,,1
2025-01-08,2.318e-05,2.329e-05,1.945e-05,1.945e-05,$truth,-0.1648776298840704,-0.1801770138317943,2.3995714285714286e-05,2.3995714285714286e-05,2.4477668722668873e-05,2.80664065318603e-05,,,17.78891532926481,-1.964004700778951e-06,-9.63697085155816e-07,7.613476703018148e-06,-3.8400000000000005e-06,-7.840000000000003e-06,,-0.1648776298840704,-0.1801770138317943,-1.0003076156231348e-06,3.0639515754691494e-05,1.735191281673708e-05,55.37490061658682,2.329e-05,2.085e-05,2.217e-05,,,1
2025-01-12,1.946e-05,1.964e-05,1.84e-05,1.922e-05,$truth,-0.0118251928020565,-0.0118956665223088,2.339875e-05,2.339875e-05,2.3521728954910893e-05,2.7719488628650095e-05,,,17.449570231622033,-2.281893853837685e-06,-1.2273364388921899e-06,-4.625749860035001e-06,-2.299999999999995e-07,-6.240000000000001e-06,,-0.011825192802056517,-0.011895666522308827,-1.054557414945495e-06,3.0370180538275484e-05,1.6427319461724517e-05,59.58805951835448,1.945e-05,2.329e-05,2.085e-05,,,1
2025-01-16,1.944e-05,1.973e-05,1.791e-05,1.918e-05,$truth,-0.0020811654526534,-0.0020833340868542,2.293e-05,2.293e-05,2.273232369038164e-05,2.738460672164421e-05,,,17.38744832128741,-2.5081387019168923e-06,-1.4834968914971305e-06,-1.2247454188148032e-05,-3.999999999999962e-08,-2.99e-06,,-0.002081165452653466,-0.0020833340868542517,-1.0246418104197617e-06,3.0017453703552498e-05,1.58425462964475e-05,61.81817447494547,1.922e-05,1.945e-05,2.329e-05,,,1
2025-01-20,2.011e-05,2.011e-05,1.421e-05,1.508e-05,$truth,-0.213764337851929,-0.2404987068754821,2.2145e-05,2.2145e-05,2.1340992110312248e-05,2.6902073124716986e-05,,,12.482210093518816,-2.983878811358813e-06,-1.783573275469467e-06,-6.767471294965827e-06,-4.1e-06,-5.769999999999999e-06,,-0.21376433785192905,-0.2404987068754821,-1.200305535889346e-06,3.0354317876656988e-05,1.393568212334301e-05,74.14150261148782,1.918e-05,1.922e-05,1.945e-05,,,1
