date,open,high,low,close
2024-05-25,0.00014181,0.0001681,4.44e-05,0.00010985
2024-05-29,0.00010962,0.00011862,6.668e-05,9.658e-05
2024-06-02,9.658e-05,0.00016164,9.545e-05,0.00011474
2024-06-06,0.00011473,0.00012708,8.451e-05,9.302e-05
2024-06-10,9.288e-05,0.00019353,7.845e-05,0.00010503
2024-06-14,0.00011175,0.00121935,0.00010248,0.00086583
2024-06-18,0.00084014,0.00154635,0.00068759,0.00093597
2024-06-22,0.00093666,0.00111271,0.00052402,0.00052402
2024-06-26,0.00052573,0.0005537,0.00030887,0.00032551
2024-06-30,0.00032787,0.00039723,0.0001488,0.00027146
2024-07-04,0.00027157,0.00034625,0.00023741,0.00028119
2024-07-08,0.00028096,0.0002931,0.00022649,0.00028957
2024-07-12,0.00028928,0.00031406,0.00022586,0.00027667
2024-07-16,0.0002765,0.00048447,0.0002755,0.00046426
2024-07-20,0.0004642,0.00048884,0.00018795,0.000192
2024-07-24,0.00018988,0.00033453,0.00016226,0.00029238
2024-07-28,0.00029222,0.00038014,0.00020314,0.00022854
2024-08-01,0.00022758,0.00023525,0.00014558,0.00015214
2024-08-05,0.00015202,0.00015396,0.00010044,0.00010077
2024-08-09,0.00010084,0.00010253,7.97e-05,0.00010039
2024-08-13,0.0001002,0.00012832,8.427e-05,0.0001179
2024-08-17,0.00011775,0.00011804,7.381e-05,8.061e-05
2024-08-21,8.057e-05,9.055e-05,6.85e-05,6.979e-05
2024-08-25,6.993e-05,9.588e-05,5.77e-05,9.159e-05
2024-08-29,9.176e-05,0.00010206,8.366e-05,8.406e-05
2024-09-02,8.418e-05,8.437e-05,5.023e-05,5.463e-05
2024-09-06,5.46e-05,5.997e-05,4.709e-05,4.961e-05
2024-09-10,4.962e-05,5.136e-05,4.304e-05,4.771e-05
2024-09-14,4.765e-05,5.889e-05,4.294e-05,5.83e-05
2024-09-18,5.833e-05,5.88e-05,5.156e-05,5.7e-05
2024-09-22,5.699e-05,7.064e-05,5.225e-05,6.96e-05
2024-09-26,6.963e-05,7.336e-05,5.229e-05,5.417e-05
2024-09-30,5.417e-05,5.906e-05,4.742e-05,4.765e-05
2024-10-04,4.766e-05,5.038e-05,4.233e-05,4.412e-05
2024-10-08,4.413e-05,4.622e-05,4.269e-05,4.304e-05
2024-10-12,4.316e-05,0.00011877,4.291e-05,0.00010348
2024-10-16,0.00010367,0.00010388,7.274e-05,7.312e-05
2024-10-20,7.327e-05,7.435e-05,5.693e-05,6.039e-05
2024-10-24,6.036e-05,6.722e-05,5.7e-05,5.748e-05
2024-10-28,5.743e-05,5.827e-05,4.303e-05,4.375e-05
2024-11-01,4.376e-05,8.971e-05,4.294e-05,8.938e-05
2024-11-05,8.937e-05,9.027e-05,6.432e-05,6.522e-05
2024-11-09,6.519e-05,8.262e-05,6.485e-05,6.708e-05
2024-11-13,6.712e-05,7.125e-05,6.02e-05,6.264e-05
2024-11-17,6.072e-05,6.145e-05,4.002e-05,4.042e-05
2024-11-21,4.042e-05,4.718e-05,3.933e-05,4.324e-05
2024-11-25,4.264e-05,4.465e-05,4.088e-05,4.18e-05
2024-11-29,4.166e-05,4.522e-05,4.045e-05,4.226e-05
2024-12-03,4.229e-05,4.354e-05,3.428e-05,3.559e-05
2024-12-07,3.554e-05,3.654e-05,3.411e-05,3.432e-05
2024-12-11,3.429e-05,3.441e-05,2.701e-05,2.946e-05
2024-12-15,2.759e-05,2.987e-05,2.704e-05,2.729e-05
2024-12-19,2.732e-05,2.884e-05,2.546e-05,2.546e-05
2024-12-23,2.539e-05,2.573e-05,2.136e-05,2.217e-05
2024-12-31,2.103e-05,2.168e-05,2.085e-05,2.085e-05
2025-01-04,2.21e-05,2.333e-05,2.192e-05,2.329e-05
2025-01-08,2.318e-05,2.329e-05,1.945e-05,1.945e-05
2025-01-12,1.946e-05,1.964e-05,1.84e-05,1.922e-05
2025-01-16,1.944e-05,1.973e-05,1.791e-05,1.918e-05
2025-01-20,2.011e-05,2.011e-05,1.421e-05,1.508e-05
2025-01-24,1.372e-05,1.471e-05,1.368e-05,1.439e-05
2025-01-28,1.474e-05,1.474e-05,1.454e-05,1.464e-05
2025-02-05,1.417e-05,1.418e-05,1.363e-05,1.367e-05
2025-02-13,1.147e-05,1.166e-05,9.83e-06,1.044e-05
2025-02-17,1.043e-05,1.05e-05,1.025e-05,1.026e-05
2025-02-21,1.021e-05,1.023e-05,9.71e-06,1.003e-05
2025-02-25,1.024e-05,1.024e-05,9.32e-06,9.33e-06
2025-03-01,9.38e-06,9.38e-06,8.55e-06,8.68e-06
2025-03-09,7.76e-06,8.09e-06,5.95e-06,6.18e-06
2025-03-21,4.7e-06,4.78e-06,4.44e-06,4.48e-06
2025-03-25,4.48e-06,4.51e-06,4.48e-06,4.5e-06
2025-04-06,4.08e-06,4.13e-06,4.07e-06,4.09e-06
2025-04-18,3.63e-06,3.77e-06,3.61e-06,3.74e-06
2025-04-22,3.53e-06,3.56e-06,3.52e-06,3.55e-06
2025-04-26,3.98e-06,4.02e-06,3.93e-06,3.99e-06
2025-05-08,3.91e-06,4.09e-06,3.91e-06,4.06e-06
2025-05-12,4.06e-06,5.74e-06,4.06e-06,5.69e-06
2025-05-16,5.72e-06,6.24e-06,5.56e-06,5.94e-06
