date,open,high,low,close
2024-07-08,0.00042436,0.00060015,0.00036523,0.00056231
2024-07-12,0.00056191,0.0006921,0.00037994,0.00038473
2024-07-16,0.00038481,0.00041446,0.00037471,0.00041024
2024-07-20,0.00041242,0.00041265,0.00033943,0.00037374
2024-07-24,0.00037365,0.00043148,0.00021183,0.00021353
2024-07-28,0.00021362,0.00028732,0.00020918,0.00025963
2024-08-01,0.00025709,0.00026036,0.00020823,0.00021362
2024-08-05,0.0002124,0.00022725,0.00016119,0.00017669
2024-08-09,0.00017741,0.00019858,0.00014127,0.00019695
2024-08-13,0.00019802,0.00019891,0.00017903,0.00018
2024-08-17,0.00017542,0.00017933,0.00015886,0.00016185
2024-08-21,0.00016203,0.00017106,0.00015979,0.00016206
2024-08-25,0.0001617,0.00017496,0.00015782,0.00017304
2024-08-29,0.00017354,0.00017354,0.00016715,0.00016905
2024-09-02,0.00015384,0.00015835,0.00012853,0.00013124
2024-09-06,0.00013133,0.00013777,0.00012997,0.00013166
2024-09-10,0.00013158,0.00013625,0.00012078,0.00013429
2024-09-14,0.00013491,0.00013738,0.00013045,0.0001319
2024-09-18,0.00013518,0.00026183,0.0001279,0.00012811
2024-09-22,0.00012812,0.00014709,0.00012569,0.00014321
2024-09-26,0.00014064,0.00014411,0.00013791,0.000142
2024-09-30,0.00015155,0.00015556,0.00015155,0.00015345
2024-10-04,0.00015357,0.00015375,0.00012897,0.00013169
2024-10-08,0.0001316,0.00013559,0.00011013,0.00011271
2024-10-12,0.00011171,0.00011319,0.0001068,0.00011147
2024-10-16,0.00011172,0.00012352,0.00010984,0.00012119
2024-10-20,0.00012167,0.00012632,0.00011875,0.00012631
2024-10-24,0.00012636,0.00013197,0.00012468,0.0001302
2024-10-28,0.00012092,0.00012119,8.302e-05,9.079e-05
2024-11-01,9.073e-05,9.347e-05,8.396e-05,8.442e-05
2024-11-05,8.44e-05,8.772e-05,7.911e-05,7.988e-05
2024-11-09,8.713e-05,0.00010128,8.604e-05,0.00010046
2024-11-13,9.91e-05,0.00011049,9.643e-05,0.00010519
2024-11-17,0.00010172,0.00010901,0.00010127,0.00010525
2024-11-21,0.00010518,0.0001189,0.00010323,0.00011491
2024-11-25,0.00011489,0.00012926,0.0001127,0.00012431
2024-11-29,0.00012343,0.00012459,0.00011099,0.00011592
2024-12-03,0.00011563,0.00011629,0.00010497,0.00010747
2024-12-07,0.00010766,0.00011816,0.0001072,0.00011305
2024-12-11,0.00011294,0.00011604,0.00011179,0.0001146
2024-12-15,0.00010915,0.00011018,0.00010519,0.00010519
2024-12-19,0.00010329,0.00010398,0.00010086,0.0001025
2024-12-23,7.17e-05,7.214e-05,3.43e-05,3.49e-05
2024-12-27,3.487e-05,3.815e-05,3.441e-05,3.775e-05
2024-12-31,3.735e-05,3.739e-05,3.633e-05,3.636e-05
2025-01-04,3.734e-05,4.207e-05,3.717e-05,4.151e-05
2025-01-08,4.131e-05,4.163e-05,4.086e-05,4.134e-05
2025-01-12,3.802e-05,3.814e-05,3.475e-05,3.637e-05
2025-01-16,3.591e-05,3.591e-05,3.562e-05,3.589e-05
2025-01-20,3.838e-05,5.357e-05,3.77e-05,4.372e-05
2025-01-24,4.368e-05,4.989e-05,4.226e-05,4.664e-05
2025-01-28,4.663e-05,4.896e-05,4.087e-05,4.199e-05
2025-02-01,4.154e-05,4.154e-05,3.25e-05,3.25e-05
2025-02-05,2.604e-05,2.605e-05,2.211e-05,2.255e-05
2025-02-09,2.262e-05,2.266e-05,2.07e-05,2.137e-05
2025-02-13,2.234e-05,2.245e-05,2.101e-05,2.15e-05
2025-02-17,2.066e-05,2.126e-05,2.066e-05,2.112e-05
2025-02-21,1.883e-05,1.893e-05,1.525e-05,1.588e-05
2025-02-25,1.59e-05,1.59e-05,6.73e-06,6.82e-06
2025-03-01,6.39e-06,6.39e-06,5.95e-06,5.98e-06
2025-03-05,6.72e-06,6.88e-06,6.52e-06,6.57e-06
2025-03-13,6.29e-06,6.36e-06,5.32e-06,5.59e-06
2025-03-17,6.05e-06,6.09e-06,5.74e-06,5.74e-06
2025-03-21,5.69e-06,5.93e-06,5.67e-06,5.84e-06
2025-03-25,5.78e-06,5.86e-06,5.78e-06,5.86e-06
2025-03-29,6.56e-06,6.58e-06,5.79e-06,5.85e-06
2025-04-02,5.63e-06,5.91e-06,5.59e-06,5.8e-06
2025-04-06,5.79e-06,6.11e-06,5.31e-06,5.4e-06
2025-04-14,6.06e-06,7.4e-06,5.71e-06,5.77e-06
2025-04-18,5.9e-06,6.22e-06,5.62e-06,6.11e-06
2025-04-22,6.11e-06,6.17e-06,6.01e-06,6.13e-06
2025-04-26,6.77e-06,6.8e-06,6.5e-06,6.64e-06
2025-05-12,6.87e-06,7.74e-06,6.78e-06,7.56e-06
2025-05-16,7.47e-06,1.645e-05,7.3e-06,1.598e-05
