date,open,high,low,close
2025-03-29,0.0001148,0.00011725,0.0001128,0.00011671
2025-04-02,0.00011588,0.00011697,9.796e-05,0.00010053
2025-04-06,0.00010034,0.00010344,8.401e-05,8.615e-05
2025-04-10,8.635e-05,8.657e-05,6.218e-05,7.037e-05
2025-04-14,7.015e-05,8.812e-05,6.382e-05,7.799e-05
2025-04-18,7.39e-05,8.955e-05,7.39e-05,8.01e-05
2025-04-22,7.842e-05,8.867e-05,7.564e-05,7.564e-05
2025-04-26,7.597e-05,0.00011377,7.438e-05,0.00010841
2025-04-30,0.00010881,0.00055567,0.00010826,0.00030101
2025-05-04,0.00029945,0.00030376,0.00019664,0.00026614
2025-05-08,0.00026585,0.00028177,0.00016941,0.00017822
2025-05-12,0.00017823,0.00029432,0.00017652,0.00026435
2025-05-16,0.00026402,0.00029613,0.00023741,0.00024446
