date,open,high,low,close
2024-05-17,0.02436491,0.02467813,0.02295782,0.02298268
2024-05-21,0.02296235,0.02654906,0.02229254,0.02634789
2024-05-25,0.02636926,0.02785756,0.02380158,0.02507496
2024-05-29,0.02507365,0.02645445,0.02467727,0.02533191
2024-06-02,0.02533385,0.02688356,0.02499431,0.02677225
2024-06-06,0.02677866,0.03036784,0.02623801,0.03022251
2024-06-10,0.03020545,0.03128199,0.02804429,0.02987669
2024-06-14,0.02986142,0.03088722,0.02854489,0.02916073
2024-06-18,0.0291482,0.03418764,0.02880714,0.03383037
2024-06-22,0.03386762,0.03571304,0.03009512,0.03317833
2024-06-26,0.03318773,0.03430715,0.03243326,0.03265911
2024-06-30,0.03265377,0.03418602,0.03212501,0.03342975
2024-07-04,0.03343975,0.03549226,0.03298966,0.03473542
2024-07-08,0.03472791,0.03554091,0.0301333,0.03455188
2024-07-12,0.03455438,0.03679182,0.02370898,0.03611644
2024-07-16,0.03611883,0.04412917,0.03496682,0.04293987
2024-07-20,0.04296572,0.16713,0.0070919,0.04617301
2024-07-24,0.04625284,0.04959889,0.04459271,0.04583222
2024-07-28,0.04584215,0.04968913,0.04517582,0.04814801
2024-08-01,0.04783033,0.04820413,0.04549892,0.0455927
2024-08-05,0.04556555,0.04774102,0.03880305,0.03889617
2024-08-09,0.03896609,0.04133144,0.03371161,0.04114202
2024-08-13,0.04116294,0.04319856,0.038808,0.03942123
2024-08-17,0.03943035,0.04219039,0.0072732,0.03828507
2024-08-21,0.03942538,0.03972055,0.0369719,0.03817197
2024-08-25,0.03813723,0.04072948,0.03716939,0.0403921
2024-08-29,0.04042594,0.04072038,0.03701942,0.03723966
2024-09-02,0.03725592,0.0385879,0.03662277,0.03740415
2024-09-06,0.03740089,0.03804742,0.03575957,0.03634267
2024-09-10,0.03637939,0.03708994,0.03399892,0.03623922
2024-09-14,0.03619505,0.03821958,0.03569385,0.03784111
2024-09-18,0.03785386,0.03873349,0.03193577,0.03794764
2024-09-22,0.0379536,0.04088984,0.03676948,0.04023747
2024-09-26,0.04022174,0.04184422,0.03899478,0.04059265
2024-09-30,0.040677,0.04225309,0.04029718,0.04218917
2024-10-04,0.04218522,0.0434327,0.0388337,0.04225165
2024-10-08,0.042259,0.04284061,0.03940927,0.03997374
2024-10-12,0.03992443,0.061144,0.01972726,0.0408495
2024-10-16,0.04093623,0.0418631,0.03941188,0.04175046
2024-10-20,0.04142737,0.04232024,0.03953924,0.04060833
2024-10-24,0.04042307,0.053744,0.04031342,0.05174
2024-10-28,0.051684,0.052979,0.04559819,0.04834199
2024-11-01,0.0483586,0.05683,0.04792064,0.055285
2024-11-05,0.05522,0.056442,0.04705244,0.04778299
2024-11-09,0.04779865,0.055164,0.04067753,0.051744
2024-11-13,0.051734,0.062903,0.050326,0.06116
2024-11-17,0.061127,0.063204,0.055895,0.05777
2024-11-21,0.057808,0.061883,0.056971,0.06178
2024-11-25,0.061513,0.0672,0.058058,0.058206
2024-11-29,0.058118,0.065742,0.057856,0.061928
2024-12-03,0.061935,0.065229,0.057638,0.059826
2024-12-07,0.059856,0.069133,0.059557,0.064872
2024-12-11,0.061407,0.062617,0.05676,0.058022
2024-12-15,0.057892,0.06351,0.057791,0.06283
2024-12-19,0.062843,0.06662,0.060654,0.060654
2024-12-23,0.060923,0.064985,0.057037,0.058006
2024-12-27,0.057836,0.060003,0.056466,0.058421
2024-12-31,0.058409,0.060337,0.05515,0.056489
2025-01-04,0.056447,0.061734,0.056035,0.057368
2025-01-08,0.057421,0.062899,0.057323,0.057324
2025-01-12,0.057204,0.058205,0.055128,0.056006
2025-01-16,0.056019,0.056865,0.05283,0.05667
2025-01-20,0.057127,0.06132,0.055934,0.060212
2025-01-24,0.060099,0.062082,0.058275,0.060275
2025-01-28,0.060639,0.062481,0.058058,0.060411
2025-02-01,0.060617,0.062951,0.055511,0.057565
2025-02-05,0.057702,0.073687,0.051491,0.057872
2025-02-09,0.057723,0.05833,0.04979018,0.056958
2025-02-13,0.056927,0.134132,0.056045,0.124913
2025-02-17,0.059318,0.059846,0.056862,0.059265
2025-02-21,0.056661,0.061485,0.053262,0.057031
2025-02-25,0.057104,0.057125,0.051667,0.052079
2025-03-01,0.04883928,0.060626,0.04741303,0.054878
2025-03-05,0.054856,0.062739,0.052409,0.055823
2025-03-09,0.055671,0.057954,0.051496,0.055243
2025-03-13,0.055456,0.056186,0.05244,0.055589
2025-03-17,0.055498,0.056294,0.050646,0.052108
2025-03-21,0.052112,0.055723,0.04749695,0.04772015
2025-03-25,0.04771798,0.052587,0.01039487,0.04014422
2025-03-29,0.0401038,0.050983,0.00996687,0.04649689
2025-04-02,0.04649398,0.050252,0.0019911,0.04996683
2025-04-06,0.04995445,0.06165,0.00199949,0.04845484
2025-04-10,0.04836336,0.050651,0.02081691,0.04726342
2025-04-14,0.04725188,0.04979619,0.04661427,0.04706612
2025-04-18,0.04708078,0.04952288,0.04708078,0.04912185
2025-04-22,0.04912212,0.049471,0.04768015,0.04768098
2025-04-26,0.04768304,0.052665,0.04768097,0.051528
2025-04-30,0.051538,0.053315,0.04773845,0.052559
2025-05-04,0.052553,0.060221,0.0470766,0.04824551
2025-05-08,0.04824691,0.051821,0.04785082,0.051516
2025-05-12,0.05027,0.054418,0.04983635,0.053192
2025-05-16,0.053188,0.057558,0.053024,0.057023
