date,open,high,low,close
2024-05-17,0.01149329,0.0130776,0.01104374,0.01127108
2024-05-21,0.01125854,0.01249705,0.01091226,0.01246831
2024-05-25,0.01248442,0.01410041,0.01189795,0.01288184
2024-05-29,0.0128663,0.0151912,0.01263141,0.01491997
2024-06-02,0.01488208,0.01582005,0.0128531,0.01341015
2024-06-06,0.01340649,0.01377175,0.01277647,0.01336284
2024-06-10,0.01332636,0.01403919,0.01048869,0.01111669
2024-06-14,0.01112769,0.01120221,0.00929371,0.01029437
2024-06-18,0.01030002,0.01126689,0.00915474,0.00917193
2024-06-22,0.00914682,0.0092044,0.00801354,0.00887039
2024-06-26,0.00888448,0.00954533,0.00800027,0.00950956
2024-06-30,0.00953366,0.01086393,0.00897194,0.00943811
2024-07-04,0.00943701,0.01021989,0.00863799,0.00866612
2024-07-08,0.00866377,0.00882348,0.00655711,0.00720911
2024-07-12,0.00721324,0.00811305,0.0068886,0.00729915
2024-07-16,0.00729846,0.00903963,0.00724259,0.00903963
2024-07-20,0.00903516,0.00960687,0.00837885,0.00939616
2024-07-24,0.00940029,0.00967355,0.00830711,0.00849202
2024-07-28,0.00847994,0.00896513,0.0076287,0.00858194
2024-08-01,0.00855141,0.01138461,0.0083522,0.01001897
2024-08-05,0.01001817,0.01016318,0.00675565,0.00697966
2024-08-09,0.00697965,0.0078656,0.00522548,0.007791
2024-08-13,0.00773499,0.00788057,0.00666466,0.00721488
2024-08-17,0.00720477,0.00750864,0.0062421,0.00646056
2024-08-21,0.00645869,0.00726281,0.00641696,0.00709107
2024-08-25,0.00707657,0.00845123,0.00688569,0.00804685
2024-08-29,0.00804813,0.00804813,0.00588535,0.00609121
2024-09-02,0.00611735,0.00643636,0.00568583,0.00572135
2024-09-06,0.00570643,0.00624698,0.00554342,0.00581229
2024-09-10,0.00581208,0.00650374,0.00538719,0.00636915
2024-09-14,0.00636652,0.00666669,0.0060624,0.00649276
2024-09-18,0.00648604,0.00661804,0.00580914,0.00605216
2024-09-22,0.00605335,0.00736563,0.00582556,0.00690485
2024-09-26,0.00689022,0.00731483,0.00626751,0.0068022
