date,open,high,low,close
2024-05-17,1.1915e-08,1.4531e-08,1.0922e-08,1.1936e-08
2024-05-21,1.194e-08,1.2341e-08,4.907e-09,5.77e-09
2024-05-25,5.826e-09,6.643e-09,3.168e-09,4.214e-09
2024-05-29,4.197e-09,6.73e-09,3.457e-09,4.281e-09
2024-06-02,4.204e-09,5.114e-09,2.641e-09,2.872e-09
2024-06-06,2.877e-09,4.393e-09,2.199e-09,3.277e-09
2024-06-10,3.271e-09,3.73e-09,2.174e-09,2.175e-09
2024-06-14,2.194e-09,2.584e-09,1.799e-09,2.437e-09
2024-06-18,2.21e-09,2.633e-09,1.849e-09,2.057e-09
2024-06-22,2.214e-09,2.591e-09,1.764e-09,1.979e-09
2024-06-26,1.98e-09,2.238e-09,1.287e-09,1.315e-09
2024-06-30,1.315e-09,1.711e-09,1.056e-09,1.591e-09
2024-07-04,1.591e-09,1.856e-09,1.285e-09,1.392e-09
2024-07-08,1.39e-09,1.545e-09,1.051e-09,1.331e-09
2024-07-12,1.329e-09,1.661e-09,1.131e-09,1.518e-09
2024-07-16,1.533e-09,3.537e-09,1.327e-09,2.377e-09
2024-07-20,2.332e-09,3.223e-09,2.231e-09,2.801e-09
2024-07-24,2.809e-09,2.852e-09,1.893e-09,2.012e-09
2024-07-28,2.012e-09,2.975e-09,1.599e-09,2.616e-09
2024-08-01,2.599e-09,4.142e-09,2.26e-09,2.613e-09
2024-08-05,2.61e-09,3.026e-09,2.228e-09,2.602e-09
2024-08-09,2.386e-09,2.632e-09,1.833e-09,2.61e-09
2024-08-13,2.588e-09,2.731e-09,2.005e-09,2.231e-09
2024-08-17,2.228e-09,2.544e-09,2.066e-09,2.19e-09
2024-08-21,2.189e-09,2.484e-09,1.858e-09,2.123e-09
2024-08-25,2.145e-09,2.398e-09,1.814e-09,2.168e-09
2024-08-29,2.168e-09,2.242e-09,1.573e-09,1.991e-09
2024-09-02,1.982e-09,2.156e-09,1.722e-09,2.017e-09
2024-09-06,2.019e-09,2.192e-09,1.425e-09,1.517e-09
2024-09-10,1.516e-09,1.999e-09,1.339e-09,1.615e-09
2024-09-14,1.612e-09,1.695e-09,1.226e-09,1.37e-09
2024-09-18,1.366e-09,1.662e-09,1.179e-09,1.218e-09
