date,open,high,low,close
2024-09-14,57949.0,60480.0,57439.0,60477.0
2024-09-18,60509.0,61488.0,57453.0,60354.0
2024-09-22,60296.0,64152.0,57472.0,63265.0
2024-09-26,63529.0,64781.0,62358.0,63077.0
2024-09-30,63147.0,66528.0,62800.0,65480.0
2024-10-04,65628.0,66010.0,59828.0,60978.0
2024-10-08,61000.0,64089.0,60563.0,62109.0
2024-10-12,62263.0,63048.0,58858.0,62357.0
2024-10-16,62404.0,67628.0,62013.0,66523.0
2024-10-20,66577.0,68998.0,66371.0,68320.0
2024-10-24,68387.0,69405.0,65254.0,66589.0
2024-10-28,66596.0,68831.0,65084.0,67874.0
2024-11-01,67920.0,73514.0,67038.0,70283.0
2024-11-05,70126.0,71064.0,66877.0,67714.0
2024-11-09,67499.0,77251.0,67382.0,76684.0
2024-11-13,76763.0,89924.0,75846.0,87994.0
2024-11-17,88060.0,93321.0,85808.0,90482.0
2024-11-21,90616.0,95069.0,87638.0,93671.0
2024-11-25,93805.0,100617.0,93729.0,97497.0
2024-11-29,98404.0,99173.0,89961.0,95631.0
2024-12-03,95493.0,98875.0,93605.0,95656.0
2024-12-07,95964.0,103649.0,91384.0,99836.0
2024-12-11,99717.0,100894.0,87787.0,96724.0
2024-12-15,96747.0,102315.0,95412.0,101249.0
2024-12-19,101386.0,107854.0,99801.0,100757.0
2024-12-23,100809.0,102579.0,92265.0,95042.0
2024-12-27,94846.0,99544.0,91861.0,95562.0
2024-12-31,95568.0,97348.0,91284.0,92566.0
2025-01-04,92642.0,98587.0,91575.0,97878.0
2025-01-08,97951.0,102289.0,95640.0,96545.0
2025-01-12,96398.0,97696.0,90939.0,94169.0
2025-01-16,94187.0,100379.0,88676.0,100259.0
2025-01-20,100257.0,106289.0,97640.0,100899.0
2025-01-24,101652.0,108954.0,99035.0,103771.0
2025-01-28,103720.0,106652.0,97126.0,101813.0
2025-02-01,101828.0,106112.0,99696.0,102341.0
2025-02-05,102303.0,106001.0,92514.0,97694.0
2025-02-09,97261.0,100161.0,95185.0,96415.0
2025-02-13,96501.0,98707.0,93884.0,97709.0
2025-02-17,97585.0,98713.0,95286.0,96166.0
2025-02-21,96405.0,98682.0,93295.0,98286.0
2025-02-25,98156.0,99553.0,91067.0,91313.0
2025-03-01,91503.0,93057.0,78324.0,84262.0
2025-03-05,84192.0,94500.0,81120.0,87425.0
2025-03-09,87141.0,92389.0,84817.0,85960.0
2025-03-13,85936.0,86431.0,76774.0,83279.0
2025-03-17,83402.0,84972.0,79603.0,82415.0
2025-03-21,82363.0,87169.0,80209.0,84209.0
2025-03-25,84310.0,88552.0,83132.0,87262.0
2025-03-29,87462.0,88369.0,83050.0,84035.0
2025-04-02,84208.0,85503.0,81127.0,85038.0
2025-04-06,85014.0,87632.0,80681.0,83508.0
2025-04-10,83622.0,83728.0,74316.0,82621.0
2025-04-14,82513.0,85902.0,78511.0,83535.0
2025-04-18,83704.0,86429.0,82853.0,84912.0
2025-04-22,84920.0,88483.0,83827.0,87214.0
2025-04-26,87301.0,95794.0,87301.0,94661.0
2025-04-30,94642.0,95718.0,92919.0,94319.0
2025-05-04,94286.0,98001.0,93095.0,95855.0
2025-05-08,96008.0,97954.0,93516.0,96927.0
2025-05-12,96924.0,104942.0,96827.0,104143.0
2025-05-16,103976.0,105655.0,101238.0,104078.0
