date,open,high,low,close
2024-12-07,0.00188893,0.00189987,0.00065427,0.00084282
2024-12-11,0.00083314,0.00140336,0.00071263,0.00079594
2024-12-15,0.0007963,0.00090884,0.00033968,0.00038996
2024-12-19,0.00039185,0.00048687,0.00018758,0.00020195
2024-12-23,0.00020286,0.00110038,0.00017248,0.00028576
2024-12-27,0.00028716,0.00036181,0.00021615,0.00025541
2024-12-31,0.00025702,0.0002605,0.0001914,0.00021698
2025-01-04,0.00021826,0.00044862,0.00016661,0.00023012
2025-01-08,0.00022944,0.00035632,0.00019287,0.00019287
2025-01-12,0.00019342,0.00022529,0.0001003,0.00010403
2025-01-16,0.00010408,0.00010631,7.152e-05,7.616e-05
2025-01-20,7.662e-05,9.051e-05,6.714e-05,7.075e-05
2025-01-24,7.21e-05,0.00012069,6.801e-05,8.685e-05
2025-01-28,8.004e-05,8.723e-05,5.644e-05,6e-05
2025-02-01,6.042e-05,6.749e-05,5.283e-05,5.605e-05
2025-02-05,5.609e-05,5.643e-05,3.737e-05,4.035e-05
2025-02-09,4.034e-05,4.076e-05,3.553e-05,3.908e-05
2025-02-13,3.904e-05,4.714e-05,2.938e-05,3.112e-05
2025-02-17,3.112e-05,3.115e-05,2.391e-05,2.4e-05
2025-02-21,2.399e-05,2.418e-05,1.954e-05,2.069e-05
2025-02-25,2.07e-05,2.201e-05,1.659e-05,1.673e-05
2025-03-01,1.666e-05,2.191e-05,1.56e-05,1.829e-05
2025-03-05,1.826e-05,2.269e-05,1.612e-05,1.745e-05
2025-03-09,1.737e-05,1.88e-05,1.467e-05,1.683e-05
2025-03-13,1.683e-05,2.356e-05,1.441e-05,1.906e-05
2025-03-17,1.912e-05,1.935e-05,1.761e-05,1.77e-05
2025-03-21,1.788e-05,1.815e-05,1.666e-05,1.732e-05
2025-03-25,1.781e-05,1.883e-05,1.779e-05,1.859e-05
2025-03-29,1.852e-05,0.00013751,1.75e-05,1.778e-05
2025-04-02,1.779e-05,3.013e-05,1.434e-05,1.474e-05
2025-04-06,1.366e-05,1.433e-05,1.346e-05,1.418e-05
2025-04-10,1.285e-05,1.4e-05,1.196e-05,1.387e-05
2025-04-14,1.381e-05,1.616e-05,1.264e-05,1.559e-05
2025-04-18,1.558e-05,1.642e-05,1.489e-05,1.602e-05
2025-04-22,1.603e-05,1.695e-05,1.579e-05,1.634e-05
2025-04-26,1.629e-05,1.906e-05,1.611e-05,1.789e-05
2025-04-30,1.789e-05,1.83e-05,1.715e-05,1.731e-05
2025-05-04,1.735e-05,1.754e-05,1.621e-05,1.646e-05
2025-05-08,1.645e-05,1.657e-05,1.535e-05,1.58e-05
2025-05-12,1.589e-05,1.917e-05,1.577e-05,1.843e-05
2025-05-16,1.844e-05,1.971e-05,1.767e-05,1.798e-05
