date,open,high,low,close
2024-09-14,57901.0,60613.0,57439.0,60490.0
2024-09-18,60483.0,61327.0,57500.0,60319.0
2024-09-22,60363.0,64246.0,59278.0,63344.0
2024-09-26,63343.0,64613.0,62472.0,63049.0
2024-09-30,63016.0,66491.0,62754.0,65655.0
2024-10-04,65672.0,65672.0,60013.0,60782.0
2024-10-08,60777.0,65269.0,60478.0,62361.0
2024-10-12,62257.0,63282.0,58767.0,62461.0
2024-10-16,62506.0,67657.0,62010.0,66998.0
2024-10-20,67075.0,68988.0,66607.0,68438.0
2024-10-24,68399.0,69480.0,65180.0,66689.0
2024-10-28,66619.0,68849.0,65543.0,67956.0
2024-11-01,67994.0,73622.0,67528.0,70250.0
2024-11-05,70266.0,71516.0,66876.0,67817.0
2024-11-09,67797.0,77213.0,67521.0,76534.0
2024-11-13,76650.0,89940.0,75814.0,88121.0
2024-11-17,87918.0,93196.0,86399.0,90477.0
2024-11-21,90607.0,94955.0,88965.0,94216.0
2024-11-25,94176.0,99693.0,94171.0,97994.0
2024-11-29,97928.0,98814.0,90935.0,95660.0
2024-12-03,95644.0,98718.0,94686.0,95858.0
2024-12-07,95826.0,103678.0,92811.0,99882.0
2024-12-11,99798.0,101035.0,94488.0,96615.0
2024-12-15,96686.0,102557.0,95736.0,101362.0
2024-12-19,101370.0,108259.0,100330.0,100503.0
2024-12-23,100027.0,102610.0,91998.0,95115.0
2024-12-27,95106.0,99722.0,92484.0,95699.0
2024-12-31,95681.0,97210.0,91398.0,92517.0
2025-01-04,92668.0,98893.0,92046.0,98034.0
2025-01-08,98066.0,102573.0,96193.0,96955.0
2025-01-12,96829.0,97242.0,91330.0,94608.0
2025-01-16,94676.0,100523.0,89585.0,100307.0
2025-01-20,100454.0,107243.0,97601.0,101552.0
2025-01-24,101124.0,108953.0,99819.0,104117.0
2025-01-28,103945.0,107107.0,97852.0,101835.0
2025-02-01,102019.0,106206.0,100338.0,102377.0
2025-02-05,102475.0,102791.0,92464.0,98083.0
2025-02-09,97980.0,99878.0,95546.0,96521.0
2025-02-13,96421.0,98632.0,94583.0,97782.0
2025-02-17,97971.0,98642.0,95283.0,96120.0
2025-02-21,96019.0,98712.0,93365.0,98440.0
2025-02-25,98363.0,99441.0,91441.0,91441.0
2025-03-01,91421.0,92440.0,78434.0,84421.0
2025-03-05,84280.0,94718.0,82203.0,87284.0
2025-03-09,87082.0,92720.0,85431.0,86082.0
2025-03-13,86155.0,86549.0,76750.0,83875.0
2025-03-17,83677.0,85171.0,80005.0,82582.0
2025-03-21,82587.0,87386.0,81174.0,84223.0
2025-03-25,84316.0,88660.0,83232.0,87308.0
2025-03-29,87516.0,88441.0,83635.0,84329.0
2025-04-02,84230.0,85523.0,81329.0,85235.0
2025-04-06,85186.0,88049.0,81255.0,83559.0
2025-04-10,83464.0,83732.0,74503.0,82615.0
2025-04-14,82425.0,85829.0,78576.0,83699.0
2025-04-18,83749.0,86301.0,83061.0,84910.0
2025-04-22,84923.0,88399.0,83948.0,87412.0
2025-04-26,87443.0,95590.0,87155.0,94801.0
2025-04-30,94823.0,95572.0,92901.0,94272.0
2025-05-04,94212.0,97898.0,93288.0,95938.0
2025-05-08,95863.0,97555.0,93595.0,96958.0
2025-05-12,97041.0,104896.0,96875.0,104114.0
2025-05-16,104155.0,105812.0,101062.0,103760.0
