date,open,high,low,close
2024-12-19,0.00014046,0.00024452,4.165e-05,9.277e-05
2024-12-23,9.421e-05,0.00011006,5.845e-05,5.981e-05
2024-12-27,5.971e-05,8.836e-05,5.103e-05,6.588e-05
2024-12-31,6.597e-05,6.925e-05,4.928e-05,5.676e-05
2025-01-04,5.662e-05,5.817e-05,4.097e-05,4.693e-05
2025-01-08,4.734e-05,6.029e-05,4.084e-05,4.104e-05
2025-01-12,4.152e-05,5.78e-05,3.493e-05,4.643e-05
2025-01-16,4.645e-05,4.657e-05,3.262e-05,3.615e-05
2025-01-20,3.611e-05,4.983e-05,3.271e-05,4.19e-05
2025-01-24,4.287e-05,4.287e-05,2.56e-05,2.742e-05
2025-01-28,2.731e-05,2.835e-05,1.945e-05,2.248e-05
2025-02-01,2.253e-05,2.552e-05,1.638e-05,2.337e-05
2025-02-05,2.334e-05,2.334e-05,1.342e-05,1.702e-05
2025-02-09,1.696e-05,1.843e-05,1.305e-05,1.418e-05
2025-02-13,1.415e-05,1.85e-05,1.35e-05,1.655e-05
2025-02-17,1.655e-05,1.747e-05,1.514e-05,1.514e-05
2025-02-21,1.515e-05,1.613e-05,1.334e-05,1.568e-05
2025-02-25,1.571e-05,1.638e-05,1.2e-05,1.201e-05
2025-03-01,1.203e-05,1.32e-05,9.77e-06,1.252e-05
2025-03-05,1.253e-05,1.444e-05,1.073e-05,1.102e-05
2025-03-09,1.102e-05,1.494e-05,1.099e-05,1.282e-05
2025-03-13,1.282e-05,1.298e-05,1.019e-05,1.172e-05
2025-03-17,1.175e-05,1.29e-05,1.101e-05,1.209e-05
2025-03-21,1.209e-05,1.323e-05,1.209e-05,1.258e-05
2025-03-25,1.259e-05,1.275e-05,1.114e-05,1.124e-05
2025-03-29,1.124e-05,1.245e-05,9.98e-06,1.069e-05
2025-04-02,1.071e-05,1.079e-05,9.11e-06,9.75e-06
2025-04-06,9.74e-06,1.04e-05,8.33e-06,8.83e-06
2025-04-10,8.81e-06,1.02e-05,7.06e-06,9.07e-06
2025-04-14,9.07e-06,1.197e-05,9.06e-06,1.032e-05
2025-04-18,1.035e-05,1.058e-05,8.49e-06,9.19e-06
2025-04-22,9.19e-06,1.089e-05,9.13e-06,1.054e-05
2025-04-26,1.062e-05,3.441e-05,1.054e-05,2.689e-05
2025-04-30,2.689e-05,2.724e-05,1.667e-05,2.121e-05
2025-05-04,2.121e-05,2.614e-05,1.961e-05,2.314e-05
2025-05-08,2.314e-05,2.314e-05,1.792e-05,1.906e-05
2025-05-12,2.096e-05,2.298e-05,1.76e-05,1.76e-05
2025-05-16,1.761e-05,1.922e-05,1.372e-05,1.425e-05
