date,open,high,low,close
2024-06-22,0.01509462,0.01890464,0.00931325,0.01283585
2024-06-26,0.01291409,0.01295773,0.00408464,0.00832457
2024-06-30,0.0084169,0.00980602,0.00440924,0.00535481
2024-07-04,0.00535428,0.0060446,0.00276995,0.00341176
2024-07-08,0.00338732,0.00407578,0.00192755,0.00246136
2024-07-12,0.0024595,0.00269042,0.0006605,0.00204522
2024-07-16,0.00204485,0.00254136,0.00138389,0.0016824
2024-07-20,0.00168307,0.00313476,0.00166159,0.0027958
2024-07-24,0.0028007,0.00318903,0.00246135,0.0027633
2024-07-28,0.00283044,0.00285165,0.00109478,0.00154179
2024-08-01,0.00153666,0.00155622,0.00068686,0.00094412
2024-08-05,0.00094388,0.00094927,0.00038244,0.00040285
2024-08-09,0.00040549,0.00067093,0.00028184,0.00051073
2024-08-13,0.00050933,0.00069749,0.00047094,0.00067139
2024-08-17,0.00066791,0.00075788,0.00040514,0.00040786
2024-08-21,0.00040833,0.00045798,0.00036174,0.00036938
2024-08-25,0.00036728,0.00062408,0.00032317,0.00060834
2024-08-29,0.00060633,0.00065655,0.00042973,0.00044039
2024-09-02,0.00044093,0.00048405,0.00033734,0.00034654
2024-09-06,0.00034432,0.00037843,0.00032241,0.0003262
2024-09-10,0.00032637,0.00043137,0.000252,0.00039394
2024-09-14,0.00039415,0.00043534,0.00033346,0.00033968
2024-09-18,0.00034165,0.00034598,0.00027745,0.00030305
2024-09-22,0.00030317,0.00063988,0.00028497,0.00058341
2024-09-26,0.00057938,0.00058378,0.00039643,0.00040345
2024-09-30,0.00040395,0.00074965,0.00040043,0.00053649
2024-10-04,0.00053673,0.00065014,0.00046308,0.00048778
2024-10-08,0.00048745,0.00052918,0.00034223,0.00038429
2024-10-12,0.000384,0.00056888,0.00033338,0.00054202
2024-10-16,0.00056727,0.00061434,0.00046295,0.00048717
2024-10-20,0.0004891,0.00114026,0.00039127,0.00113442
2024-10-24,0.00112829,0.00223897,0.0009911,0.00111612
2024-10-28,0.00111566,0.00155068,0.00084654,0.00130361
2024-11-01,0.00130245,0.00141725,0.00048521,0.0005286
2024-11-05,0.00052845,0.0006968,0.00023337,0.00052961
2024-11-09,0.00052872,0.00055771,0.00020292,0.00035176
2024-11-13,0.00035415,0.00036136,0.00011676,0.00011836
2024-11-17,0.00011867,0.00015436,9.24e-05,0.00015255
2024-11-21,0.00015244,0.00017175,0.0001015,0.0001015
2024-11-25,0.0001014,0.00012202,8.767e-05,0.00010774
2024-11-29,0.0001035,0.00011008,8.952e-05,9.338e-05
2024-12-03,9.335e-05,9.838e-05,7.933e-05,8.171e-05
2024-12-07,8.174e-05,9.037e-05,6.456e-05,7.918e-05
2024-12-11,7.909e-05,8.891e-05,6.505e-05,7.058e-05
2024-12-15,7.054e-05,0.00013079,7.02e-05,0.00011233
2024-12-19,0.00011254,0.00012745,0.00010546,0.000106
2024-12-23,0.00010625,0.00010771,8.78e-05,9.349e-05
2024-12-27,9.339e-05,0.00010384,8.816e-05,8.972e-05
2024-12-31,8.929e-05,9.335e-05,7.425e-05,7.576e-05
2025-01-04,7.625e-05,8.91e-05,7.469e-05,8.849e-05
2025-01-08,8.901e-05,0.00076838,8.664e-05,0.00026567
2025-01-12,0.00026805,0.00037931,0.00018441,0.00021725
2025-01-16,0.00021827,0.00023499,0.00015063,0.00020657
2025-01-20,0.00020683,0.00025145,0.00010966,0.00011734
2025-01-24,0.00011694,0.0001801,7.444e-05,8.067e-05
2025-01-28,8.097e-05,9.267e-05,6.645e-05,7.068e-05
2025-02-01,7.051e-05,8.329e-05,6.75e-05,6.876e-05
2025-02-05,6.856e-05,6.93e-05,5.185e-05,6.269e-05
2025-02-09,6.272e-05,6.317e-05,5.509e-05,5.807e-05
2025-02-13,5.799e-05,7.015e-05,5.101e-05,5.314e-05
2025-02-17,5.307e-05,6.126e-05,5.094e-05,6.072e-05
2025-02-21,6.097e-05,6.154e-05,4.165e-05,4.224e-05
2025-02-25,4.229e-05,4.688e-05,3.667e-05,3.669e-05
2025-03-01,3.729e-05,3.919e-05,3.314e-05,3.919e-05
2025-03-05,3.918e-05,4.755e-05,3.681e-05,4.04e-05
2025-03-09,4.01e-05,4.086e-05,3.628e-05,3.674e-05
2025-03-13,3.657e-05,3.755e-05,3.074e-05,3.426e-05
2025-03-17,3.535e-05,4.001e-05,3.535e-05,3.783e-05
2025-03-21,3.748e-05,4.048e-05,3.542e-05,3.787e-05
2025-03-25,3.795e-05,4.145e-05,3.759e-05,4.064e-05
2025-03-29,4.048e-05,4.204e-05,3.642e-05,3.703e-05
2025-04-02,3.685e-05,3.859e-05,3.465e-05,3.786e-05
2025-04-06,3.461e-05,3.695e-05,3.404e-05,3.523e-05
2025-04-10,3.593e-05,3.609e-05,2.847e-05,3.586e-05
2025-04-14,3.577e-05,7.347e-05,3.264e-05,6.018e-05
2025-04-18,6.021e-05,9.445e-05,5.812e-05,8.293e-05
2025-04-22,8.3e-05,9.031e-05,6.377e-05,6.419e-05
2025-04-26,6.43e-05,9.782e-05,4.565e-05,7.187e-05
2025-04-30,7.185e-05,7.305e-05,4.363e-05,4.413e-05
2025-05-04,4.393e-05,4.588e-05,4.24e-05,4.358e-05
2025-05-08,4.355e-05,4.4e-05,4.268e-05,4.364e-05
2025-05-12,4.609e-05,0.00058533,4.606e-05,0.00025197
2025-05-16,0.00025206,0.0003157,0.00010326,0.00011488
