date,open,high,low,close
2025-01-28,0.00048396,0.00066865,0.00013707,0.00014512
2025-02-01,0.00014364,0.00022691,7.672e-05,8.134e-05
2025-02-05,8.109e-05,0.00017623,5.93e-05,0.00014005
2025-02-09,0.00014017,0.00035446,0.00011004,0.00016804
2025-02-13,0.0001678,0.00017759,0.00010081,0.00010373
2025-02-17,0.00010374,0.00010491,7.47e-05,7.48e-05
2025-02-21,7.511e-05,7.966e-05,5.37e-05,5.649e-05
2025-02-25,5.681e-05,6.368e-05,3.171e-05,3.171e-05
2025-03-01,3.222e-05,3.407e-05,2.95e-05,3.407e-05
2025-03-05,3.401e-05,3.932e-05,2.72e-05,2.965e-05
2025-03-09,2.949e-05,3.071e-05,2.605e-05,2.638e-05
2025-03-13,2.652e-05,2.704e-05,2.23e-05,2.39e-05
2025-03-17,2.405e-05,2.416e-05,2.176e-05,2.215e-05
2025-03-21,2.225e-05,2.77e-05,2.12e-05,2.742e-05
2025-03-25,2.741e-05,2.866e-05,2.004e-05,2.194e-05
2025-03-29,2.188e-05,2.3e-05,1.845e-05,1.865e-05
2025-04-02,1.866e-05,1.887e-05,1.734e-05,1.764e-05
2025-04-06,1.764e-05,1.816e-05,1.495e-05,1.578e-05
2025-04-10,1.584e-05,1.59e-05,1.266e-05,1.568e-05
2025-04-14,1.561e-05,1.751e-05,1.437e-05,1.666e-05
2025-04-18,1.721e-05,1.764e-05,1.618e-05,1.751e-05
2025-04-22,1.752e-05,1.851e-05,1.709e-05,1.759e-05
2025-04-26,1.765e-05,1.96e-05,1.737e-05,1.841e-05
2025-04-30,1.845e-05,1.863e-05,1.755e-05,1.776e-05
2025-05-04,1.776e-05,1.838e-05,1.706e-05,1.775e-05
2025-05-08,1.774e-05,1.789e-05,1.698e-05,1.756e-05
2025-05-12,1.765e-05,2.159e-05,1.755e-05,2.113e-05
2025-05-16,2.104e-05,5.645e-05,2.02e-05,4.047e-05
