date,open,high,low,close
2025-03-13,0.00010913,0.00011741,4.798e-05,5.073e-05
2025-03-17,5.108e-05,6.826e-05,2.852e-05,3.928e-05
2025-03-21,3.93e-05,8.487e-05,3.372e-05,5.013e-05
2025-03-25,5.012e-05,7.989e-05,3.955e-05,6.311e-05
2025-03-29,6.275e-05,7.766e-05,4.638e-05,5.02e-05
2025-04-02,5.023e-05,6.274e-05,4.317e-05,5.313e-05
2025-04-06,5.289e-05,5.306e-05,2.288e-05,2.561e-05
2025-04-10,2.575e-05,3.791e-05,2.404e-05,3.371e-05
2025-04-14,3.356e-05,4.807e-05,2.707e-05,4.364e-05
2025-04-18,4.362e-05,4.587e-05,2.868e-05,3.716e-05
2025-04-22,3.765e-05,4.253e-05,3.523e-05,3.87e-05
2025-04-26,3.86e-05,4.074e-05,3.256e-05,3.3e-05
2025-04-30,3.303e-05,3.315e-05,2.719e-05,2.778e-05
2025-05-04,2.764e-05,5.013e-05,2.747e-05,3.124e-05
2025-05-08,3.122e-05,3.203e-05,2.398e-05,2.432e-05
2025-05-12,2.431e-05,2.969e-05,2.425e-05,2.819e-05
2025-05-16,2.832e-05,2.934e-05,1.07e-05,1.081e-05
