date,open,high,low,close
2024-05-17,0.00027815,0.00030095,0.00027741,0.00029388
2024-05-21,0.00029387,0.00034099,0.00025398,0.00028676
2024-05-25,0.00028673,0.00028883,0.00023374,0.00023509
2024-05-29,0.00023511,0.00025196,0.00021427,0.00022675
2024-06-02,0.00022673,0.00025449,0.00022051,0.00023602
2024-06-06,0.00023565,0.00026105,0.00022828,0.00025573
2024-06-10,0.00025589,0.0002559,0.00017875,0.00017897
2024-06-14,0.00017894,0.00017894,0.00013658,0.00014146
2024-06-18,0.0001413,0.00015323,0.00012894,0.00015006
2024-06-22,0.00015014,0.00015014,7.106e-05,7.294e-05
2024-06-26,7.301e-05,7.435e-05,6.627e-05,6.991e-05
2024-06-30,6.997e-05,7.391e-05,4.273e-05,4.275e-05
2024-07-04,4.277e-05,5.091e-05,3.988e-05,4.473e-05
2024-07-08,4.471e-05,4.512e-05,3.575e-05,3.942e-05
2024-07-12,4.135e-05,4.761e-05,4.024e-05,4.717e-05
2024-07-16,4.715e-05,5.68e-05,4.609e-05,5.68e-05
2024-07-20,5.702e-05,5.874e-05,5.451e-05,5.515e-05
2024-07-24,5.864e-05,6.398e-05,5.804e-05,5.948e-05
2024-07-28,6.006e-05,6.758e-05,5.709e-05,6.576e-05
2024-08-01,6.536e-05,6.88e-05,5.952e-05,5.978e-05
2024-08-05,5.944e-05,5.986e-05,4.439e-05,4.628e-05
2024-08-09,4.652e-05,5.461e-05,3.766e-05,5.448e-05
2024-08-13,5.448e-05,5.449e-05,4.698e-05,4.864e-05
2024-08-17,4.826e-05,4.856e-05,4.48e-05,4.56e-05
2024-08-21,4.563e-05,4.848e-05,4.563e-05,4.637e-05
2024-08-25,4.64e-05,5.142e-05,4.598e-05,5.142e-05
2024-08-29,5.079e-05,5.127e-05,4.432e-05,4.528e-05
2024-09-02,4.53e-05,4.548e-05,4.228e-05,4.243e-05
2024-09-06,4.204e-05,4.27e-05,4.022e-05,4.229e-05
2024-09-10,4.228e-05,4.373e-05,3.943e-05,4.236e-05
2024-09-14,4.258e-05,4.451e-05,4.091e-05,4.425e-05
2024-09-18,4.401e-05,4.474e-05,4.084e-05,4.158e-05
2024-09-22,4.162e-05,4.758e-05,4.024e-05,4.625e-05
2024-09-26,4.513e-05,4.705e-05,4.472e-05,4.628e-05
2024-09-30,4.631e-05,5.107e-05,4.589e-05,4.91e-05
2024-10-04,4.914e-05,4.919e-05,4.132e-05,4.208e-05
2024-10-08,4.412e-05,4.693e-05,4.348e-05,4.453e-05
2024-10-12,4.436e-05,5.616e-05,4.211e-05,5.452e-05
2024-10-16,5.452e-05,6.293e-05,5.452e-05,5.962e-05
2024-10-20,5.994e-05,6.046e-05,5.682e-05,5.842e-05
2024-10-24,5.469e-05,5.679e-05,5.193e-05,5.588e-05
2024-10-28,5.585e-05,5.852e-05,5.296e-05,5.729e-05
2024-11-01,5.728e-05,5.92e-05,5.445e-05,5.482e-05
2024-11-05,5.327e-05,5.607e-05,5.106e-05,5.155e-05
2024-11-09,5.176e-05,6.337e-05,5.148e-05,6.15e-05
2024-11-13,6.129e-05,6.505e-05,5.958e-05,6.296e-05
2024-11-17,6.306e-05,6.318e-05,5.026e-05,5.263e-05
2024-11-21,5.241e-05,6.132e-05,5.161e-05,5.76e-05
2024-11-25,5.707e-05,6.395e-05,5.589e-05,6.154e-05
2024-11-29,6.109e-05,6.213e-05,4.526e-05,4.583e-05
2024-12-03,4.559e-05,4.985e-05,4.165e-05,4.261e-05
2024-12-07,4.242e-05,4.621e-05,4.061e-05,4.508e-05
2024-12-11,4.456e-05,4.567e-05,3.729e-05,3.915e-05
2024-12-15,3.917e-05,4.294e-05,3.883e-05,4.029e-05
2024-12-19,4.048e-05,4.176e-05,3.732e-05,3.746e-05
2024-12-23,3.762e-05,3.871e-05,3.261e-05,3.334e-05
2024-12-27,3.494e-05,3.652e-05,3.391e-05,3.406e-05
2024-12-31,3.426e-05,3.57e-05,3.317e-05,3.457e-05
2025-01-04,3.463e-05,3.96e-05,3.42e-05,3.938e-05
2025-01-08,3.918e-05,3.984e-05,3.628e-05,3.634e-05
2025-01-12,3.625e-05,3.656e-05,3.413e-05,3.537e-05
2025-01-16,3.398e-05,3.519e-05,3.123e-05,3.501e-05
2025-01-20,3.967e-05,4.994e-05,3.94e-05,4.101e-05
2025-01-24,4.171e-05,4.686e-05,3.969e-05,4.435e-05
2025-01-28,4.433e-05,4.678e-05,3.921e-05,3.963e-05
2025-02-01,4.222e-05,4.29e-05,3.993e-05,4.207e-05
2025-02-05,3.444e-05,3.867e-05,3.206e-05,3.659e-05
2025-02-09,3.672e-05,3.696e-05,3.289e-05,3.483e-05
2025-02-13,3.481e-05,3.64e-05,3.406e-05,3.566e-05
2025-02-17,3.446e-05,3.611e-05,3.284e-05,3.295e-05
2025-02-21,3.309e-05,3.339e-05,2.951e-05,3.11e-05
2025-02-25,3.112e-05,3.26e-05,2.917e-05,2.967e-05
2025-03-01,2.449e-05,2.553e-05,2.273e-05,2.369e-05
2025-03-05,2.486e-05,3.097e-05,2.294e-05,2.498e-05
2025-03-09,2.488e-05,2.598e-05,2.328e-05,2.408e-05
2025-03-13,2.181e-05,2.23e-05,1.952e-05,2.126e-05
2025-03-17,2.18e-05,2.191e-05,2.08e-05,2.081e-05
2025-03-21,2.17e-05,2.18e-05,2.156e-05,2.16e-05
2025-03-25,2.169e-05,2.186e-05,2.136e-05,2.169e-05
2025-04-02,2.125e-05,2.199e-05,2.076e-05,2.153e-05
2025-04-06,2.136e-05,2.194e-05,1.955e-05,2.064e-05
2025-04-10,1.808e-05,1.891e-05,1.625e-05,1.887e-05
2025-04-14,2.212e-05,2.279e-05,2.142e-05,2.178e-05
2025-04-18,2.218e-05,2.294e-05,2.139e-05,2.158e-05
2025-04-22,2.283e-05,2.412e-05,2.253e-05,2.298e-05
2025-04-26,2.345e-05,2.578e-05,2.335e-05,2.562e-05
2025-04-30,2.515e-05,7.578e-05,2.443e-05,2.945e-05
2025-05-04,2.929e-05,2.954e-05,2.471e-05,2.535e-05
2025-05-08,2.521e-05,2.745e-05,2.467e-05,2.553e-05
2025-05-12,3.01e-05,3.09e-05,2.969e-05,3.069e-05
2025-05-16,3.068e-05,4.756e-05,2.928e-05,4.295e-05
