date,open,high,low,close
2025-02-21,0.0121935,0.01226974,0.00540091,0.00807196
2025-02-25,0.00799507,0.00840804,0.00427944,0.00491145
2025-03-01,0.00498598,0.00724576,0.00473243,0.00661479
2025-03-05,0.00661578,0.00700514,0.00388751,0.00471528
2025-03-09,0.00468817,0.00504044,0.00266808,0.00290488
2025-03-13,0.00290548,0.00458389,0.00258387,0.00334213
2025-03-17,0.00325999,0.00337343,0.00214836,0.0023569
2025-03-21,0.00237377,0.00361238,0.00222299,0.00342531
2025-03-25,0.00345287,0.00493317,0.00275461,0.00419948
2025-03-29,0.00424662,0.00813368,0.00398304,0.0068695
2025-04-02,0.00679434,0.00728995,0.00357121,0.0041346
2025-04-06,0.00413489,0.0042853,0.00191737,0.00207619
2025-04-10,0.00208613,0.00328826,0.00160079,0.00277083
2025-04-14,0.00275827,0.00552126,0.00246721,0.00384122
2025-04-18,0.00381737,0.0043638,0.0035953,0.00404719
2025-04-22,0.00404855,0.00406981,0.00312437,0.00329759
2025-04-26,0.00330533,0.00396795,0.00268277,0.0028862
2025-04-30,0.00288912,0.00328833,0.00237499,0.00250217
2025-05-04,0.00251448,0.00279226,0.00232081,0.00237639
2025-05-08,0.00238769,0.00257569,0.00208315,0.00231015
2025-05-12,0.00232258,0.00350431,0.00228296,0.00309355
2025-05-16,0.00311015,0.00385393,0.00274454,0.00278743
