date,open,high,low,close
2024-05-17,0.134124,0.148787,0.125339,0.139869
2024-05-21,0.137468,0.147712,0.107782,0.145901
2024-05-25,0.145911,0.150425,0.084976,0.112342
2024-05-29,0.112306,0.282629,0.086068,0.113813
2024-06-02,0.11383,0.176937,0.11349,0.176832
2024-06-06,0.176843,0.177064,0.118007,0.120677
2024-06-10,0.120437,0.161076,0.107281,0.111001
2024-06-14,0.111934,0.11388,0.090936,0.091709
2024-06-18,0.091485,0.115786,0.089077,0.113488
2024-06-22,0.113932,0.136731,0.112835,0.128031
2024-06-26,0.12826,0.147218,0.119439,0.134464
2024-06-30,0.134574,0.146677,0.131727,0.139977
2024-07-04,0.138956,0.143159,0.115985,0.116223
2024-07-08,0.116242,0.138797,0.11603,0.138232
2024-07-12,0.138597,0.140029,0.127862,0.134858
2024-07-16,0.136224,0.138697,0.130227,0.130801
2024-07-20,0.130772,0.174616,0.130303,0.159391
2024-07-24,0.16061,0.161884,0.145312,0.147179
2024-07-28,0.148694,0.149579,0.136018,0.136834
2024-08-01,0.136976,0.13726,0.108393,0.109495
2024-08-05,0.109128,0.113239,0.074767,0.097321
2024-08-09,0.097385,0.105062,0.093867,0.103717
2024-08-13,0.103952,0.106103,0.082762,0.086518
2024-08-17,0.08656,0.087479,0.064174,0.064558
2024-08-21,0.064707,0.072736,0.052009,0.052283
2024-08-25,0.052188,0.067627,0.051952,0.05633
2024-08-29,0.05627,0.0929,0.056007,0.081581
2024-09-02,0.087998,0.114715,0.05981,0.107605
2024-09-06,0.104194,0.118727,0.068434,0.089716
2024-09-10,0.090988,0.114652,0.074239,0.10572
2024-09-14,0.101298,0.157512,0.058834,0.060999
2024-09-18,0.060816,0.063304,0.04893843,0.050151
2024-09-22,0.050992,0.051636,0.03740057,0.03742876
2024-09-26,0.03756807,0.03910316,0.03568134,0.03661984
2024-09-30,0.03654612,0.067419,0.03598729,0.04664157
2024-10-04,0.04660313,0.052031,0.04484947,0.052031
2024-10-08,0.051815,0.089001,0.051815,0.08833
2024-10-12,0.088282,0.092035,0.086296,0.090257
2024-10-16,0.090677,0.19378,0.089167,0.181602
2024-10-20,0.181641,0.198755,0.170382,0.197333
2024-10-24,0.197349,0.289702,0.195064,0.281126
2024-10-28,0.280917,0.332344,0.277731,0.32903
2024-11-01,0.32885,0.382662,0.326941,0.379909
2024-11-05,0.378894,0.48491,0.378211,0.469264
2024-11-09,0.46919,0.499305,0.248621,0.437832
2024-11-13,0.420551,0.451277,0.182526,0.204284
2024-11-17,0.207687,0.208586,0.051481,0.140927
2024-11-21,0.141011,0.213999,0.141011,0.201578
2024-11-25,0.200738,0.216836,0.109796,0.131842
2024-11-29,0.131869,0.194204,0.131403,0.185885
2024-12-03,0.18608,0.193805,0.125692,0.134435
2024-12-07,0.135163,0.180598,0.134384,0.157883
2024-12-11,0.157587,0.173992,0.086686,0.110767
2024-12-15,0.110422,0.120677,0.108162,0.113094
2024-12-19,0.113257,0.114448,0.076516,0.077025
2024-12-23,0.077175,0.111019,0.076995,0.105274
2024-12-27,0.105365,0.121234,0.104852,0.114965
2024-12-31,0.114913,0.115206,0.103008,0.11016
2025-01-04,0.109938,0.111117,0.06948,0.069975
2025-01-08,0.07045,0.07664,0.069299,0.075568
2025-01-12,0.075044,0.075728,0.065879,0.070352
2025-01-16,0.070363,0.070875,0.063321,0.067109
2025-01-20,0.067068,0.067622,0.052339,0.053306
2025-01-24,0.053385,0.053877,0.04388725,0.053568
2025-01-28,0.053764,0.069126,0.053123,0.064038
2025-02-01,0.064049,0.074385,0.063172,0.073475
2025-02-05,0.073066,0.083874,0.061439,0.073561
2025-02-09,0.07351,0.073654,0.05126,0.051741
2025-02-13,0.051758,0.058661,0.050138,0.054235
2025-02-17,0.054679,0.058754,0.051354,0.054937
2025-02-21,0.054797,0.059544,0.0506,0.051477
2025-02-25,0.051474,0.052846,0.04756222,0.04778592
2025-03-01,0.04784824,0.04871185,0.04612887,0.04700681
2025-03-05,0.0470075,0.122087,0.0462386,0.120012
2025-03-09,0.120015,0.191756,0.113583,0.191235
2025-03-13,0.191244,0.253426,0.19112,0.241004
2025-03-17,0.241544,0.242116,0.125055,0.18711
2025-03-21,0.18706,0.19593,0.107303,0.155783
2025-03-25,0.155754,0.199346,0.10106,0.180858
2025-03-29,0.180885,0.194026,0.151535,0.152808
2025-04-02,0.152842,0.169159,0.138857,0.150595
2025-04-06,0.150631,0.178211,0.120102,0.154546
2025-04-10,0.154471,0.166558,0.122789,0.142628
2025-04-14,0.145162,0.162076,0.132705,0.141655
2025-04-18,0.141603,0.144749,0.120023,0.13105
2025-04-22,0.13112,0.131131,0.055252,0.070149
2025-04-26,0.070149,0.100592,0.06993,0.091732
2025-04-30,0.091879,0.126251,0.087554,0.091089
2025-05-04,0.09109,0.101245,0.07026,0.079002
2025-05-08,0.079002,0.093703,0.072471,0.077525
2025-05-12,0.080309,0.088305,0.072142,0.08711
2025-05-16,0.087111,0.111996,0.086507,0.110196
