date,open,high,low,close
2024-08-01,0.01899628,0.03112675,0.01227084,0.03003073
2024-08-05,0.02989313,0.04407259,0.01623097,0.01880017
2024-08-09,0.01857342,0.02524187,0.00924364,0.01896745
2024-08-13,0.01826914,0.03032405,0.01582151,0.02009474
2024-08-17,0.02028943,0.0239356,0.0103763,0.01214602
2024-08-21,0.01200631,0.01852671,0.01139328,0.0130064
2024-08-25,0.0130309,0.04234162,0.01080772,0.0373764
2024-08-29,0.03755383,0.082514,0.032214,0.063777
2024-09-02,0.063787,0.077507,0.04690085,0.066686
2024-09-06,0.066878,0.094865,0.064447,0.066647
2024-09-10,0.065993,0.083752,0.056067,0.082147
2024-09-14,0.081619,0.102016,0.070479,0.096276
2024-09-18,0.095956,0.096132,0.064993,0.072952
2024-09-22,0.072537,0.083077,0.058387,0.065191
2024-09-26,0.065235,0.077307,0.056716,0.063686
2024-09-30,0.063986,0.086378,0.04959269,0.075677
2024-10-04,0.074688,0.146429,0.069669,0.140887
2024-10-08,0.142018,0.207551,0.119222,0.185255
2024-10-12,0.183329,0.203366,0.144905,0.194566
2024-10-16,0.194181,0.215693,0.165856,0.1819
2024-10-20,0.182989,0.204601,0.157184,0.177282
2024-10-24,0.175932,0.27441,0.152409,0.226706
2024-10-28,0.226547,0.254888,0.185295,0.218644
2024-11-01,0.221544,0.29831,0.207996,0.285658
2024-11-05,0.285498,0.344084,0.23913,0.333427
2024-11-09,0.338025,0.482158,0.32949,0.44301
2024-11-13,0.442001,0.660757,0.419336,0.592496
2024-11-17,0.594612,0.736315,0.528394,0.573959
2024-11-21,0.573475,0.666115,0.435168,0.556376
2024-11-25,0.559327,0.57611,0.371269,0.468696
2024-11-29,0.465981,0.529018,0.372409,0.393174
2024-12-03,0.393962,0.442018,0.314672,0.357497
2024-12-07,0.357009,0.483092,0.348499,0.430547
2024-12-11,0.4301,0.515418,0.314588,0.342968
2024-12-15,0.343127,0.398345,0.270981,0.301226
2024-12-19,0.299074,0.333018,0.256995,0.260774
2024-12-23,0.260945,0.260945,0.175594,0.231101
2024-12-27,0.230853,0.327272,0.215886,0.264245
2024-12-31,0.263602,0.360371,0.263602,0.314079
2025-01-04,0.313045,0.317424,0.235075,0.281383
2025-01-08,0.281286,0.353061,0.209705,0.210475
2025-01-12,0.211836,0.241376,0.157834,0.176596
2025-01-16,0.179599,0.205756,0.151713,0.20442
2025-01-20,0.203437,0.271258,0.145289,0.15072
2025-01-24,0.156049,0.23071,0.132483,0.152615
2025-01-28,0.15649,0.158052,0.08147,0.103829
2025-02-01,0.10303,0.126337,0.082585,0.087076
2025-02-05,0.087246,0.108335,0.059182,0.095502
2025-02-09,0.09557,0.102898,0.060871,0.067302
2025-02-13,0.067077,0.071503,0.056964,0.061196
2025-02-17,0.061257,0.067264,0.052996,0.053937
2025-02-21,0.054061,0.075936,0.03273078,0.075754
2025-02-25,0.07525,0.096738,0.055978,0.056718
2025-03-01,0.056292,0.083955,0.05257,0.078681
2025-03-05,0.078681,0.096772,0.059589,0.067406
2025-03-09,0.067004,0.072115,0.053539,0.053768
2025-03-13,0.053843,0.055982,0.03831516,0.04502213
2025-03-17,0.04505073,0.053518,0.04000572,0.04766025
2025-03-21,0.04771983,0.050487,0.04358309,0.04608874
2025-03-25,0.04604516,0.058457,0.04065513,0.055269
2025-03-29,0.055305,0.061997,0.04305506,0.04573637
2025-04-02,0.04550503,0.04686163,0.03761187,0.04113143
2025-04-06,0.04110925,0.04110925,0.03116719,0.03345717
2025-04-10,0.03345526,0.03345526,0.02282996,0.02944681
2025-04-14,0.02947856,0.04872572,0.02718641,0.03978962
2025-04-18,0.0403513,0.04758263,0.03343548,0.03536949
2025-04-22,0.03531408,0.03954111,0.03186122,0.03552539
2025-04-26,0.03565567,0.054396,0.0349381,0.04903039
2025-04-30,0.04880125,0.068151,0.04795553,0.056826
2025-05-04,0.057033,0.06273,0.04599485,0.04712255
2025-05-08,0.04705894,0.04766394,0.037166,0.04280375
2025-05-12,0.04293359,0.089881,0.0411255,0.089881
2025-05-16,0.090742,0.123048,0.081907,0.084014
