date,open,high,low,close
2025-04-02,0.0035218,0.00576337,0.00191347,0.00269827
2025-04-06,0.00276344,0.012087,0.00227079,0.00812531
2025-04-10,0.00813495,0.01167931,0.00275583,0.01132504
2025-04-14,0.01134202,0.01979179,0.00980035,0.01217865
2025-04-18,0.01234189,0.01879856,0.00854582,0.00884633
2025-04-22,0.00886218,0.01209514,0.00544251,0.00724358
2025-04-26,0.00728701,0.04266608,0.00703898,0.03332054
2025-04-30,0.03320852,0.088063,0.02937542,0.078907
2025-05-04,0.077796,0.117813,0.057959,0.070923
2025-05-08,0.070432,0.096886,0.04156655,0.04327583
2025-05-12,0.04326686,0.084489,0.0412304,0.066225
2025-05-16,0.066699,0.07011,0.03570082,0.04719974
