date,open,high,low,close
2024-11-25,0.0021366,0.00297447,0.00111802,0.0013012
2024-11-29,0.00128825,0.00272064,0.00107682,0.00156007
2024-12-03,0.00180145,0.00388484,0.00134326,0.00135703
2024-12-07,0.00132914,0.00160338,0.00085442,0.00085845
2024-12-11,0.00085777,0.00086062,0.00043193,0.0005869
2024-12-15,0.00058655,0.00077716,0.00056314,0.00062577
2024-12-19,0.00062998,0.00133517,0.00061743,0.00068072
2024-12-23,0.00068386,0.00075446,0.00046261,0.00046569
2024-12-27,0.00046743,0.00048441,0.00040603,0.000416
2024-12-31,0.00041584,0.00042598,0.0003238,0.00034195
2025-01-04,0.00034398,0.00046459,0.00032769,0.00042323
2025-01-08,0.00042316,0.00042947,0.00030359,0.00031025
2025-01-12,0.00030988,0.00030988,0.00025054,0.00025515
2025-01-16,0.00025633,0.00027396,0.00023648,0.00027396
2025-01-20,0.00027431,0.00035672,0.00026868,0.00028167
2025-01-24,0.00028819,0.00031717,0.00026338,0.00028431
2025-01-28,0.00028328,0.0002978,0.00021976,0.00023239
2025-02-01,0.00023131,0.00024198,0.00022185,0.00022946
2025-02-05,0.00022828,0.00023015,0.00014518,0.00014725
2025-02-09,0.00014767,0.00014869,0.00012687,0.00013547
2025-02-13,0.00013534,0.00014121,0.00012561,0.0001305
2025-02-17,0.00013135,0.00025861,0.00012291,0.00012446
2025-02-21,0.00012401,0.0001247,0.00010617,0.00011425
2025-02-25,0.00011429,0.00011616,8.764e-05,8.764e-05
2025-03-01,8.901e-05,9.252e-05,8.179e-05,9.252e-05
2025-03-05,9.242e-05,0.00011145,8.151e-05,8.916e-05
2025-03-09,8.826e-05,9.377e-05,8.271e-05,8.343e-05
2025-03-13,8.298e-05,8.461e-05,6.729e-05,7.504e-05
2025-03-17,7.554e-05,8.105e-05,7.443e-05,7.496e-05
2025-03-21,7.622e-05,8.003e-05,7.189e-05,7.469e-05
2025-03-25,7.464e-05,8.345e-05,7.351e-05,8.204e-05
2025-03-29,8.194e-05,8.467e-05,7.527e-05,7.55e-05
2025-04-02,7.558e-05,7.561e-05,7.081e-05,7.311e-05
2025-04-06,7.342e-05,7.78e-05,6.573e-05,6.838e-05
2025-04-10,6.827e-05,6.898e-05,6.133e-05,6.762e-05
2025-04-14,6.763e-05,7.517e-05,6.173e-05,7.3e-05
2025-04-18,7.298e-05,7.642e-05,7.087e-05,7.524e-05
2025-04-22,7.562e-05,7.964e-05,7.448e-05,7.599e-05
2025-04-26,8.306e-05,8.536e-05,7.766e-05,7.952e-05
2025-04-30,7.959e-05,8.042e-05,7.537e-05,7.624e-05
2025-05-04,7.627e-05,7.97e-05,7.29e-05,7.577e-05
2025-05-08,7.577e-05,7.709e-05,7.354e-05,7.519e-05
2025-05-12,8.586e-05,9.291e-05,8.507e-05,8.944e-05
2025-05-16,8.995e-05,9.495e-05,8.527e-05,8.573e-05
