date,open,high,low,close
2025-02-01,0.183148,0.220059,0.04564547,0.054654
2025-02-05,0.053907,0.06361,0.03018072,0.03108484
2025-02-09,0.03106569,0.03161522,0.01089752,0.01431287
2025-02-13,0.01434299,0.01528799,0.00828883,0.0093237
2025-02-17,0.00940339,0.01060574,0.00596051,0.00671564
2025-02-21,0.00667184,0.01040423,0.00470992,0.01025313
2025-02-25,0.01024224,0.0197343,0.00921834,0.01145381
2025-03-01,0.0115023,0.01442966,0.00895595,0.01097731
2025-03-05,0.01094514,0.01274579,0.00737335,0.00815596
2025-03-09,0.00809296,0.00809296,0.00548069,0.00555295
2025-03-13,0.00553457,0.00603992,0.00372817,0.00469825
2025-03-17,0.00468513,0.01798526,0.00422763,0.0143764
2025-03-21,0.01439123,0.0295358,0.01388623,0.01988855
2025-03-25,0.02051205,0.04040148,0.0166955,0.01703208
2025-03-29,0.01695993,0.04365235,0.00904006,0.01491703
2025-04-02,0.0148595,0.0164298,0.01262319,0.01262319
2025-04-06,0.012594,0.01265542,0.0095854,0.0108553
2025-04-10,0.01079956,0.01220633,0.01001336,0.01138472
2025-04-14,0.01140509,0.01389161,0.01029881,0.01226197
2025-04-18,0.01219154,0.01429401,0.01186012,0.01327935
2025-04-22,0.01324541,0.01388673,0.00929885,0.01110062
2025-04-26,0.01111971,0.028935,0.01111971,0.02686602
2025-04-30,0.02697616,0.03869343,0.02680919,0.03468333
2025-05-04,0.0344922,0.04193772,0.0329085,0.03582555
2025-05-08,0.03586273,0.03789502,0.03095652,0.03384419
2025-05-12,0.03389988,0.04475918,0.02590867,0.03108059
2025-05-16,0.03103478,0.069803,0.02757395,0.03588674
