date,open,high,low,close
2024-05-17,175.76,181.79,174.75,175.99
2024-05-21,176.26,208.61,176.26,206.33
2024-05-25,206.47,207.6,181.28,185.86
2024-05-29,185.84,191.71,179.3,187.98
2024-06-02,187.67,192.54,182.45,185.41
2024-06-06,185.47,195.05,180.13,193.41
2024-06-10,193.15,194.03,175.15,180.59
2024-06-14,180.58,180.92,163.26,164.35
2024-06-18,164.58,168.63,156.39,160.39
2024-06-22,160.37,160.49,144.17,150.15
2024-06-26,150.28,155.86,138.43,153.03
2024-06-30,153.1,167.78,151.33,156.6
2024-07-04,156.74,173.05,153.75,157.86
2024-07-08,157.61,161.7,136.05,148.85
2024-07-12,149.11,163.13,143.63,153.09
2024-07-16,152.98,179.49,150.75,179.49
2024-07-20,179.58,192.25,171.96,190.12
2024-07-24,190.07,207.68,188.21,194.21
2024-07-28,194.45,211.71,187.45,208.07
2024-08-01,207.19,218.31,193.83,193.91
2024-08-05,193.59,194.38,149.19,154.98
2024-08-09,155.56,183.81,125.15,183.81
2024-08-13,183.98,183.98,159.5,165.47
2024-08-17,165.35,170.74,154.42,157.45
2024-08-21,157.17,168.13,155.97,161.26
2024-08-25,161.19,183.74,157.64,181.99
2024-08-29,182.12,183.4,159.98,163.26
2024-09-02,163.18,166.87,145.48,146.26
2024-09-06,146.01,155.68,140.64,146.69
2024-09-10,146.84,154.81,137.55,153.37
2024-09-14,153.39,159.04,146.01,157.86
2024-09-18,158.2,158.88,147.16,149.63
2024-09-22,149.71,172.56,144.77,170.36
2024-09-26,170.35,174.94,160.92,168.56
2024-09-30,168.6,184.02,167.44,180.95
2024-10-04,180.91,181.55,152.44,156.06
2024-10-08,156.02,173.06,155.31,164.96
2024-10-12,164.63,167.28,155.11,166.14
2024-10-16,166.34,181.25,165.33,177.2
2024-10-20,177.21,182.85,169.47,182.57
2024-10-24,182.61,199.25,180.67,196.32
2024-10-28,195.9,204.96,184.07,202.86
2024-11-01,202.74,209.33,192.63,193.66
2024-11-05,193.31,199.47,178.6,180.94
2024-11-09,181.15,235.8,180.4,230.07
2024-11-13,229.95,257.89,225.56,244.11
2024-11-17,243.77,256.35,232.94,249.19
2024-11-21,248.83,285.94,245.37,272.86
2024-11-25,272.18,304.59,266.35,291.91
2024-11-29,292.53,296.16,260.86,275.29
2024-12-03,274.94,284.85,256.22,261.07
2024-12-07,261.15,284.98,251.29,274.73
2024-12-11,274.23,281.97,236.69,247.48
2024-12-15,247.5,271.77,245.82,255.37
2024-12-19,255.46,265.59,238.12,238.12
2024-12-23,239.39,245.47,205.15,209.36
2024-12-27,209.24,234.85,205.72,219.29
2024-12-31,219.05,229.25,212.99,222.04
2025-01-04,222.11,255.72,218.91,253.57
2025-01-08,254.06,259.72,236.08,236.34
2025-01-12,236.18,237.04,213.34,219.41
2025-01-16,219.59,240.51,202.37,240.51
2025-01-20,240.98,339.52,232.33,271.45
2025-01-24,271.01,317.69,270.19,297.31
2025-01-28,297.5,315.93,260.52,275.53
2025-02-01,275.76,286.85,262.05,271.66
2025-02-05,271.61,274.77,209.61,242.81
2025-02-09,243.31,245.53,221.62,235.52
2025-02-13,234.92,245.44,223.46,231.12
2025-02-17,231.09,242.56,220.21,221.98
2025-02-21,221.86,223.42,190.47,207.69
2025-02-25,207.88,212.88,166.16,166.3
2025-03-01,167.56,175.33,149.57,175.33
2025-03-05,174.9,210.82,156.6,171.71
2025-03-09,171.27,180.66,160.37,162.12
2025-03-13,162.2,165.41,134.38,149.69
2025-03-17,149.76,161.83,143.63,149.65
2025-03-21,149.53,161.3,144.77,151.52
2025-03-25,151.58,172.27,148.74,167.39
2025-03-29,167.45,174.89,152.34,153.89
2025-04-02,154.09,155.02,146.46,150.87
2025-04-06,150.83,160.72,133.89,142.93
2025-04-10,143.19,144.03,115.57,141.78
2025-04-14,142.08,159.59,129.73,153.56
2025-04-18,153.6,162.31,147.91,160.93
2025-04-22,161.06,170.57,158.49,163.24
2025-04-26,163.35,186.41,162.14,180.71
2025-04-30,180.67,183.15,173.6,175.61
2025-05-04,175.34,184.32,169.33,175.9
2025-05-08,175.84,179.17,169.8,176.55
2025-05-12,176.64,215.54,176.64,207.7
2025-05-16,207.75,221.57,200.8,203.08
