date,open,high,low,close
2024-05-17,2.77,2.82,2.72,2.76
2024-05-21,2.76,2.99,2.75,2.94
2024-05-25,2.94,3.01,2.84,2.91
2024-05-29,2.91,2.96,2.85,2.94
2024-06-02,2.94,3.0,2.88,2.93
2024-06-06,2.93,2.97,2.9,2.94
2024-06-10,2.93,2.95,2.8,2.92
2024-06-14,2.92,2.99,2.8,2.85
2024-06-18,2.86,2.93,2.78,2.86
2024-06-22,2.86,2.93,2.68,2.82
2024-06-26,2.82,2.87,2.71,2.84
2024-06-30,2.85,2.99,2.82,2.87
2024-07-04,2.87,2.98,2.85,2.87
2024-07-08,2.87,2.9,2.72,2.81
2024-07-12,2.8,2.94,2.75,2.87
2024-07-16,2.87,3.07,2.84,3.07
2024-07-20,3.07,3.17,3.01,3.15
2024-07-24,3.15,3.28,3.13,3.19
2024-07-28,3.19,3.3,3.13,3.24
2024-08-01,3.23,3.31,3.21,3.25
2024-08-05,3.24,3.27,2.94,3.01
2024-08-09,3.01,3.32,2.68,3.32
2024-08-13,3.31,3.31,3.1,3.18
2024-08-17,3.19,3.22,3.07,3.09
2024-08-21,3.09,3.22,3.08,3.15
2024-08-25,3.15,3.32,3.11,3.3
2024-08-29,3.29,3.34,3.13,3.17
2024-09-02,3.16,3.21,3.05,3.07
2024-09-06,3.06,3.14,3.01,3.07
2024-09-10,3.07,3.14,2.98,3.12
2024-09-14,3.13,3.19,3.06,3.18
2024-09-18,3.18,3.2,3.08,3.11
2024-09-22,3.11,3.29,3.08,3.27
2024-09-26,3.27,3.32,3.22,3.27
2024-09-30,3.27,3.4,3.26,3.37
2024-10-04,3.37,3.4,3.2,3.23
2024-10-08,3.22,3.36,3.22,3.31
2024-10-12,3.32,3.34,3.22,3.34
2024-10-16,3.34,3.4,3.3,3.39
2024-10-20,3.4,3.45,3.37,3.43
2024-10-24,3.43,3.52,3.42,3.49
2024-10-28,3.49,3.56,3.44,3.52
2024-11-01,3.52,3.61,3.5,3.54
2024-11-05,3.54,3.57,3.47,3.5
2024-11-09,3.5,3.83,3.49,3.81
2024-11-13,3.81,4.0,3.77,3.94
2024-11-17,3.96,4.06,3.9,3.96
2024-11-21,3.97,4.04,3.94,3.99
2024-11-25,4.0,4.14,3.97,4.09
2024-11-29,4.08,4.13,4.02,4.11
2024-12-03,4.11,4.14,4.09,4.13
2024-12-07,4.12,4.22,3.97,4.2
2024-12-11,4.2,4.21,4.12,4.19
2024-12-15,4.19,4.28,4.17,4.23
2024-12-19,4.24,4.3,4.18,4.21
2024-12-23,4.2,4.27,4.06,4.12
2024-12-27,4.12,4.28,4.08,4.18
2024-12-31,4.18,4.24,4.14,4.18
2025-01-04,4.18,4.41,4.16,4.4
2025-01-08,4.4,4.46,4.29,4.29
2025-01-12,4.29,4.3,4.15,4.21
2025-01-16,4.22,4.4,4.08,4.4
2025-01-20,4.4,5.03,4.28,4.58
2025-01-24,4.56,5.0,4.55,4.82
2025-01-28,4.81,4.96,4.53,4.68
2025-02-01,4.69,4.81,4.58,4.74
2025-02-05,4.74,4.75,4.18,4.51
2025-02-09,4.51,4.53,4.3,4.44
2025-02-13,4.44,4.55,4.35,4.45
2025-02-17,4.45,4.52,4.32,4.34
2025-02-21,4.34,4.36,4.1,4.28
2025-02-25,4.28,4.34,3.9,3.9
2025-03-01,3.91,3.96,3.66,3.93
2025-03-05,3.93,4.33,3.75,3.93
2025-03-09,3.92,4.04,3.82,3.84
2025-03-13,3.85,3.87,3.49,3.7
2025-03-17,3.71,3.83,3.61,3.69
2025-03-21,3.69,3.87,3.64,3.74
2025-03-25,3.74,3.98,3.7,3.92
2025-03-29,3.92,4.0,3.74,3.76
2025-04-02,3.76,3.78,3.66,3.74
2025-04-06,3.74,3.85,3.54,3.65
2025-04-10,3.65,3.66,3.26,3.64
2025-04-14,3.64,3.84,3.46,3.75
2025-04-18,3.75,3.86,3.69,3.84
2025-04-22,3.84,3.95,3.81,3.88
2025-04-26,3.88,4.19,3.86,4.14
2025-04-30,4.14,4.16,4.05,4.08
2025-05-04,4.08,4.19,4.01,4.11
2025-05-08,4.1,4.14,4.03,4.11
2025-05-12,4.11,4.64,4.11,4.56
2025-05-16,4.56,4.72,4.48,4.54
