date,open,high,low,close
2024-05-17,1.15,1.18,1.12,1.13
2024-05-21,1.13,1.31,1.13,1.26
2024-05-25,1.26,1.27,1.093,1.13
2024-05-29,1.13,1.19,1.1,1.16
2024-06-02,1.16,1.21,1.081,1.096
2024-06-06,1.096,1.18,1.057,1.16
2024-06-10,1.16,1.17,0.961863,1.01
2024-06-14,1.01,1.012,0.901776,0.904483
2024-06-18,0.905481,0.93423,0.8366,0.856696
2024-06-22,0.857859,0.859058,0.706633,0.764603
2024-06-26,0.765503,0.828436,0.701052,0.806396
2024-06-30,0.807694,0.88264,0.767916,0.793153
2024-07-04,0.794358,0.889412,0.77425,0.777066
2024-07-08,0.775674,0.804735,0.643598,0.692015
2024-07-12,0.691388,0.810627,0.664395,0.735663
2024-07-16,0.735519,0.911198,0.722266,0.911198
2024-07-20,0.910097,1.033,0.845259,1.016
2024-07-24,1.014,1.09,0.940566,0.951783
2024-07-28,0.951647,1.18,0.926657,1.1
2024-08-01,1.096,1.22,1.0,1.001
2024-08-05,1.001,1.038,0.772912,0.81962
2024-08-09,0.8246,0.913551,0.66787,0.913551
2024-08-13,0.911963,0.913599,0.785756,0.819459
2024-08-17,0.817287,0.84205,0.727297,0.743173
2024-08-21,0.743232,0.811142,0.736512,0.780656
2024-08-25,0.780005,0.944542,0.765276,0.920984
2024-08-29,0.921558,0.924605,0.772298,0.791564
2024-09-02,0.790967,0.814449,0.705637,0.706445
2024-09-06,0.705328,0.757282,0.675482,0.707614
2024-09-10,0.707196,0.744758,0.663165,0.735574
2024-09-14,0.735523,0.787124,0.697441,0.781987
2024-09-18,0.782533,0.789939,0.715605,0.731246
2024-09-22,0.731667,0.887959,0.705466,0.860432
2024-09-26,0.859891,0.915297,0.804373,0.865502
2024-09-30,0.86603,0.964202,0.860705,0.919982
2024-10-04,0.917807,0.923104,0.72425,0.742842
2024-10-08,0.742843,0.813931,0.736113,0.768572
2024-10-12,0.767466,0.792779,0.706097,0.784478
2024-10-16,0.785297,0.929902,0.77078,0.877208
2024-10-20,0.879351,0.919642,0.806374,0.915041
2024-10-24,0.914032,1.071,0.889529,1.071
2024-10-28,1.064,1.11,0.9213,1.018
2024-11-01,1.018,1.077,0.96098,0.967433
2024-11-05,0.965615,1.02,0.834352,0.851996
2024-11-09,0.856064,1.14,0.856064,1.11
2024-11-13,1.11,1.29,1.1,1.18
2024-11-17,1.17,1.21,1.035,1.12
2024-11-21,1.12,1.31,1.058,1.075
2024-11-25,1.071,1.19,1.023,1.13
2024-11-29,1.13,1.16,0.988393,1.13
2024-12-03,1.13,1.26,1.12,1.2
2024-12-07,1.2,1.43,1.11,1.34
2024-12-11,1.34,1.4,0.976978,1.049
2024-12-15,1.051,1.22,1.019,1.085
2024-12-19,1.084,1.13,0.923409,0.924373
2024-12-23,0.924848,0.942707,0.748219,0.811397
2024-12-27,0.812063,0.914556,0.797236,0.833422
2024-12-31,0.834946,0.861798,0.786985,0.809641
2025-01-04,0.811207,0.97019,0.795788,0.960309
2025-01-08,0.961022,0.978491,0.861095,0.861812
2025-01-12,0.857871,0.864512,0.779414,0.81541
2025-01-16,0.815786,0.837998,0.717304,0.837349
2025-01-20,0.837956,1.22,0.783319,0.972071
2025-01-24,0.972325,1.043,0.762289,0.797281
2025-01-28,0.804839,1.27,0.797549,1.13
2025-02-01,1.13,1.25,1.021,1.034
2025-02-05,1.035,1.057,0.773723,0.963378
2025-02-09,0.96086,0.971633,0.780159,0.842575
2025-02-13,0.84086,0.880994,0.795221,0.857358
2025-02-17,0.859007,1.002,0.809574,0.87622
2025-02-21,0.877713,0.89327,0.674275,0.787123
2025-02-25,0.786071,0.838748,0.679568,0.684253
2025-03-01,0.686757,0.758413,0.638676,0.757489
2025-03-05,0.756655,0.846835,0.605778,0.646769
2025-03-09,0.642805,0.662861,0.546292,0.551847
2025-03-13,0.551445,0.558339,0.454413,0.51294
2025-03-17,0.513244,0.537457,0.486858,0.490307
2025-03-21,0.489595,0.548043,0.489595,0.527978
2025-03-25,0.527214,0.583048,0.504305,0.566659
2025-03-29,0.568104,0.579488,0.493022,0.497142
2025-04-02,0.497141,0.500789,0.415567,0.425688
2025-04-06,0.424995,0.425016,0.359458,0.385251
2025-04-10,0.385406,0.387432,0.306358,0.377846
2025-04-14,0.378077,0.410278,0.352214,0.381963
2025-04-18,0.382183,0.396417,0.35102,0.367865
2025-04-22,0.36747,0.407128,0.365769,0.403355
2025-04-26,0.404264,0.503044,0.396319,0.484915
2025-04-30,0.484326,0.507891,0.446796,0.450622
2025-05-04,0.449411,0.482069,0.430338,0.432929
2025-05-08,0.432349,0.436493,0.405269,0.429809
2025-05-12,0.429795,0.592367,0.429795,0.55855
2025-05-16,0.559664,0.599501,0.490726,0.498103
