date,open,high,low,close
2024-11-01,3.73e-06,3.81e-06,3.61e-06,3.68e-06
2024-11-05,3.67e-06,3.71e-06,3.27e-06,3.29e-06
2024-11-09,3.32e-06,4.37e-06,3.28e-06,4.2e-06
2024-11-13,4.21e-06,6.31e-06,4.14e-06,6.1e-06
2024-11-17,6.12e-06,7.95e-06,5.59e-06,7.8e-06
2024-11-21,7.75e-06,1.016e-05,7.63e-06,9.6e-06
2024-11-25,9.5e-06,1.052e-05,9.16e-06,9.58e-06
2024-11-29,9.56e-06,9.56e-06,8.22e-06,8.52e-06
2024-12-03,8.54e-06,8.83e-06,7.84e-06,8.06e-06
2024-12-07,8.06e-06,8.69e-06,7.7e-06,8.39e-06
2024-12-11,8.38e-06,8.74e-06,7.25e-06,7.5e-06
2024-12-15,7.5e-06,8.17e-06,7.43e-06,7.66e-06
2024-12-19,7.64e-06,7.87e-06,7.07e-06,7.07e-06
2024-12-23,7.1e-06,7.26e-06,5.76e-06,5.82e-06
2024-12-27,5.82e-06,6.49e-06,5.71e-06,5.94e-06
2024-12-31,5.95e-06,6.19e-06,5.66e-06,6.02e-06
2025-01-04,6.02e-06,6.94e-06,5.94e-06,6.89e-06
2025-01-08,6.89e-06,7.2e-06,6.6e-06,6.62e-06
2025-01-12,6.61e-06,6.61e-06,5.96e-06,6.09e-06
2025-01-16,6.09e-06,6.61e-06,5.56e-06,6.61e-06
2025-01-20,6.61e-06,2.316e-05,6.4e-06,7.98e-06
2025-01-24,7.92e-06,9.68e-06,7.35e-06,8.74e-06
2025-01-28,8.73e-06,9.19e-06,7.28e-06,7.53e-06
2025-02-01,7.52e-06,7.82e-06,6.99e-06,7.09e-06
2025-02-05,7.09e-06,7.18e-06,5.58e-06,6.15e-06
2025-02-09,6.15e-06,6.7e-06,5.88e-06,6.52e-06
2025-02-13,6.53e-06,6.77e-06,6.25e-06,6.42e-06
2025-02-17,6.41e-06,6.67e-06,6.12e-06,6.14e-06
2025-02-21,6.12e-06,6.16e-06,5.28e-06,5.74e-06
2025-02-25,5.75e-06,5.86e-06,4.64e-06,4.64e-06
2025-03-01,4.68e-06,4.99e-06,4.25e-06,4.99e-06
2025-03-05,4.98e-06,5.52e-06,4.1e-06,4.57e-06
2025-03-09,4.56e-06,4.8e-06,4.26e-06,4.31e-06
2025-03-13,4.31e-06,4.4e-06,3.62e-06,4.01e-06
2025-03-17,4.01e-06,4.33e-06,3.85e-06,4e-06
2025-03-21,4e-06,4.31e-06,3.88e-06,4.06e-06
2025-03-25,4.06e-06,4.59e-06,3.98e-06,4.45e-06
2025-03-29,4.44e-06,4.63e-06,4.06e-06,4.09e-06
2025-04-02,4.09e-06,4.11e-06,3.89e-06,4.02e-06
2025-04-06,4.02e-06,4.2e-06,3.56e-06,3.8e-06
2025-04-10,3.8e-06,3.82e-06,3.06e-06,3.71e-06
2025-04-14,3.72e-06,4.14e-06,3.41e-06,3.99e-06
2025-04-18,3.99e-06,4.21e-06,3.86e-06,4.18e-06
2025-04-22,4.18e-06,4.43e-06,4.13e-06,4.32e-06
2025-04-26,4.32e-06,4.96e-06,4.28e-06,4.79e-06
2025-04-30,4.79e-06,4.85e-06,4.48e-06,4.57e-06
2025-05-04,4.57e-06,4.71e-06,4.34e-06,4.51e-06
2025-05-08,4.51e-06,4.56e-06,4.33e-06,4.46e-06
2025-05-12,4.46e-06,5.42e-06,4.46e-06,5.19e-06
2025-05-16,5.2e-06,5.47e-06,4.93e-06,4.95e-06
