date,open,high,low,close
2025-04-06,0.00017161,0.00027416,0.00010084,0.00011429
2025-04-10,0.00011276,0.00014526,3.36e-05,0.00012639
2025-04-14,0.00020406,0.00024913,1.373e-05,1.565e-05
2025-04-18,1.579e-05,1.954e-05,9.35e-06,1.292e-05
2025-04-22,1.292e-05,1.504e-05,1.076e-05,1.119e-05
2025-04-26,1.121e-05,1.98e-05,1.093e-05,1.187e-05
2025-04-30,1.182e-05,1.377e-05,9.36e-06,9.51e-06
2025-05-04,9.47e-06,9.53e-06,7.83e-06,7.87e-06
2025-05-08,7.87e-06,7.9e-06,7.1e-06,7.63e-06
2025-05-12,7.67e-06,8.69e-06,7.62e-06,7.92e-06
2025-05-16,7.93e-06,8.59e-06,7.81e-06,7.94e-06
