date,open,high,low,close
2024-05-17,186.47,194.67,186.47,188.58
2024-05-21,188.96,223.87,188.96,221.21
2024-05-25,221.68,223.76,193.92,199.22
2024-05-29,199.27,204.56,192.03,201.0
2024-06-02,200.86,205.77,194.98,198.35
2024-06-06,198.41,208.72,193.16,207.06
2024-06-10,206.77,207.7,187.63,193.48
2024-06-14,193.49,193.92,174.91,176.21
2024-06-18,176.14,180.54,167.79,171.66
2024-06-22,171.64,171.74,155.05,160.73
2024-06-26,160.79,166.61,148.16,163.6
2024-06-30,163.73,179.6,161.91,167.72
2024-07-04,167.76,185.02,164.6,168.87
2024-07-08,168.7,172.71,146.34,159.19
2024-07-12,158.77,174.41,153.81,163.58
2024-07-16,163.43,191.84,161.32,191.84
2024-07-20,191.79,205.67,184.12,203.2
2024-07-24,203.51,222.16,201.47,208.17
2024-07-28,208.08,226.53,200.71,222.66
2024-08-01,221.74,233.47,207.43,207.46
2024-08-05,207.28,208.06,159.58,165.73
2024-08-09,166.86,196.48,133.06,195.67
2024-08-13,196.55,196.68,170.9,177.31
2024-08-17,177.09,182.62,165.29,168.32
2024-08-21,168.36,179.85,166.67,172.52
2024-08-25,172.3,196.51,168.61,194.78
2024-08-29,194.93,196.19,170.85,174.63
2024-09-02,174.47,178.24,155.99,156.52
2024-09-06,156.25,166.39,150.24,157.07
2024-09-10,157.13,165.09,147.33,164.05
2024-09-14,164.06,170.23,156.09,169.11
2024-09-18,169.27,170.07,157.48,160.17
2024-09-22,160.25,184.57,155.04,182.52
2024-09-26,182.31,187.38,172.62,180.22
2024-09-30,180.49,196.98,179.0,193.25
2024-10-04,193.61,194.56,163.46,167.12
2024-10-08,167.13,185.35,166.37,176.79
2024-10-12,176.08,179.1,165.77,177.81
2024-10-16,177.91,193.79,177.13,189.7
2024-10-20,189.85,195.66,181.38,195.65
2024-10-24,195.77,213.37,193.3,210.57
2024-10-28,210.34,219.69,196.67,217.01
2024-11-01,216.89,224.83,206.04,207.14
2024-11-05,206.85,213.99,191.07,193.6
2024-11-09,193.71,252.55,193.22,246.32
2024-11-13,246.25,276.08,241.12,261.58
2024-11-17,261.12,274.74,248.85,266.05
2024-11-21,266.55,306.53,262.97,292.0
2024-11-25,291.44,325.39,285.29,313.31
2024-11-29,313.6,316.54,279.77,294.45
2024-12-03,294.42,305.54,275.08,279.58
2024-12-07,279.66,304.99,268.98,294.22
2024-12-11,294.03,302.0,254.66,265.5
2024-12-15,265.3,291.29,263.17,273.4
2024-12-19,273.57,284.72,255.51,255.81
2024-12-23,255.48,263.64,219.62,224.38
2024-12-27,224.22,251.26,220.3,234.9
2024-12-31,234.89,245.98,228.58,238.23
2025-01-04,238.34,274.25,234.94,272.26
2025-01-08,272.3,278.9,253.39,253.5
2025-01-12,252.99,253.79,229.2,235.42
2025-01-16,235.7,258.06,218.25,258.06
2025-01-20,258.33,363.77,249.75,294.01
2025-01-24,297.73,340.17,292.13,318.9
2025-01-28,319.62,339.2,279.46,296.35
2025-02-01,296.45,307.53,281.8,290.97
2025-02-05,291.93,295.07,228.66,260.9
2025-02-09,261.65,263.46,237.88,253.46
2025-02-13,252.24,263.6,240.44,248.22
2025-02-17,248.08,259.57,237.25,238.88
2025-02-21,238.61,240.2,203.89,223.33
2025-02-25,223.53,228.67,178.41,178.41
2025-03-01,179.61,188.09,160.5,188.07
2025-03-05,188.12,226.96,168.57,184.66
2025-03-09,184.11,194.23,172.86,174.21
2025-03-13,174.14,177.86,144.16,160.83
2025-03-17,161.16,173.89,154.48,161.0
2025-03-21,160.8,173.32,155.81,163.12
2025-03-25,162.9,185.46,159.6,179.69
2025-03-29,179.82,188.18,163.78,165.43
2025-04-02,165.37,166.72,157.33,162.37
2025-04-06,162.21,172.68,143.99,153.46
2025-04-10,154.11,154.95,123.59,152.4
2025-04-14,152.59,171.6,139.57,164.47
2025-04-18,164.97,174.42,159.16,172.84
2025-04-22,173.02,183.26,170.62,175.37
2025-04-26,175.73,200.91,174.03,194.19
2025-04-30,194.19,197.04,186.78,188.82
2025-05-04,188.62,198.14,182.04,189.26
2025-05-08,189.26,192.45,182.8,190.0
2025-05-12,189.97,232.03,189.91,223.32
2025-05-16,223.35,238.46,215.91,218.4
