date,open,high,low,close
2024-08-09,0.00193119,0.0019511,0.00015404,0.00016113
2024-08-13,0.00014302,0.00040277,4.578e-05,0.00011256
2024-08-17,0.00011085,0.00011591,3.738e-05,3.805e-05
2024-08-21,3.779e-05,4.567e-05,3.097e-05,3.901e-05
2024-08-25,3.877e-05,0.00019104,2.497e-05,6.029e-05
2024-08-29,6.01e-05,6.831e-05,3.704e-05,4.563e-05
2024-09-02,4.515e-05,5.78e-05,3.863e-05,3.895e-05
2024-09-06,3.897e-05,3.974e-05,2.158e-05,2.323e-05
2024-09-10,2.322e-05,2.325e-05,1.97e-05,2.2e-05
2024-09-14,2.212e-05,2.517e-05,1.948e-05,2.342e-05
2024-09-18,2.328e-05,2.657e-05,1.955e-05,1.97e-05
2024-09-22,1.97e-05,2.499e-05,1.902e-05,2.485e-05
2024-09-26,2.47e-05,2.784e-05,2.329e-05,2.702e-05
2024-09-30,2.705e-05,3.309e-05,2.678e-05,2.974e-05
2024-10-04,2.975e-05,3.269e-05,2.299e-05,2.338e-05
2024-10-08,2.337e-05,3.016e-05,2.276e-05,2.493e-05
2024-10-12,2.487e-05,8.185e-05,2.327e-05,4.995e-05
2024-10-16,5.036e-05,7.923e-05,3.377e-05,5.517e-05
2024-10-20,5.545e-05,6.059e-05,5.005e-05,6.02e-05
2024-10-24,6.022e-05,6.252e-05,4.479e-05,4.638e-05
2024-10-28,4.636e-05,9.193e-05,4.374e-05,7.813e-05
2024-11-01,7.807e-05,7.933e-05,7.132e-05,7.193e-05
2024-11-05,7.199e-05,8.499e-05,6.12e-05,6.179e-05
2024-11-09,6.21e-05,6.782e-05,4.517e-05,4.734e-05
2024-11-13,4.742e-05,4.932e-05,4.241e-05,4.322e-05
2024-11-17,4.341e-05,4.497e-05,3.919e-05,4.18e-05
2024-11-21,4.178e-05,0.00019356,4.101e-05,5.427e-05
2024-11-25,5.377e-05,5.678e-05,5.069e-05,5.201e-05
2024-11-29,5.177e-05,5.343e-05,4.153e-05,4.366e-05
2024-12-03,4.365e-05,4.54e-05,3.913e-05,4.03e-05
2024-12-07,4.033e-05,4.117e-05,3.636e-05,3.786e-05
2024-12-11,3.584e-05,3.59e-05,2.983e-05,3.153e-05
2024-12-15,3.154e-05,3.488e-05,3.125e-05,3.256e-05
2024-12-19,3.262e-05,3.399e-05,3.033e-05,3.053e-05
2024-12-23,3.064e-05,3.136e-05,2.57e-05,2.604e-05
2024-12-27,2.583e-05,2.936e-05,2.583e-05,2.67e-05
2024-12-31,2.657e-05,2.814e-05,2.592e-05,2.676e-05
2025-01-04,2.692e-05,2.809e-05,2.57e-05,2.778e-05
2025-01-08,2.793e-05,3.396e-05,2.633e-05,3.355e-05
2025-01-12,3.3e-05,4.36e-05,2.62e-05,3.13e-05
2025-01-16,3.13e-05,3.143e-05,2.502e-05,2.916e-05
2025-01-20,2.932e-05,3.493e-05,2.786e-05,2.882e-05
2025-01-24,2.879e-05,3.205e-05,2.732e-05,2.94e-05
2025-01-28,2.943e-05,5.081e-05,2.636e-05,2.793e-05
2025-02-01,2.786e-05,2.888e-05,2.621e-05,2.69e-05
2025-02-05,2.683e-05,2.714e-05,2.249e-05,2.394e-05
2025-02-09,2.361e-05,2.368e-05,2.123e-05,2.236e-05
2025-02-13,2.195e-05,2.272e-05,2.103e-05,2.164e-05
2025-02-17,2.072e-05,2.216e-05,2.002e-05,2.008e-05
2025-02-21,2.007e-05,2.232e-05,1.926e-05,2.098e-05
2025-02-25,2.109e-05,2.188e-05,1.989e-05,2.021e-05
2025-03-01,1.556e-05,1.704e-05,1.549e-05,1.612e-05
2025-03-09,1.773e-05,1.828e-05,1.685e-05,1.712e-05
2025-03-13,1.705e-05,1.741e-05,1.705e-05,1.729e-05
2025-03-17,1.51e-05,1.595e-05,1.416e-05,1.497e-05
2025-03-21,1.448e-05,1.589e-05,1.442e-05,1.583e-05
2025-03-25,1.505e-05,1.64e-05,1.497e-05,1.574e-05
2025-03-29,1.567e-05,1.649e-05,1.388e-05,1.418e-05
2025-04-10,1.014e-05,1.109e-05,1.005e-05,1.08e-05
2025-04-14,1.363e-05,1.405e-05,1.275e-05,1.311e-05
2025-04-18,1.306e-05,1.332e-05,1.263e-05,1.303e-05
2025-04-22,1.509e-05,1.513e-05,1.444e-05,1.458e-05
2025-04-26,1.582e-05,1.633e-05,1.569e-05,1.605e-05
2025-04-30,1.617e-05,1.626e-05,1.572e-05,1.599e-05
2025-05-04,1.584e-05,1.609e-05,1.514e-05,1.592e-05
2025-05-08,1.55e-05,1.589e-05,1.543e-05,1.574e-05
2025-05-12,1.574e-05,1.869e-05,1.573e-05,1.858e-05
2025-05-16,5.384e-05,0.00017057,2.336e-05,2.356e-05
