date,open,high,low,close
2024-05-17,0.00168324,0.00170966,0.00164304,0.00170032
2024-05-21,0.00170261,0.00185431,0.00164957,0.00183658
2024-05-25,0.0018493,0.00189048,0.00175196,0.00179739
2024-05-29,0.00178584,0.0018503,0.00175366,0.00179434
2024-06-02,0.00179498,0.00182865,0.00167286,0.00171386
2024-06-06,0.00171408,0.00175398,0.00158811,0.00167711
2024-06-10,0.00165966,0.00170814,0.00145292,0.00148382
2024-06-14,0.00149292,0.00214087,0.00138533,0.00156413
2024-06-18,0.0015639,0.00165095,0.00134452,0.00138164
2024-06-22,0.00138184,0.00144724,0.0012454,0.00137115
2024-06-26,0.00136242,0.00141302,0.00117617,0.00123991
2024-06-30,0.00124023,0.00126574,0.00120155,0.00120671
2024-07-04,0.00120611,0.00126467,0.00114766,0.00115973
2024-07-08,0.00116203,0.00116203,0.0009309,0.00103429
2024-07-12,0.00103071,0.00113824,0.00099887,0.00108947
2024-07-16,0.00109442,0.00119069,0.00107042,0.00119069
2024-07-20,0.00119125,0.0012061,0.00109426,0.0011655
2024-07-24,0.00116568,0.00119994,0.00112586,0.00115639
2024-07-28,0.00115581,0.0011741,0.00103904,0.00110952
2024-08-01,0.00111351,0.00112781,0.00104091,0.00104328
2024-08-05,0.00104309,0.00105686,0.00085092,0.00085939
2024-08-09,0.00086069,0.00088015,0.0007105,0.00087241
2024-08-13,0.00087073,0.00089216,0.00082253,0.00086406
2024-08-17,0.00086313,0.00087501,0.00077164,0.00080113
2024-08-21,0.00080101,0.00086216,0.00075843,0.0008604
2024-08-25,0.00086444,0.00095764,0.00077703,0.00095097
2024-08-29,0.00095276,0.00095663,0.00072671,0.00073126
2024-09-02,0.00073104,0.00075529,0.0006588,0.00066035
2024-09-06,0.00066015,0.0006916,0.00061381,0.00062657
2024-09-10,0.00062762,0.00066107,0.000605,0.0006586
2024-09-14,0.00065664,0.00066205,0.00061302,0.00064682
2024-09-18,0.00064644,0.00066632,0.00061357,0.00065733
2024-09-22,0.00065804,0.00069675,0.00061469,0.000672
2024-09-26,0.00068045,0.00070801,0.00064661,0.00069227
2024-09-30,0.00069656,0.00073064,0.00067365,0.00068709
2024-10-04,0.00069156,0.00073011,0.00062297,0.00064036
2024-10-08,0.00064486,0.00066556,0.00062356,0.00062906
2024-10-12,0.00062845,0.00063513,0.00060012,0.00062649
2024-10-16,0.00062427,0.00063654,0.0006037,0.00062348
2024-10-20,0.00061873,0.000663,0.00061202,0.00065745
2024-10-24,0.00066083,0.00068946,0.00062538,0.00064627
2024-10-28,0.00064554,0.00065798,0.00056579,0.00059176
2024-11-01,0.00059308,0.00061109,0.00055549,0.00058009
2024-11-05,0.00058242,0.00058728,0.00051415,0.00052326
2024-11-09,0.00052557,0.00073223,0.00052474,0.00071304
2024-11-13,0.00071321,0.00080379,0.00067453,0.0007301
2024-11-17,0.00072892,0.00078447,0.00063515,0.00076517
2024-11-21,0.00076589,0.00086215,0.0007056,0.00078047
2024-11-25,0.00078412,0.00109622,0.00075357,0.00103108
2024-11-29,0.00102978,0.00109403,0.00090306,0.00105125
2024-12-03,0.00105197,0.00122368,0.00103873,0.0012166
2024-12-07,0.00123052,0.00141907,0.00120723,0.00135604
2024-12-11,0.00135488,0.00135516,0.00096783,0.00107138
2024-12-15,0.00106467,0.00122553,0.00101685,0.00111928
2024-12-19,0.00111454,0.00115229,0.00093032,0.00093455
2024-12-23,0.00092852,0.00096958,0.00074717,0.00086147
2024-12-27,0.00085737,0.00096649,0.00083941,0.0008565
2024-12-31,0.00085224,0.0009025,0.00080586,0.00082862
2025-01-04,0.00082288,0.00093701,0.00079441,0.00093154
2025-01-08,0.0009255,0.00096168,0.00083272,0.0008359
2025-01-12,0.00083795,0.00085415,0.00078242,0.00082365
2025-01-16,0.00082353,0.00087735,0.00073951,0.00086498
2025-01-20,0.00087222,0.00093001,0.00076151,0.00076924
2025-01-24,0.00076709,0.00081864,0.00068513,0.00070883
2025-01-28,0.00069944,0.00072629,0.00060852,0.00065385
2025-02-01,0.00065294,0.00066338,0.00060604,0.00063789
2025-02-05,0.00063612,0.00065281,0.00042465,0.00044064
2025-02-09,0.00044069,0.00334855,0.0004056,0.00043567
2025-02-13,0.0004358,0.00046759,0.00041293,0.00046333
2025-02-17,0.00046491,0.00048338,0.00043871,0.000461
2025-02-21,0.00046103,0.0004779,0.00040617,0.0004306
2025-02-25,0.00043065,0.00044161,0.00036703,0.00036923
2025-03-01,0.00037083,0.00039778,0.00034925,0.00037754
2025-03-05,0.00037994,0.00042815,0.00032214,0.00034311
2025-03-09,0.00034157,0.00036634,0.00032816,0.00034232
2025-03-13,0.00034062,0.00034666,0.00027762,0.00029381
2025-03-17,0.00029318,0.00030454,0.00027597,0.00028569
2025-03-21,0.00028547,0.00030946,0.00027516,0.00028636
2025-03-25,0.00028678,0.00030561,0.00027426,0.00029782
2025-03-29,0.0002985,0.00034131,0.00026537,0.0002777
2025-04-02,0.00027602,0.00028567,0.0002596,0.00026695
2025-04-06,0.00026616,0.00027236,0.00023907,0.0002544
2025-04-10,0.00025472,0.00025804,0.00020446,0.00024676
2025-04-14,0.00024718,0.00025732,0.00023347,0.00023646
2025-04-18,0.00023488,0.0002454,0.00022054,0.00023179
2025-04-22,0.00023193,0.00025662,0.00022742,0.0002481
2025-04-26,0.00024888,0.0002896,0.00022582,0.00027673
2025-04-30,0.00027677,0.00028263,0.00025352,0.00026009
2025-05-04,0.00026114,0.00027565,0.00025235,0.00025883
2025-05-08,0.00025875,0.00026542,0.00023228,0.00024861
2025-05-12,0.00024773,0.00032895,0.00024645,0.0003017
2025-05-16,0.00030363,0.00032189,0.00026989,0.00028249
