date,open,high,low,close
2024-11-21,5.315e-05,5.383e-05,4.159e-05,4.571e-05
2024-11-25,4.565e-05,6.328e-05,4.213e-05,5.176e-05
2024-11-29,5.189e-05,7.915e-05,3.379e-05,6.988e-05
2024-12-03,6.973e-05,7.437e-05,4.17e-05,4.877e-05
2024-12-07,4.868e-05,7.71e-05,4.84e-05,6.903e-05
2024-12-11,6.889e-05,8.69e-05,4.488e-05,4.722e-05
2024-12-15,4.723e-05,6.517e-05,4.5e-05,4.814e-05
2024-12-19,4.81e-05,6.255e-05,4.041e-05,4.042e-05
2024-12-23,4.062e-05,4.308e-05,2.322e-05,3.205e-05
2024-12-27,3.2e-05,4.205e-05,3.03e-05,3.308e-05
2024-12-31,3.312e-05,3.709e-05,3.049e-05,3.618e-05
2025-01-04,3.609e-05,3.619e-05,2.96e-05,3.365e-05
2025-01-08,3.387e-05,3.493e-05,2.429e-05,2.434e-05
2025-01-12,2.436e-05,2.466e-05,1.778e-05,1.852e-05
2025-01-16,1.853e-05,1.858e-05,1.322e-05,1.474e-05
2025-01-20,1.472e-05,1.559e-05,1.294e-05,1.294e-05
2025-01-24,1.307e-05,1.404e-05,1.104e-05,1.143e-05
2025-01-28,1.138e-05,1.173e-05,8.94e-06,1.138e-05
2025-02-01,1.13e-05,2.252e-05,1.13e-05,1.985e-05
2025-02-05,1.982e-05,2.027e-05,1.085e-05,1.298e-05
2025-02-09,1.297e-05,1.333e-05,1.025e-05,1.07e-05
2025-02-13,1.068e-05,1.293e-05,1.023e-05,1.269e-05
2025-02-17,1.269e-05,1.29e-05,1.039e-05,1.04e-05
2025-02-21,1.04e-05,1.091e-05,8.56e-06,9.57e-06
2025-02-25,9.59e-06,9.72e-06,7.32e-06,7.37e-06
2025-03-01,7.38e-06,8.21e-06,5.93e-06,7.34e-06
2025-03-05,7.33e-06,9.02e-06,5.81e-06,5.84e-06
2025-03-09,6.35e-06,7.83e-06,6.07e-06,6.09e-06
2025-03-13,6.08e-06,6.16e-06,4.15e-06,4.26e-06
2025-03-17,4.28e-06,4.29e-06,3.04e-06,3.07e-06
2025-03-21,3.07e-06,3.51e-06,3.07e-06,3.37e-06
2025-03-25,3.37e-06,3.38e-06,3.09e-06,3.16e-06
2025-03-29,2.59e-06,2.68e-06,2.33e-06,2.35e-06
2025-04-02,2.37e-06,2.37e-06,2.05e-06,2.17e-06
2025-04-06,2.19e-06,2.26e-06,1.8e-06,1.93e-06
2025-04-18,1.75e-06,1.79e-06,1.74e-06,1.74e-06
2025-04-26,2.88e-06,3.02e-06,2.82e-06,2.82e-06
2025-04-30,2.82e-06,3.21e-06,2.8e-06,2.88e-06
2025-05-04,2.91e-06,2.98e-06,2.67e-06,2.67e-06
2025-05-08,2.67e-06,2.67e-06,2.54e-06,2.54e-06
2025-05-12,2.52e-06,3.1e-06,2.52e-06,2.98e-06
