date,open,high,low,close
2024-12-19,0.068447,0.068447,0.02701061,0.03551736
2024-12-23,0.03556597,0.03632534,0.0230512,0.02593608
2024-12-27,0.02594206,0.04255647,0.02532958,0.03804718
2024-12-31,0.0380827,0.0380827,0.03023091,0.0308737
2025-01-04,0.03095362,0.04062746,0.0296494,0.03736674
2025-01-08,0.03724934,0.04625862,0.03575883,0.0372917
2025-01-12,0.03724964,0.03791302,0.03170258,0.03295852
2025-01-16,0.0329344,0.03595481,0.02807211,0.03560076
2025-01-20,0.0356064,0.0356064,0.02516845,0.0253132
2025-01-24,0.0252943,0.02706406,0.02248456,0.02396855
2025-01-28,0.02401628,0.02726298,0.02074613,0.02122469
2025-02-01,0.02124723,0.02158873,0.01387439,0.01472084
2025-02-05,0.01478962,0.01676528,0.01013903,0.01308752
2025-02-09,0.01311839,0.01389195,0.00975571,0.01059087
2025-02-13,0.01057478,0.01106138,0.00934174,0.01048049
2025-02-17,0.01053273,0.01146093,0.00946274,0.00965008
2025-02-21,0.00966504,0.00997913,0.00782944,0.0086981
2025-02-25,0.00868552,0.0095037,0.00719611,0.00720705
2025-03-01,0.00721973,0.00947573,0.00680193,0.00910156
2025-03-05,0.00908972,0.00933924,0.00633437,0.00674836
2025-03-09,0.00672437,0.00690191,0.00592718,0.00610302
2025-03-13,0.00608718,0.00640161,0.00514976,0.00602717
2025-03-17,0.00601497,0.00692573,0.00573163,0.00636565
2025-03-21,0.00635563,0.00731942,0.00614147,0.00644517
2025-03-25,0.00647827,0.00707845,0.00609915,0.00707845
2025-03-29,0.00710978,0.00739834,0.00607882,0.00624258
2025-04-02,0.00625271,0.00636634,0.00513141,0.00522915
2025-04-06,0.00522548,0.00522548,0.0045207,0.00469073
2025-04-10,0.00467817,0.00473846,0.00371517,0.0044219
2025-04-14,0.00442234,0.00577068,0.004097,0.00497227
2025-04-18,0.00496547,0.00519745,0.0043043,0.00485941
2025-04-22,0.00486276,0.00523024,0.00460062,0.00500436
2025-04-26,0.00501551,0.00957915,0.00490566,0.0087021
2025-04-30,0.00866203,0.01405898,0.0085448,0.01119065
2025-05-04,0.0111361,0.01260588,0.00999999,0.01041813
2025-05-08,0.01039061,0.01216801,0.00979235,0.01122314
2025-05-12,0.01123583,0.01577478,0.01123583,0.01409062
2025-05-16,0.01410268,0.01724587,0.01272321,0.01356169
