date,open,high,low,close
2025-03-05,0.00056922,0.0006127,0.00055411,0.00060371
2025-03-09,0.00060581,0.00064065,0.00055963,0.00058978
2025-03-13,0.00059122,0.00059783,0.00049266,0.00054328
2025-03-17,0.00054391,0.00058676,0.00052135,0.00054356
2025-03-21,0.00054351,0.00059467,0.00053654,0.00056129
2025-03-25,0.00056025,0.00062845,0.00055082,0.00060978
2025-03-29,0.00060945,0.00063247,0.00056391,0.00056775
2025-04-02,0.00056743,0.00057037,0.00049691,0.00051995
2025-04-06,0.00051925,0.00053946,0.00046487,0.00048903
2025-04-10,0.00048904,0.00049107,0.00035772,0.0004241
2025-04-14,0.00042458,0.00047905,0.00039326,0.00045876
2025-04-18,0.00045923,0.00049653,0.00045453,0.00049336
2025-04-22,0.00049299,0.00052556,0.0004861,0.00050415
2025-04-26,0.00050458,0.00057821,0.0005036,0.00056594
2025-04-30,0.00056539,0.0005719,0.00053069,0.00053415
2025-05-04,0.00053405,0.00056269,0.00051886,0.00053964
2025-05-08,0.00054008,0.00054204,0.00048586,0.00049278
2025-05-12,0.00049276,0.0005647,0.00049013,0.00049341
2025-05-16,0.00049326,0.00051203,6.646e-05,6.7e-05
