date,open,high,low,close
2024-10-08,0.00028236,0.00194955,0.00028236,0.00181756
2024-10-12,0.00167035,0.00249627,0.00022712,0.00023978
2024-10-16,0.00023285,0.00026716,4.67e-05,4.803e-05
2024-10-20,4.851e-05,5.356e-05,3.788e-05,4.609e-05
2024-10-24,4.611e-05,4.825e-05,3.566e-05,3.659e-05
2024-10-28,3.657e-05,3.937e-05,2.792e-05,2.917e-05
2024-11-01,2.915e-05,2.998e-05,2.621e-05,2.781e-05
2024-11-05,2.78e-05,4.165e-05,2.677e-05,2.884e-05
2024-11-09,2.885e-05,3.503e-05,2.749e-05,3.252e-05
2024-11-13,3.249e-05,4.071e-05,3.193e-05,3.702e-05
2024-11-17,3.689e-05,4.084e-05,3.129e-05,3.902e-05
2024-11-21,3.901e-05,4.459e-05,3.762e-05,3.858e-05
2024-11-25,3.766e-05,4.515e-05,3.607e-05,3.695e-05
2024-11-29,3.661e-05,3.709e-05,3.142e-05,3.233e-05
2024-12-03,3.232e-05,3.349e-05,2.889e-05,2.961e-05
2024-12-07,2.961e-05,3.331e-05,2.822e-05,3.175e-05
2024-12-11,3.175e-05,3.27e-05,2.662e-05,2.795e-05
2024-12-15,2.784e-05,3.053e-05,2.784e-05,2.949e-05
2024-12-19,2.964e-05,3.093e-05,2.61e-05,2.61e-05
2024-12-23,2.632e-05,2.703e-05,2.288e-05,2.292e-05
2024-12-27,2.301e-05,2.578e-05,2.244e-05,2.381e-05
2024-12-31,2.397e-05,2.507e-05,2.314e-05,2.459e-05
2025-01-04,2.383e-05,2.625e-05,2.346e-05,2.603e-05
2025-01-08,2.602e-05,2.66e-05,2.4e-05,2.415e-05
2025-01-12,2.4e-05,2.419e-05,2.136e-05,2.174e-05
2025-01-16,2.175e-05,2.385e-05,2.039e-05,2.385e-05
2025-01-20,2.387e-05,3.27e-05,2.312e-05,2.599e-05
2025-01-24,2.648e-05,2.966e-05,2.477e-05,2.696e-05
2025-01-28,2.792e-05,2.855e-05,2.49e-05,2.496e-05
2025-02-01,2.487e-05,2.598e-05,2.379e-05,2.467e-05
2025-02-05,2.455e-05,2.486e-05,1.948e-05,2.26e-05
2025-02-09,2.153e-05,2.176e-05,1.969e-05,1.978e-05
2025-02-13,2.171e-05,2.178e-05,2.059e-05,2.07e-05
2025-02-17,2.069e-05,2.132e-05,1.988e-05,1.988e-05
2025-02-21,1.986e-05,1.992e-05,1.727e-05,1.859e-05
2025-02-25,1.861e-05,1.861e-05,1.645e-05,1.659e-05
2025-03-05,1.663e-05,1.743e-05,1.399e-05,1.501e-05
2025-03-09,1.498e-05,1.573e-05,1.47e-05,1.47e-05
2025-03-13,1.254e-05,1.333e-05,1.248e-05,1.308e-05
2025-03-21,1.341e-05,1.384e-05,1.282e-05,1.292e-05
2025-03-25,1.291e-05,1.455e-05,1.29e-05,1.428e-05
2025-04-02,1.27e-05,1.299e-05,1.231e-05,1.293e-05
2025-04-06,1.177e-05,1.195e-05,1.17e-05,1.195e-05
2025-04-14,1.161e-05,1.339e-05,1.092e-05,1.287e-05
2025-04-18,1.287e-05,1.348e-05,1.251e-05,1.317e-05
2025-04-30,1.469e-05,1.53e-05,1.462e-05,1.467e-05
2025-05-08,1.45e-05,1.474e-05,1.43e-05,1.442e-05
2025-05-12,1.615e-05,1.739e-05,1.607e-05,1.717e-05
2025-05-16,1.699e-05,1.78e-05,1.661e-05,1.677e-05
