date,open,high,low,close
2024-05-17,0.531725,0.539084,0.448521,0.448521
2024-05-21,0.448833,0.484593,0.336794,0.415243
2024-05-25,0.412,0.449851,0.355711,0.381661
2024-05-29,0.381128,0.537773,0.377154,0.476758
2024-06-02,0.479422,0.553608,0.380197,0.38244
2024-06-06,0.381214,0.524658,0.371611,0.484027
2024-06-10,0.4815,0.484277,0.347362,0.388409
2024-06-14,0.388055,0.395637,0.270651,0.272819
2024-06-18,0.273918,0.317215,0.240446,0.276128
2024-06-22,0.275679,0.313293,0.218457,0.248808
2024-06-26,0.248239,0.475513,0.239021,0.455274
2024-06-30,0.455102,0.668131,0.446335,0.604788
2024-07-04,0.604399,0.701878,0.459851,0.474659
2024-07-08,0.473637,0.554015,0.355207,0.398389
2024-07-12,0.397437,0.547556,0.37443,0.446287
2024-07-16,0.44724,0.768163,0.432101,0.765474
2024-07-20,0.766532,0.944936,0.693065,0.927891
2024-07-24,0.929416,0.993904,0.781208,0.842896
2024-07-28,0.838715,0.959104,0.744631,0.830929
2024-08-01,0.824249,0.873861,0.653184,0.656249
2024-08-05,0.657276,0.731258,0.410575,0.470973
2024-08-09,0.472472,0.651809,0.261748,0.64377
2024-08-13,0.639443,0.668921,0.510554,0.556786
2024-08-17,0.556365,0.597105,0.418648,0.431419
2024-08-21,0.430004,0.51176,0.384539,0.43726
2024-08-25,0.435338,0.784563,0.424121,0.751304
2024-08-29,0.752973,0.802211,0.641292,0.664549
2024-09-02,0.663575,0.745162,0.523942,0.535449
2024-09-06,0.53518,0.626869,0.526343,0.530644
2024-09-10,0.530447,0.641318,0.466876,0.607864
2024-09-14,0.608809,0.750533,0.547184,0.7288
2024-09-18,0.729112,0.750837,0.666215,0.705946
2024-09-22,0.706286,0.959397,0.657215,0.92232
2024-09-26,0.919974,1.071,0.816876,0.981465
2024-09-30,0.982617,1.079,0.898077,0.989299
2024-10-04,0.989219,1.068,0.906326,0.955605
2024-10-08,0.956398,1.47,0.940573,1.27
2024-10-12,1.27,1.35,1.12,1.35
2024-10-16,1.35,1.54,1.26,1.28
2024-10-20,1.29,1.42,1.19,1.26
2024-10-24,1.26,1.5,1.23,1.49
2024-10-28,1.49,1.67,1.31,1.56
2024-11-01,1.56,1.8,1.44,1.56
2024-11-05,1.56,1.69,1.18,1.21
2024-11-09,1.22,1.66,1.2,1.52
2024-11-13,1.52,1.74,1.38,1.72
2024-11-17,1.7,1.99,1.39,1.74
2024-11-21,1.74,2.05,1.49,1.51
2024-11-25,1.51,1.63,1.36,1.44
2024-11-29,1.45,1.48,1.21,1.26
2024-12-03,1.26,1.4,1.13,1.22
2024-12-07,1.22,1.46,1.2,1.43
2024-12-11,1.43,1.59,1.034,1.17
2024-12-15,1.17,1.29,1.082,1.085
2024-12-19,1.082,1.17,0.827174,0.827174
2024-12-23,0.82673,0.870332,0.647151,0.764653
2024-12-27,0.764606,0.847919,0.7109,0.727936
2024-12-31,0.728426,0.80825,0.713719,0.768166
2025-01-04,0.769233,0.977637,0.719673,0.928018
2025-01-08,0.929378,0.929378,0.70759,0.70759
2025-01-12,0.70759,0.716868,0.51373,0.554119
2025-01-16,0.55509,0.609938,0.49878,0.596059
2025-01-20,0.598639,0.746311,0.48788,0.496151
2025-01-24,0.494878,0.627737,0.399582,0.562309
2025-01-28,0.566954,0.592537,0.341728,0.381063
2025-02-01,0.383806,0.39881,0.313618,0.316188
2025-02-05,0.316202,0.331734,0.171229,0.239864
2025-02-09,0.239603,0.305708,0.204459,0.280862
2025-02-13,0.276913,0.332731,0.241766,0.309882
2025-02-17,0.311531,0.376324,0.284118,0.291866
2025-02-21,0.292634,0.300005,0.216684,0.250317
2025-02-25,0.250451,0.274276,0.198622,0.202087
2025-03-01,0.203073,0.293095,0.198062,0.281532
2025-03-05,0.281875,0.296328,0.196157,0.21323
2025-03-09,0.211902,0.243434,0.192373,0.199366
2025-03-13,0.199332,0.203473,0.140232,0.165748
2025-03-17,0.165463,0.213569,0.158227,0.181255
2025-03-21,0.180771,0.211566,0.180393,0.1905
2025-03-25,0.190889,0.245127,0.182772,0.23398
2025-03-29,0.234589,0.261082,0.201671,0.206799
2025-04-02,0.206362,0.206935,0.180842,0.191999
2025-04-06,0.191783,0.192859,0.150052,0.160006
2025-04-10,0.16017,0.17263,0.118697,0.169185
2025-04-14,0.169726,0.287371,0.156354,0.245828
2025-04-18,0.24416,0.288169,0.222193,0.25558
2025-04-22,0.254961,0.272279,0.227309,0.258774
2025-04-26,0.260984,0.439041,0.254807,0.399341
2025-04-30,0.397156,0.431474,0.353833,0.363269
2025-05-04,0.363334,0.413549,0.346488,0.369669
2025-05-08,0.370082,0.459836,0.349766,0.456491
2025-05-12,0.458268,0.553285,0.449724,0.52351
2025-05-16,0.525316,0.638113,0.464602,0.489023
