date,open,high,low,close
2024-05-17,1.69,1.82,1.66,1.68
2024-05-21,1.68,2.07,1.68,1.99
2024-05-25,1.99,2.0,1.74,1.8
2024-05-29,1.8,1.9,1.76,1.85
2024-06-02,1.85,1.89,1.71,1.71
2024-06-06,1.72,1.85,1.65,1.82
2024-06-10,1.82,1.88,1.59,1.67
2024-06-14,1.67,1.67,1.44,1.49
2024-06-18,1.49,1.77,1.48,1.57
2024-06-22,1.57,1.64,1.39,1.53
2024-06-26,1.53,1.56,1.37,1.53
2024-06-30,1.53,1.72,1.51,1.63
2024-07-04,1.63,1.99,1.6,1.7
2024-07-08,1.71,1.75,1.43,1.56
2024-07-12,1.55,1.93,1.49,1.8
2024-07-16,1.8,2.06,1.77,2.06
2024-07-20,2.05,2.25,1.9,2.24
2024-07-24,2.26,2.73,2.12,2.23
2024-07-28,2.23,2.5,2.12,2.39
2024-08-01,2.38,2.66,2.22,2.22
2024-08-05,2.22,2.27,1.53,1.63
2024-08-09,1.63,1.92,1.25,1.91
2024-08-13,1.91,1.96,1.73,1.83
2024-08-17,1.83,1.92,1.65,1.69
2024-08-21,1.69,1.76,1.66,1.68
2024-08-25,1.68,1.96,1.6,1.88
2024-08-29,1.88,1.9,1.53,1.57
2024-09-02,1.57,1.69,1.44,1.44
2024-09-06,1.44,1.56,1.4,1.46
2024-09-10,1.46,1.55,1.36,1.52
2024-09-14,1.52,1.56,1.42,1.55
2024-09-18,1.54,1.55,1.41,1.46
2024-09-22,1.46,1.66,1.41,1.62
2024-09-26,1.62,1.64,1.49,1.52
2024-09-30,1.52,1.92,1.51,1.92
2024-10-04,1.92,1.96,1.57,1.6
2024-10-08,1.6,1.88,1.6,1.78
2024-10-12,1.77,1.8,1.57,1.75
2024-10-16,1.75,2.15,1.75,2.15
2024-10-20,2.14,2.19,1.98,2.17
2024-10-24,2.17,2.69,2.17,2.63
2024-10-28,2.62,3.56,2.62,3.46
2024-11-01,3.47,3.55,2.97,3.23
2024-11-05,3.22,3.62,3.04,3.26
2024-11-09,3.27,5.04,3.21,4.97
2024-11-13,4.97,5.97,4.36,4.67
2024-11-17,4.66,5.27,4.08,4.78
2024-11-21,4.8,6.14,4.8,5.72
2024-11-25,5.73,6.49,5.44,6.12
2024-11-29,6.13,6.43,5.27,5.58
2024-12-03,5.58,5.83,4.84,4.94
2024-12-07,4.95,5.31,4.61,4.96
2024-12-11,4.95,5.2,4.11,4.91
2024-12-15,4.9,5.71,4.82,5.33
2024-12-19,5.34,5.57,4.44,4.44
2024-12-23,4.46,4.83,3.81,4.32
2024-12-27,4.32,5.35,4.22,4.78
2024-12-31,4.8,5.33,4.73,4.91
2025-01-04,4.91,5.53,4.75,5.47
2025-01-08,5.48,5.87,5.3,5.46
2025-01-12,5.46,5.59,4.54,4.56
2025-01-16,4.57,5.76,4.18,5.72
2025-01-20,5.73,7.51,5.45,6.29
2025-01-24,6.3,8.62,5.96,8.16
2025-01-28,8.11,8.29,6.2,6.73
2025-02-01,6.74,7.86,6.38,7.06
2025-02-05,7.07,7.18,4.58,6.22
2025-02-09,6.21,6.21,4.84,5.05
2025-02-13,5.03,5.75,4.53,5.29
2025-02-17,5.29,5.8,4.85,4.94
2025-02-21,4.94,5.04,3.97,4.6
2025-02-25,4.59,4.89,2.83,2.99
2025-03-01,3.0,3.03,2.06,2.46
2025-03-05,2.46,2.88,2.02,2.18
2025-03-09,2.17,2.29,1.87,1.89
2025-03-13,1.89,1.92,1.47,1.61
2025-03-17,1.61,1.74,1.48,1.56
2025-03-21,1.56,2.05,1.56,1.7
2025-03-25,1.69,2.0,1.69,1.92
2025-03-29,1.93,2.11,1.82,1.84
2025-04-02,1.84,1.85,1.65,1.81
2025-04-06,1.8,2.13,1.66,1.79
2025-04-10,1.79,1.8,1.41,1.75
2025-04-14,1.75,2.06,1.59,1.9
2025-04-18,1.9,2.41,1.9,2.25
2025-04-22,2.25,2.36,2.12,2.23
2025-04-26,2.24,2.79,2.2,2.75
2025-04-30,2.74,3.12,2.74,2.86
2025-05-04,2.86,3.0,2.63,2.67
2025-05-08,2.68,2.74,2.22,2.46
2025-05-12,2.47,3.34,2.45,3.1
2025-05-16,3.1,3.79,2.88,3.34
