date,open,high,low,close
2024-05-17,0.00224028,0.00224679,0.00217936,0.00218203
2024-05-21,0.00218255,0.00237255,0.00214113,0.00220308
2024-05-25,0.0022065,0.00230074,0.00204803,0.00213206
2024-05-29,0.00214031,0.00214715,0.00197561,0.00197635
2024-06-02,0.00197433,0.00234241,0.00182191,0.0019143
2024-06-06,0.00191618,0.00208235,0.00187606,0.00201965
2024-06-10,0.0020235,0.00234108,0.0020086,0.00204599
2024-06-14,0.00204701,0.00227842,0.00189067,0.00202193
2024-06-18,0.00202002,0.00202909,0.00168452,0.00179085
2024-06-22,0.00179283,0.00179342,0.00140685,0.0014299
2024-06-26,0.00142916,0.00143432,0.00126643,0.00131269
2024-06-30,0.00131185,0.00172931,0.00122773,0.00126094
2024-07-04,0.00125732,0.00175232,0.00125443,0.00132201
2024-07-08,0.0013208,0.0013982,0.00107615,0.00112382
2024-07-12,0.00112422,0.00133156,0.0010729,0.00128831
2024-07-16,0.00129004,0.00196315,0.00128263,0.00157333
2024-07-20,0.00157247,0.00181713,0.00147431,0.00155966
2024-07-24,0.00155802,0.00164474,0.00138403,0.00138677
2024-07-28,0.00138566,0.00138662,0.00124642,0.00130001
2024-08-01,0.00130243,0.00151986,0.00115102,0.00115929
2024-08-05,0.00116063,0.00116334,0.00095462,0.00095615
2024-08-09,0.00095459,0.00207408,0.00078729,0.00119868
2024-08-13,0.00119714,0.00149884,0.00103828,0.00109068
2024-08-17,0.00109563,0.00120401,0.00096784,0.00102854
2024-08-21,0.00102814,0.00117304,0.0009326,0.00110583
2024-08-25,0.00110352,0.00118151,0.00099723,0.00100027
2024-08-29,0.00099998,0.00105586,0.00095236,0.00100295
2024-09-02,0.00100438,0.00108264,0.00094467,0.00101444
2024-09-06,0.00101531,0.00112437,0.00092224,0.00093263
2024-09-10,0.00093335,0.00110115,0.00086428,0.00090214
2024-09-14,0.0009023,0.00097174,0.0008322,0.00097163
2024-09-18,0.00097131,0.00098585,0.00092948,0.0009773
