date,open,high,low,close
2025-01-16,0.00164112,0.00809187,0.00126876,0.00636049
2025-01-20,0.0063277,0.0084991,0.00205445,0.00205445
2025-01-24,0.00205438,0.00724428,0.00205438,0.00343308
2025-01-28,0.00326244,0.00495996,0.00118512,0.00134963
2025-02-01,0.00134323,0.00140346,0.00034963,0.00046507
2025-02-05,0.00046107,0.00116142,0.00033614,0.00071549
2025-02-09,0.0007083,0.00103424,0.00054889,0.00080077
2025-02-13,0.00080013,0.00180784,0.00052225,0.0005902
2025-02-17,0.00058734,0.00103826,0.00042749,0.00062066
2025-02-21,0.00062033,0.00073888,0.00055687,0.00064746
2025-02-25,0.00066294,0.0007485,0.00032861,0.0003409
2025-03-01,0.00034134,0.0004873,0.00030472,0.00040459
2025-03-05,0.00040478,0.00058063,0.00036536,0.00049178
2025-03-09,0.0004842,0.00049058,0.00034946,0.00035922
2025-03-13,0.00035763,0.00036387,0.00024334,0.00033418
2025-03-17,0.00033286,0.00035382,0.00028101,0.0002999
2025-03-21,0.00030162,0.00035633,0.00029386,0.00029964
2025-03-25,0.00030106,0.0003183,0.00025312,0.00025903
2025-03-29,0.00025872,0.00031262,0.00023369,0.00025616
2025-04-02,0.00025514,0.0002579,0.00011346,0.00012198
2025-04-06,0.00012199,0.00014149,8.359e-05,8.667e-05
2025-04-10,8.627e-05,0.00013341,7.047e-05,0.00010881
2025-04-14,0.00010832,0.00011861,8.499e-05,0.00010405
2025-04-18,0.000104,0.00013935,0.00010046,0.00010625
2025-04-22,0.00010631,0.00014569,0.00010156,0.00012584
2025-04-26,0.00012536,0.00019852,0.00011199,0.00013529
2025-04-30,0.00013541,0.00013561,8.405e-05,9.019e-05
2025-05-04,9.019e-05,9.936e-05,6.459e-05,7.043e-05
2025-05-08,7.004e-05,7.055e-05,5.075e-05,5.531e-05
2025-05-12,5.56e-05,5.792e-05,4.915e-05,5.016e-05
2025-05-16,5.043e-05,0.00025494,4.804e-05,6.781e-05
