date,open,high,low,close
2024-05-17,156.31,163.81,156.31,158.66
2024-05-21,158.57,187.98,158.57,186.14
2024-05-25,186.42,187.19,164.4,167.12
2024-05-29,167.24,172.48,161.56,168.6
2024-06-02,168.64,173.12,164.35,166.64
2024-06-06,166.66,175.13,161.57,173.57
2024-06-10,173.34,173.96,156.92,161.91
2024-06-14,161.89,162.44,146.15,147.41
2024-06-18,147.47,151.15,140.04,143.71
2024-06-22,143.66,143.72,128.89,134.46
2024-06-26,134.51,139.41,124.25,136.81
2024-06-30,136.86,150.88,135.28,139.89
2024-07-04,139.95,154.4,137.3,140.87
2024-07-08,140.68,143.95,121.77,133.32
2024-07-12,133.29,145.6,128.54,136.1
2024-07-16,135.96,159.75,133.97,159.75
2024-07-20,159.82,171.22,153.38,169.01
2024-07-24,168.9,184.92,167.43,173.27
2024-07-28,173.26,188.31,166.1,184.75
2024-08-01,183.98,193.63,171.94,172.35
2024-08-05,172.44,172.55,132.31,137.3
2024-08-09,138.5,162.8,110.71,162.8
2024-08-13,162.77,163.4,141.28,146.12
2024-08-17,146.34,151.58,136.49,139.08
2024-08-21,138.68,148.45,137.44,143.08
2024-08-25,142.3,162.19,139.45,160.32
2024-08-29,160.73,162.11,140.77,143.91
2024-09-02,143.81,147.16,127.92,129.06
2024-09-06,128.51,137.0,123.73,129.27
2024-09-10,129.29,136.26,121.07,134.88
2024-09-14,134.89,139.76,128.56,139.22
2024-09-18,138.96,139.69,129.21,131.51
2024-09-22,131.52,151.87,127.2,149.7
2024-09-26,149.34,153.39,141.42,147.9
2024-09-30,148.02,161.15,147.06,158.69
2024-10-04,158.66,159.31,133.56,136.67
2024-10-08,136.73,151.78,136.1,144.36
2024-10-12,143.96,146.67,135.51,145.45
2024-10-16,145.35,158.02,144.63,154.6
2024-10-20,154.8,159.66,148.02,159.6
2024-10-24,159.63,173.78,157.79,171.09
2024-10-28,170.86,178.89,161.23,176.64
2024-11-01,176.54,182.89,167.57,168.49
2024-11-05,168.26,174.17,155.22,157.39
2024-11-09,157.78,204.83,157.07,200.07
2024-11-13,200.05,224.09,195.99,212.46
2024-11-17,212.5,222.64,202.17,216.23
2024-11-21,216.2,248.22,212.91,236.59
2024-11-25,235.55,263.68,230.54,253.28
2024-11-29,253.84,256.47,225.71,238.5
2024-12-03,238.43,246.77,220.37,225.68
2024-12-07,225.54,246.35,217.48,237.17
2024-12-11,237.01,243.09,204.36,214.13
2024-12-15,213.68,234.22,211.76,219.46
2024-12-19,219.67,228.87,204.78,205.29
2024-12-23,206.14,211.78,176.92,180.43
2024-12-27,180.07,201.58,176.99,188.3
2024-12-31,187.55,197.0,183.03,190.7
2025-01-04,190.63,219.24,187.83,216.97
2025-01-08,217.89,222.9,202.37,202.74
2025-01-12,202.22,202.91,183.04,187.95
2025-01-16,187.99,205.84,174.38,205.84
2025-01-20,205.76,290.3,199.17,236.67
2025-01-24,236.62,271.04,232.73,253.87
2025-01-28,253.7,269.78,222.02,234.94
2025-02-01,235.14,243.9,223.67,231.35
2025-02-05,231.63,233.96,180.29,207.19
2025-02-09,207.15,208.44,188.48,199.81
2025-02-13,199.54,208.26,190.17,196.48
2025-02-17,196.73,205.02,187.22,188.3
2025-02-21,188.22,189.79,161.58,176.04
2025-02-25,176.38,180.17,140.58,140.77
2025-03-01,141.77,148.15,126.03,148.12
2025-03-05,148.22,178.38,132.02,145.08
2025-03-09,144.45,152.65,135.01,137.02
2025-03-13,136.85,139.95,113.62,126.51
2025-03-17,126.3,136.74,120.73,126.23
2025-03-21,125.62,135.98,122.14,127.43
2025-03-25,127.59,145.05,125.41,140.97
2025-03-29,140.16,147.16,128.13,129.56
2025-04-02,129.49,130.59,122.8,126.88
2025-04-06,126.77,134.82,112.43,120.07
2025-04-10,119.9,121.16,97.14,118.82
2025-04-14,118.84,133.77,108.75,128.1
2025-04-18,128.48,135.9,123.83,134.57
2025-04-22,134.74,142.79,132.54,136.49
2025-04-26,136.7,155.77,135.58,150.98
2025-04-30,151.32,153.14,145.15,146.5
2025-05-04,146.47,153.5,141.25,146.82
2025-05-08,146.71,149.21,141.73,147.24
2025-05-12,147.23,179.82,147.17,172.92
2025-05-16,173.18,184.38,166.79,168.91
