date,open,high,low,close
2024-05-17,2.91e-06,3e-06,2.79e-06,2.96e-06
2024-05-21,2.98e-06,3.15e-06,2.44e-06,2.67e-06
2024-05-25,2.68e-06,2.7e-06,2.47e-06,2.63e-06
2024-05-29,2.63e-06,3.07e-06,2.57e-06,2.66e-06
2024-06-02,2.66e-06,2.74e-06,1.84e-06,1.85e-06
2024-06-06,1.85e-06,1.87e-06,1.68e-06,1.74e-06
2024-06-10,1.74e-06,1.74e-06,1.25e-06,1.34e-06
2024-06-14,1.34e-06,1.34e-06,1.14e-06,1.17e-06
2024-06-18,1.17e-06,1.43e-06,1.12e-06,1.17e-06
2024-06-22,1.17e-06,1.17e-06,1.04e-06,1.05e-06
2024-06-26,1.04e-06,1.09e-06,9.85549e-07,1.07e-06
2024-06-30,1.07e-06,1.09e-06,1.01e-06,1.02e-06
2024-07-04,1.02e-06,1.12e-06,1.01e-06,1.01e-06
2024-07-08,1.02e-06,1.02e-06,7.94691e-07,8.57162e-07
2024-07-12,8.57728e-07,9.54117e-07,8.30392e-07,8.88685e-07
2024-07-16,8.9162e-07,1.01e-06,8.76752e-07,1.01e-06
2024-07-20,1.01e-06,1.11e-06,9.41304e-07,1.05e-06
2024-07-24,1.05e-06,1.05e-06,9.34974e-07,9.59026e-07
2024-07-28,9.61167e-07,9.86176e-07,8.70561e-07,9.39851e-07
2024-08-01,9.34432e-07,9.54529e-07,7.83721e-07,7.96218e-07
2024-08-05,7.95043e-07,7.9624e-07,6.15781e-07,6.31896e-07
2024-08-09,6.31766e-07,6.92685e-07,5.54464e-07,6.80208e-07
2024-08-13,6.8003e-07,6.89266e-07,6.31556e-07,6.80503e-07
2024-08-17,6.80827e-07,6.94165e-07,6.21922e-07,6.37929e-07
2024-08-21,6.35936e-07,6.81211e-07,6.26479e-07,6.54649e-07
2024-08-25,6.53968e-07,7.29962e-07,6.51531e-07,7.1475e-07
2024-08-29,7.09695e-07,7.44845e-07,6.31447e-07,6.58854e-07
2024-09-02,6.58385e-07,7.23759e-07,6.56144e-07,6.61074e-07
2024-09-06,6.61744e-07,7.15257e-07,6.51177e-07,6.7996e-07
2024-09-10,6.77805e-07,6.94928e-07,6.36881e-07,6.90285e-07
2024-09-14,6.91188e-07,7.01444e-07,6.55585e-07,6.93748e-07
2024-09-18,6.9492e-07,7.61613e-07,6.68702e-07,7.46762e-07
2024-09-22,7.44807e-07,8.88499e-07,7.26898e-07,8.17045e-07
2024-09-26,8.19528e-07,8.49509e-07,7.92989e-07,8.22668e-07
2024-09-30,8.23315e-07,9.85471e-07,8.22996e-07,9.12732e-07
2024-10-04,9.14904e-07,9.23192e-07,7.53127e-07,7.59806e-07
2024-10-08,7.59601e-07,8.41158e-07,7.55091e-07,8.03498e-07
2024-10-12,8.0623e-07,8.32161e-07,7.59055e-07,8.13993e-07
2024-10-16,8.12669e-07,8.8238e-07,7.88615e-07,8.33637e-07
2024-10-20,8.3468e-07,8.64542e-07,8.04114e-07,8.28592e-07
2024-10-24,8.3083e-07,8.58245e-07,7.44445e-07,7.68253e-07
2024-10-28,7.67819e-07,7.8485e-07,7.03154e-07,7.42132e-07
2024-11-01,7.39612e-07,8.09607e-07,7.22914e-07,7.40596e-07
2024-11-05,7.40119e-07,7.53365e-07,6.64787e-07,6.8629e-07
2024-11-09,6.86094e-07,8.75881e-07,6.68606e-07,8.41805e-07
2024-11-13,8.3926e-07,1.18e-06,8.22692e-07,1.06e-06
2024-11-17,1.06e-06,1.16e-06,9.74913e-07,1.03e-06
2024-11-21,1.03e-06,1.04e-06,9.08158e-07,9.25935e-07
2024-11-25,9.30988e-07,1.11e-06,9.1632e-07,1.05e-06
2024-11-29,1.05e-06,1.1e-06,9.67118e-07,1.03e-06
2024-12-03,1.04e-06,1.93e-06,1.02e-06,1.55e-06
2024-12-07,1.55e-06,1.72e-06,1.42e-06,1.64e-06
2024-12-11,1.64e-06,1.74e-06,1.36e-06,1.4e-06
2024-12-15,1.39e-06,1.54e-06,1.38e-06,1.41e-06
2024-12-19,1.41e-06,1.49e-06,1.26e-06,1.26e-06
2024-12-23,1.26e-06,1.28e-06,9.76806e-07,1.1e-06
2024-12-27,1.11e-06,1.17e-06,9.92336e-07,1e-06
2024-12-31,1e-06,1.05e-06,9.26772e-07,9.33723e-07
2025-01-04,9.28065e-07,1.05e-06,9.25335e-07,1.04e-06
2025-01-08,1.04e-06,1.09e-06,9.46085e-07,9.46289e-07
2025-01-12,9.44858e-07,9.5457e-07,8.70308e-07,8.95619e-07
2025-01-16,8.96451e-07,9.38238e-07,7.93413e-07,9.19211e-07
2025-01-20,9.18262e-07,9.55118e-07,7.9004e-07,8.2063e-07
2025-01-24,8.19652e-07,8.82232e-07,7.82928e-07,8.27403e-07
2025-01-28,8.28017e-07,8.67714e-07,7.38306e-07,7.59978e-07
2025-02-01,7.61637e-07,8.07624e-07,7.33722e-07,7.6509e-07
2025-02-05,7.67684e-07,7.87058e-07,5.30279e-07,6.09454e-07
2025-02-09,6.07052e-07,6.41723e-07,5.70637e-07,5.97558e-07
2025-02-13,5.97194e-07,6.13308e-07,5.55621e-07,5.99591e-07
2025-02-17,6.02701e-07,7.93096e-07,5.71232e-07,6.61879e-07
2025-02-21,6.62783e-07,7.03088e-07,6.07598e-07,6.90936e-07
2025-02-25,6.91367e-07,7.02381e-07,5.74301e-07,5.74301e-07
2025-03-01,5.76318e-07,6.1908e-07,5.1835e-07,5.5584e-07
2025-03-05,5.55131e-07,6.22776e-07,5.16061e-07,5.40568e-07
2025-03-09,5.49685e-07,5.83614e-07,5.3161e-07,5.58023e-07
2025-03-13,5.57862e-07,5.58624e-07,4.50875e-07,4.85468e-07
2025-03-17,4.84392e-07,4.9041e-07,4.55106e-07,4.56364e-07
2025-03-21,4.56213e-07,5.00604e-07,4.43827e-07,4.77398e-07
2025-03-25,4.7768e-07,5.0907e-07,4.64364e-07,4.94095e-07
2025-03-29,4.9527e-07,5.79847e-07,4.84334e-07,4.97138e-07
2025-04-02,4.99003e-07,5.53011e-07,4.24501e-07,4.46851e-07
2025-04-06,4.50795e-07,4.64674e-07,4.09069e-07,4.41764e-07
2025-04-10,4.37701e-07,4.88932e-07,3.29162e-07,3.955e-07
2025-04-14,3.94828e-07,4.1693e-07,3.51756e-07,3.96703e-07
2025-04-18,3.94548e-07,4.19989e-07,3.89733e-07,3.99073e-07
2025-04-22,3.99226e-07,4.38328e-07,3.90807e-07,4.21276e-07
2025-04-26,4.22727e-07,5.10222e-07,4.21386e-07,4.94675e-07
2025-04-30,4.93682e-07,5.14303e-07,4.70311e-07,4.84164e-07
2025-05-04,4.84553e-07,5.02944e-07,4.61354e-07,4.80298e-07
2025-05-08,4.80236e-07,4.82663e-07,4.34697e-07,4.48616e-07
2025-05-12,4.48661e-07,5.82295e-07,4.43861e-07,5.67925e-07
2025-05-16,5.67848e-07,6.06733e-07,5.45788e-07,5.71791e-07
