date,open,high,low,close
2024-05-17,0.00450523,0.00469377,0.00401235,0.00401965
2024-05-21,0.00400262,0.00592903,0.0038637,0.00511269
2024-05-25,0.00509656,0.00518145,0.00344099,0.00367958
2024-05-29,0.00368302,0.01378446,0.00352797,0.01208288
2024-06-02,0.01211801,0.02298498,0.0103436,0.02108273
2024-06-06,0.02123544,0.029275,0.01518024,0.01617684
2024-06-10,0.01614996,0.02435143,0.01219541,0.02207565
2024-06-14,0.02198638,0.02459258,0.01753796,0.01813194
2024-06-18,0.01798527,0.02008003,0.01558493,0.01558493
2024-06-22,0.01556624,0.01621843,0.0107313,0.0130729
2024-06-26,0.01334624,0.01484065,0.01033716,0.01465315
2024-06-30,0.01464313,0.01688525,0.01080337,0.01082075
2024-07-04,0.01078981,0.01249382,0.00837152,0.01030239
2024-07-08,0.0104223,0.01055141,0.00807639,0.00841245
2024-07-12,0.00839964,0.01041757,0.0079138,0.00950964
2024-07-16,0.0094573,0.01307885,0.00796061,0.01263506
2024-07-20,0.01260079,0.01587405,0.01113343,0.01242986
2024-07-24,0.01230262,0.01619846,0.01146172,0.01194696
2024-07-28,0.01194238,0.0125864,0.0104825,0.01069448
2024-08-01,0.01072238,0.01081954,0.00668358,0.00684131
2024-08-05,0.00675176,0.00686583,0.00485007,0.00488136
2024-08-09,0.00489167,0.00694148,0.00409876,0.00688662
2024-08-13,0.00695574,0.00715495,0.00580023,0.00671462
2024-08-17,0.00671001,0.00671001,0.00506749,0.00515637
2024-08-21,0.00515423,0.00528813,0.004724,0.00479056
2024-08-25,0.0048045,0.00759229,0.00479198,0.00674865
2024-08-29,0.0067537,0.00705451,0.00563414,0.00614585
2024-09-02,0.00613942,0.00638,0.00541462,0.00556536
2024-09-06,0.00559068,0.00643158,0.00538431,0.00558141
2024-09-10,0.00558158,0.0063622,0.00474324,0.00621151
2024-09-14,0.00621103,0.00700683,0.00491304,0.00520456
2024-09-18,0.0052091,0.00559078,0.00459058,0.00494734
2024-09-22,0.00485036,0.00622642,0.00460713,0.00541133
2024-09-26,0.00541656,0.00548905,0.00475419,0.00480061
2024-09-30,0.00479391,0.00576635,0.00469452,0.00510562
2024-10-04,0.00509977,0.00570735,0.00473013,0.00519596
2024-10-08,0.00519334,0.00897433,0.00519334,0.00880867
2024-10-12,0.00869173,0.01015329,0.00692594,0.00844363
2024-10-16,0.00842407,0.00874308,0.00621412,0.00691125
2024-10-20,0.00686182,0.01006077,0.00682519,0.00825989
2024-10-24,0.00825548,0.00907878,0.0070044,0.0073889
2024-10-28,0.00736871,0.00879345,0.00674874,0.00788387
2024-11-01,0.00787902,0.00854263,0.0063876,0.00685124
2024-11-05,0.00688022,0.0085388,0.00478162,0.00631666
2024-11-09,0.0062801,0.00728034,0.002052,0.00297894
2024-11-13,0.00298659,0.00484004,0.00199335,0.00361704
2024-11-17,0.00361492,0.00367444,0.00251888,0.00258774
2024-11-21,0.00259236,0.00269312,0.00198889,0.00216349
2024-11-25,0.00218113,0.00277494,0.00214414,0.0023526
2024-11-29,0.00235605,0.00239882,0.00214457,0.00214457
2024-12-03,0.00214415,0.00223997,0.00186543,0.00187357
2024-12-07,0.00187198,0.00213562,0.00173411,0.00211367
2024-12-11,0.00211413,0.00343417,0.00209059,0.00260795
2024-12-15,0.00260759,0.00270384,0.0021159,0.0021961
2024-12-19,0.00219625,0.00249842,0.0019883,0.00212986
2024-12-23,0.00212395,0.00226304,0.00169742,0.00181228
2024-12-27,0.00181482,0.00187523,0.00175896,0.00179574
2024-12-31,0.00179857,0.00196751,0.00177304,0.00191327
