date,open,high,low,close
2025-03-13,0.00062874,0.00118837,0.0001489,0.00064245
2025-03-17,0.00063455,0.00174607,0.0003813,0.00121605
2025-03-21,0.00123144,0.00559997,0.00057628,0.00434545
2025-03-25,0.00422,0.00877705,0.00349146,0.0047483
2025-03-29,0.00463456,0.01057577,0.00271936,0.01057577
2025-04-02,0.0097687,0.02848293,0.00785213,0.02647205
2025-04-06,0.02579391,0.04433441,0.0145677,0.02768778
2025-04-10,0.02807998,0.03272326,0.01847792,0.02684136
2025-04-14,0.02659783,0.03584516,0.01687971,0.01827954
2025-04-18,0.01849494,0.02191871,0.01097221,0.01590277
2025-04-22,0.01565364,0.01579925,0.01082325,0.01476813
2025-04-26,0.01490449,0.02419406,0.01445265,0.01849583
2025-04-30,0.01764884,0.02843703,0.01635924,0.01946979
2025-05-04,0.01931847,0.02970228,0.01664233,0.02571852
2025-05-08,0.02540941,0.03568,0.02042818,0.03207351
2025-05-12,0.03282493,0.078294,0.03282493,0.076016
2025-05-16,0.075099,0.093871,0.03676115,0.04255275
