statusCode,data
200,"{'rank': 1, 'creationBlock': 340267193, 'creationTime': '2025-05-15T22:19:23.930Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': '5ofmUt2YC6NQ6yRR2qDQszhnRJesEzkrG9kMgdTwTpEX', 'mainToken': {'name': 'McDonald Trump', 'symbol': 'McDTrump', 'address': 'HaDSPjQ5G4eu2XBkaYEqeE8vt3k3hqsXHRDa1iferYpq'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 2, 'creationBlock': 339869623, 'creationTime': '2025-05-14T02:30:20.724Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': '9nX5sfsRxPfsXY6LjoJzAZiN8r3eKy3V4hYzSCFjYxp5', 'mainToken': {'name': 'Life Long Diary', 'symbol': 'LifeDiary', 'address': '6KTBGK2qcywE8ZDa5vSoiELETyMFM28pRFEi6DQRhYXx'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 3, 'creationBlock': 339904537, 'creationTime': '2025-05-14T06:21:53.106Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': 'D1PmbKuQuTjXKoiWkdxFPvUrTUcCpMTLHd5xGmVyTWyi', 'mainToken': {'name': 'Dalmatian Coin', 'symbol': 'DAL', 'address': '6n47BmkY99wdF86GqxDWAH8YCXhmea58kYL85qS67L43'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 4, 'creationTime': '2025-05-16T00:01:21.079Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': '6ZmyXByQMGxb6acJoZ2WEYKnH91frPET9BCE8KH2BBo5', 'mainToken': {'name': 'BONKACHU', 'symbol': 'BONKACHU', 'address': '8xvPm5dYosriqGwWQQZLAKcKe2fhopym2t4U6vHDLHwu'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 5, 'creationTime': '2023-08-28T19:52:15.852Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': '8EzbUfvcRT1Q6RL462ekGkgqbxsPmwC5FMLQZhSPMjJ3', 'mainToken': {'name': 'Marinade staked SOL (mSOL)', 'symbol': 'mSOL', 'address': 'mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 6, 'creationBlock': 339920685, 'creationTime': '2025-05-14T08:08:41.904Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': 'GFXTGiiweotzYds3VcNagjCFnvFwGaynASUFTbbb4Fvy', 'mainToken': {'name': 'Red Delicious', 'symbol': 'APPLE', 'address': '5hMJsZnGX7GEHxnQtFiwXbALUb9aV76A3LRqMBN6pump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 7, 'creationBlock': 339864221, 'creationTime': '2025-05-14T01:54:45.113Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': 'Afx2rQ7BoMiYXXcp1DR2fFgdpKbLHsgaVgpHnfso7Vd4', 'mainToken': {'name': 'New Pope', 'symbol': 'Leo XIV', 'address': '56AD3j9APXAvVNpkxrzQDZqFhxmGjHdPmvKNLEUarX8r'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 8, 'creationBlock': 292965867, 'creationTime': '2024-09-30T22:33:29.836Z', 'exchange': {'name': 'Raydium', 'factory': '675kpx9mhtjs2zt1qfr1nyhuzelxfqm9h24wfsut1mp8'}, 'address': 'HZ6rzhC96cTVx3HQiKoDbSdoRd3LH5nELYuYXGu4f3EE', 'mainToken': {'name': 'spinning cat', 'symbol': 'OIIAOIIA', 'address': 'VaxZxmFXV8tmsd72hUn22ex6GFzZ5uq9DVJ5wA5pump'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 9, 'creationBlock': 339996137, 'creationTime': '2025-05-14T16:27:41.590Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': 'yYBrasHZgJ42vqD5PwUKtJfReYyvFX5S8pdeVxcU6KZ', 'mainToken': {'name': 'Greenshirt', 'symbol': 'GREEN', 'address': '4ckyDwhcZdowu2WfC4QCT2orhUaPtGoW6TJZZVqGEc7S'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
200,"{'rank': 10, 'creationBlock': 339946058, 'creationTime': '2025-05-14T10:56:17.895Z', 'exchange': {'name': 'Raydium CLMM', 'factory': 'cammczo5yl8w4vff8kvhrk22ggusp5vtaw7grrkgrwqk'}, 'address': 'HTKeYixYYu31XeVgGAMGyZoBArmG6yPHg7zbESrHtsAK', 'mainToken': {'name': ""MDonald's WORLD"", 'symbol': 'MCW', 'address': 'FawYZeJw45H6tGD2Uf2omwNxDc63xXqufb3Spen7gHRT'}, 'sideToken': {'name': 'Wrapped SOL', 'symbol': 'SOL', 'address': 'So11111111111111111111111111111111111111112'}}"
