date,open,high,low,close
2024-11-17,0.04041078,0.04041078,0.00116308,0.00134596
2024-11-21,0.00134654,0.00253894,0.00130966,0.00149708
2024-11-25,0.0014976,0.00150349,0.00085906,0.00096042
2024-11-29,0.00095872,0.00184392,0.00095711,0.00129251
2024-12-03,0.00129174,0.0012984,0.00112949,0.00115033
2024-12-07,0.00117187,0.00182127,0.00116084,0.00158241
2024-12-11,0.00158228,0.00210986,0.00153628,0.00157919
2024-12-15,0.00158014,0.00158504,0.00115428,0.00121386
2024-12-19,0.00122174,0.001314,0.00110035,0.00111341
2024-12-23,0.00105953,0.00109251,0.00080563,0.00080685
2024-12-27,0.00080685,0.00086339,0.00078637,0.00079181
2024-12-31,0.00079241,0.00080687,0.00066053,0.00067222
2025-01-04,0.00067146,0.00068127,0.00059458,0.00065846
2025-01-08,0.00065534,0.00429247,0.00065405,0.00214179
2025-01-12,0.00213916,0.0039455,0.00199818,0.00207383
2025-01-16,0.00212347,0.00283999,0.00161584,0.00194894
2025-01-20,0.00195038,0.00341386,0.00132565,0.00135858
2025-01-24,0.00135539,0.00284667,0.00105582,0.00107959
2025-01-28,0.00108095,0.00108095,0.00086954,0.00093292
2025-02-01,0.00093662,0.000949,0.00084014,0.00084322
2025-02-05,0.00084287,0.00085045,0.00058548,0.00073071
2025-02-09,0.00079558,0.00097627,0.00065081,0.00066133
2025-02-13,0.00066806,0.00069878,0.00064565,0.00068207
2025-02-17,0.00067881,0.0006824,0.00051714,0.00051798
2025-02-21,0.00051257,0.00059555,0.00047522,0.00056587
2025-02-25,0.0005656,0.0005656,0.00046011,0.00046071
2025-03-01,0.0004631,0.0004631,0.00035016,0.00037311
2025-03-05,0.00036443,0.00061978,0.00036115,0.00047703
2025-03-09,0.00047668,0.00060283,0.0004416,0.00047493
2025-03-13,0.00048591,0.00053536,0.00042815,0.00043203
2025-03-17,0.00041751,0.00043248,0.00041713,0.00042761
2025-03-21,0.00042019,0.00046617,0.00041499,0.00045617
2025-03-25,0.00045618,0.00046886,0.00043468,0.00045297
2025-03-29,0.00045366,0.00045651,0.00038069,0.00038231
2025-04-02,0.00034413,0.00035493,0.00033414,0.00034572
2025-04-06,0.00034517,0.00034517,0.00030677,0.00031473
2025-04-10,0.00031463,0.0003158,0.00024579,0.00029232
2025-04-14,0.00029319,0.00030161,0.00026605,0.0002773
2025-04-18,0.00027694,0.00028784,0.00027538,0.00028264
2025-04-22,0.00028031,0.00028595,0.00027394,0.00028468
2025-04-26,0.00031009,0.00031103,0.00029673,0.00030499
2025-04-30,0.00030499,0.00031823,0.0002999,0.00030439
2025-05-04,0.00030439,0.00038349,0.00029782,0.00034963
2025-05-08,0.00034949,0.0003746,0.00034104,0.00034633
2025-05-12,0.00036416,0.0005125,0.00036416,0.0004919
2025-05-16,0.00048918,0.00053274,0.00048163,0.00051854
