date,open,high,low,close
2024-05-17,7.52,7.94,7.41,7.79
2024-05-21,7.79,9.4,7.47,9.32
2024-05-25,9.33,9.91,8.66,9.85
2024-05-29,9.87,12.27,9.8,11.41
2024-06-02,11.41,11.63,10.09,10.24
2024-06-06,10.25,12.31,9.19,11.49
2024-06-10,11.48,11.53,9.84,9.92
2024-06-14,9.91,10.43,8.88,9.79
2024-06-18,9.79,12.16,9.75,10.9
2024-06-22,10.91,10.92,9.4,10.14
2024-06-26,10.14,10.3,9.22,9.44
2024-06-30,9.44,9.65,9.23,9.38
2024-07-04,9.37,9.44,8.52,8.53
2024-07-08,8.52,8.62,7.44,7.72
2024-07-12,7.71,8.49,7.51,8.08
2024-07-16,8.07,9.52,8.01,8.67
2024-07-20,8.67,8.85,7.76,7.96
2024-07-24,7.97,8.42,7.61,8.0
2024-07-28,8.0,8.13,7.38,7.65
2024-08-01,7.67,8.33,7.31,7.34
2024-08-05,7.33,7.4,6.18,6.38
2024-08-09,6.37,6.37,4.94,6.22
2024-08-13,6.19,6.56,5.97,6.22
2024-08-17,6.22,6.61,6.14,6.31
2024-08-21,6.3,6.72,6.23,6.37
2024-08-25,6.4,7.48,6.22,7.03
2024-08-29,7.02,7.04,5.44,5.97
2024-09-02,5.97,6.19,5.63,5.78
2024-09-06,5.8,6.54,5.66,6.23
2024-09-10,6.23,6.8,6.06,6.71
2024-09-14,6.68,7.18,6.63,6.85
2024-09-18,6.82,7.29,6.3,6.89
2024-09-22,6.89,7.41,6.4,7.04
2024-09-26,7.08,7.7,5.92,6.85
2024-09-30,6.85,7.7,6.85,7.39
2024-10-04,7.39,7.69,6.62,6.71
2024-10-08,6.71,7.39,6.71,7.29
2024-10-12,7.29,9.26,7.11,7.78
2024-10-16,7.79,8.45,7.44,7.75
2024-10-20,7.74,7.79,7.47,7.58
2024-10-24,7.58,8.47,7.39,7.73
2024-10-28,7.73,8.33,7.37,7.63
2024-11-01,7.65,8.26,7.6,7.84
2024-11-05,7.85,7.87,6.8,7.27
2024-11-09,7.27,9.41,6.97,8.78
2024-11-13,8.78,10.24,8.46,9.01
2024-11-17,9.03,9.4,8.18,9.35
2024-11-21,9.35,10.01,8.36,8.72
2024-11-25,8.72,12.45,8.7,10.86
2024-11-29,10.86,14.21,10.44,12.84
2024-12-03,12.55,14.81,12.25,14.52
2024-12-07,14.52,18.99,13.62,18.45
2024-12-11,18.45,19.62,14.81,15.52
2024-12-15,15.55,19.39,15.18,16.5
2024-12-19,16.52,17.3,14.16,14.4
2024-12-23,14.42,19.85,11.97,14.31
2024-12-27,14.31,15.13,12.98,13.78
2024-12-31,13.77,14.37,12.86,13.48
2025-01-04,13.48,15.32,13.2,15.16
2025-01-08,15.15,16.79,14.41,14.45
2025-01-12,14.44,14.45,12.9,14.13
2025-01-16,14.14,16.02,12.56,14.37
2025-01-20,14.37,14.79,12.65,13.57
2025-01-24,13.52,14.53,12.3,12.83
2025-01-28,12.82,13.67,10.22,10.81
2025-02-01,10.83,12.85,10.8,12.08
2025-02-05,12.08,13.28,7.5,9.42
2025-02-09,9.51,9.8,8.74,9.03
2025-02-13,9.04,10.37,9.03,9.89
2025-02-17,9.89,10.45,9.39,9.4
2025-02-21,9.39,10.56,9.0,9.51
2025-02-25,9.51,9.62,8.29,8.44
2025-03-01,8.45,8.69,7.11,7.48
2025-03-05,7.47,8.28,6.63,7.08
2025-03-09,7.08,7.64,6.92,7.16
2025-03-13,7.16,7.17,5.42,5.86
2025-03-17,5.87,6.27,5.77,6.1
2025-03-21,6.1,7.06,6.1,6.83
2025-03-25,6.85,7.09,6.59,6.97
2025-03-29,6.97,7.12,6.37,6.38
2025-04-02,6.38,6.38,5.9,6.29
2025-04-06,6.29,6.33,5.7,5.81
2025-04-10,5.84,5.86,4.66,5.41
2025-04-14,5.41,5.52,4.88,5.36
2025-04-18,5.36,7.27,5.01,5.16
2025-04-22,5.16,5.42,5.16,5.28
2025-04-26,5.28,6.85,4.95,5.95
2025-04-30,5.95,6.0,4.86,5.23
2025-05-04,5.23,5.47,5.2,5.28
2025-05-08,5.28,5.28,4.84,4.87
2025-05-12,4.87,7.45,4.87,6.92
2025-05-16,6.92,7.29,6.16,6.53
