date,open,high,low,close
2024-12-11,1.014,1.021,0.960609,0.966154
2024-12-15,0.997075,1.021,0.990958,1.011
2024-12-19,0.999873,1.014,0.947,0.954524
2024-12-23,0.989196,1.034,0.962776,0.99369
2024-12-27,0.995653,1.036,0.983023,1.011
2025-01-04,0.998756,1.026,0.99225,0.99771
2025-01-12,1.004,1.022,0.961085,1.016
2025-01-16,0.9947,1.016,0.980442,0.983666
2025-01-28,0.99036,1.018,0.983138,0.996595
2025-02-05,1.0,1.007,0.957474,0.957474
2025-02-17,1.002,1.005,0.99289,1.001
2025-02-25,1.006,1.016,0.988757,1.0
2025-03-01,0.998033,1.015,0.981744,0.999611
2025-03-05,1.0,1.023,0.98118,0.99982
2025-03-09,1.01,1.012,0.987255,0.999613
2025-03-13,0.99997,1.024,0.976209,1.0
2025-03-17,0.998486,1.011,0.988818,1.0
2025-03-21,0.999614,1.012,0.989443,0.999314
2025-03-25,1.001,1.01,0.99157,1.001
2025-03-29,0.999718,1.01,0.991817,0.999611
2025-04-02,0.999428,1.01,0.989105,0.999376
2025-04-06,1.001,1.013,0.986179,0.99983
2025-04-10,0.999833,1.047,0.984053,0.999446
2025-04-14,0.99993,1.017,0.985963,1.0
2025-04-18,0.998761,1.013,0.984525,1.0
2025-04-22,1.0,1.011,0.988412,1.0
2025-04-26,1.0,1.011,0.988822,1.001
2025-04-30,1.001,1.011,0.989046,1.0
2025-05-04,1.0,1.009,0.98776,1.0
2025-05-08,1.0,1.01,0.991572,1.0
2025-05-12,1.0,1.028,0.983923,1.0
2025-05-16,0.999628,1.012,0.987834,1.009
