date,open,high,low,close
2024-05-17,0.00384737,0.00390028,0.00381957,0.00385961
2024-05-21,0.00386056,0.00405024,0.0037839,0.00404862
2024-05-25,0.00405071,0.00460252,0.00399806,0.00434228
2024-05-29,0.00433999,0.0043562,0.00398705,0.00406271
2024-06-02,0.00408062,0.0041396,0.0037259,0.00378725
2024-06-06,0.00379545,0.00407857,0.00369114,0.00369891
2024-06-10,0.00369997,0.00372361,0.00298323,0.00300292
2024-06-14,0.0030095,0.00309953,0.00269887,0.00271006
2024-06-18,0.00271064,0.0027221,0.00193542,0.00194223
2024-06-22,0.00194268,0.00219168,0.00162137,0.001994
2024-06-26,0.00199604,0.0020152,0.00170265,0.00181932
2024-06-30,0.00181906,0.001834,0.00169952,0.00169952
2024-07-04,0.00170065,0.00175414,0.00145294,0.00145499
2024-07-08,0.00145849,0.00157611,0.00104182,0.00129827
2024-07-12,0.00128702,0.00304072,0.00128052,0.00211749
2024-07-16,0.00211811,0.00229623,0.00177462,0.00210008
2024-07-20,0.00210521,0.0023344,0.00171377,0.00222458
2024-07-24,0.00223992,0.00234422,0.00188354,0.0018954
2024-07-28,0.00189734,0.00232406,0.00187138,0.00225166
2024-08-01,0.00224479,0.00276947,0.00207916,0.00215545
2024-08-05,0.00215381,0.00216084,0.00158811,0.00165633
2024-08-09,0.00165715,0.00173059,0.00130285,0.00164706
2024-08-13,0.00164153,0.00193082,0.00161321,0.00182472
2024-08-17,0.0018265,0.00219878,0.00170703,0.00176176
2024-08-21,0.00176092,0.00238787,0.00171384,0.00221914
2024-08-25,0.00221015,0.00229384,0.00173978,0.00187947
2024-08-29,0.00187438,0.00201983,0.00171094,0.00172024
2024-09-02,0.00172374,0.00173691,0.00160975,0.0017195
2024-09-06,0.00172075,0.0017483,0.00160213,0.00160825
2024-09-10,0.00160686,0.00163264,0.00150638,0.00163086
2024-09-14,0.00162335,0.00241371,0.00145761,0.00182707
2024-09-18,0.0018182,0.00182485,0.00157955,0.00172073
2024-09-22,0.00172313,0.00252427,0.00153942,0.00197199
2024-09-26,0.00197404,0.00198435,0.00168023,0.00185753
2024-09-30,0.001856,0.00206589,0.00183634,0.00194401
2024-10-04,0.00194347,0.00194558,0.00158434,0.00159157
2024-10-08,0.00158607,0.0017242,0.00155928,0.001684
2024-10-12,0.00168139,0.00170861,0.00158755,0.00162202
2024-10-16,0.00162636,0.00163444,0.00145052,0.00149851
2024-10-20,0.00150422,0.00160746,0.00143969,0.00157322
2024-10-24,0.00157285,0.00178934,0.00146379,0.00149012
2024-10-28,0.00149001,0.00182449,0.00148288,0.00156939
2024-11-01,0.00154305,0.00182796,0.00154274,0.00170246
2024-11-05,0.00170222,0.00170412,0.00139689,0.00146032
2024-11-09,0.00145819,0.00183864,0.00134355,0.00167674
2024-11-13,0.00167367,0.00185532,0.00151644,0.0015632
2024-11-17,0.00153593,0.0016363,0.00142774,0.00162952
2024-11-21,0.00162853,0.00174352,0.00157322,0.00164197
2024-11-25,0.00164183,0.00204169,0.00161272,0.00177105
2024-11-29,0.00175829,0.00266723,0.00175829,0.00255685
2024-12-03,0.0025586,0.00293124,0.00237292,0.00267295
2024-12-07,0.00267311,0.00528302,0.00265277,0.00458577
2024-12-11,0.00462144,0.00495166,0.00359799,0.00386901
2024-12-15,0.00386731,0.00428789,0.00359058,0.00370111
2024-12-19,0.00370069,0.00424288,0.00326453,0.00327115
2024-12-23,0.003266,0.00344542,0.00262737,0.00268732
2024-12-27,0.00268799,0.00345335,0.0026175,0.00286539
2024-12-31,0.00286414,0.00290709,0.00234249,0.00235481
2025-01-04,0.00235436,0.00280225,0.00216915,0.00260086
2025-01-08,0.00260206,0.00300999,0.00254957,0.00255547
2025-01-12,0.00257542,0.00281154,0.00230236,0.00254143
2025-01-16,0.00254206,0.00255564,0.00197006,0.00223722
2025-01-20,0.00223654,0.00238841,0.00166287,0.00166935
2025-01-24,0.00167444,0.00169067,0.00126582,0.00129496
2025-01-28,0.00129466,0.00151242,0.00119256,0.0012746
2025-02-01,0.00127459,0.00198302,0.00125716,0.00147853
2025-02-05,0.00147868,0.00153859,0.00091109,0.00095979
2025-02-09,0.00096,0.00178184,0.0009395,0.0011745
2025-02-13,0.00115442,0.00167192,0.00102431,0.0014056
2025-02-17,0.00140485,0.00140485,0.00111887,0.00115247
2025-02-21,0.00115247,0.00153447,0.00115247,0.00132562
2025-02-25,0.00132449,0.00142507,0.0011006,0.0011006
2025-03-01,0.00110245,0.00112922,0.00095565,0.00107611
2025-03-05,0.00107568,0.00127129,0.0009779,0.00100733
2025-03-09,0.00100604,0.00114041,0.00096999,0.00106209
2025-03-13,0.00106219,0.00106525,0.00073518,0.00086618
2025-03-17,0.00086459,0.00103512,0.00085433,0.00096846
2025-03-21,0.00096801,0.00098605,0.00081312,0.00084289
2025-03-25,0.00084328,0.00123541,0.00078119,0.00093609
2025-03-29,0.00093649,0.00095827,0.00083436,0.00085007
2025-04-02,0.00084947,0.00096598,0.00078528,0.00080555
2025-04-06,0.00080632,0.00080682,0.00062641,0.00070336
2025-04-10,0.00070335,0.00077325,0.00057234,0.00074681
2025-04-14,0.00074722,0.00078726,0.00069139,0.00069295
2025-04-18,0.00069254,0.0008155,0.00063968,0.0007366
2025-04-22,0.0007367,0.00092295,0.00067514,0.00072238
2025-04-26,0.00072238,0.00079822,0.0006707,0.0007492
2025-04-30,0.00074655,0.00077218,0.00071265,0.00075657
2025-05-04,0.00075667,0.0011246,0.00074872,0.0007976
2025-05-08,0.0007971,0.00096629,0.00076947,0.0008321
2025-05-12,0.0008321,0.00094983,0.00083161,0.00088367
2025-05-16,0.0008837,0.00099979,0.00083319,0.00087504
