date,open,high,low,close
2024-07-28,0.00086679,0.00088878,0.00077991,0.00083344
2024-08-01,0.00079409,0.00081591,0.00047802,0.00063618
2024-08-05,0.00063455,0.000649,0.00043308,0.00052589
2024-08-09,0.00052821,0.00072635,0.00042518,0.00072635
2024-08-13,0.00072796,0.00072796,0.00057823,0.00061143
2024-08-17,0.00060987,0.00061672,0.00048112,0.00048809
2024-08-21,0.00048882,0.00052736,0.00042298,0.00047544
2024-08-25,0.00047336,0.0004747,0.00034039,0.00040993
2024-08-29,0.00041163,0.00041163,0.00024479,0.00028467
2024-09-02,0.00027624,0.00031353,0.00027559,0.00028144
2024-09-06,0.00028162,0.00032814,0.00027642,0.00029851
2024-09-10,0.00029827,0.00030526,0.00026737,0.0002955
2024-09-14,0.000295,0.000295,0.00024608,0.00027074
2024-09-18,0.00027114,0.00027202,0.00021558,0.00022994
2024-09-22,0.00023002,0.00025995,0.0002129,0.00023935
2024-09-26,0.00023924,0.00023943,0.000176,0.00018616
2024-09-30,0.00018835,0.00020403,0.00015744,0.00017223
2024-10-04,0.00017233,0.00017808,0.00012793,0.00014587
2024-10-08,0.00014582,0.00016451,0.00014047,0.00015794
2024-10-12,0.00015779,0.00016068,0.00013985,0.00015231
2024-10-16,0.00015257,0.00016397,0.00013639,0.00015447
2024-10-20,0.00015453,0.00015852,0.00011543,0.00014542
2024-10-24,0.00014548,0.00014902,8.831e-05,0.00010225
2024-10-28,0.00010217,0.00010645,8.153e-05,8.869e-05
2024-11-01,8.87e-05,9.282e-05,8.184e-05,8.333e-05
2024-11-05,8.339e-05,8.637e-05,7.434e-05,7.48e-05
2024-11-09,7.488e-05,9.126e-05,7.464e-05,8.471e-05
2024-11-13,8.468e-05,8.504e-05,6.835e-05,7.014e-05
2024-11-17,7.008e-05,7.051e-05,5.757e-05,5.86e-05
2024-11-21,5.857e-05,6.28e-05,5.437e-05,5.655e-05
2024-11-25,5.636e-05,7.303e-05,5.344e-05,6.401e-05
2024-11-29,6.417e-05,6.691e-05,5.768e-05,6.008e-05
2024-12-03,6.018e-05,6.689e-05,5.88e-05,6.026e-05
2024-12-07,6.029e-05,7.884e-05,5.995e-05,6.972e-05
2024-12-11,6.967e-05,7.231e-05,5.565e-05,5.829e-05
2024-12-15,5.847e-05,6.733e-05,5.79e-05,5.96e-05
2024-12-19,5.958e-05,6.361e-05,5.413e-05,5.54e-05
2024-12-23,5.567e-05,6.336e-05,5.059e-05,5.397e-05
2024-12-27,5.391e-05,6.25e-05,4.309e-05,4.309e-05
2024-12-31,4.315e-05,4.496e-05,3.874e-05,4.125e-05
2025-01-04,4.135e-05,4.524e-05,3.908e-05,4.267e-05
2025-01-08,4.267e-05,4.82e-05,3.604e-05,4.593e-05
2025-01-12,4.568e-05,5.656e-05,4.302e-05,4.749e-05
2025-01-16,4.764e-05,4.922e-05,4.11e-05,4.737e-05
2025-01-20,4.748e-05,4.917e-05,2.904e-05,3.009e-05
2025-01-24,3.119e-05,3.759e-05,3.072e-05,3.565e-05
2025-01-28,3.552e-05,3.631e-05,2.889e-05,3.177e-05
2025-02-01,3.181e-05,3.536e-05,3.105e-05,3.393e-05
2025-02-05,3.256e-05,3.416e-05,2.522e-05,2.945e-05
2025-02-09,2.954e-05,2.977e-05,2.66e-05,2.833e-05
2025-02-13,2.825e-05,2.958e-05,2.551e-05,2.634e-05
2025-02-17,2.641e-05,2.669e-05,2.299e-05,2.385e-05
2025-02-21,2.383e-05,2.402e-05,1.863e-05,1.936e-05
2025-02-25,2.016e-05,2.018e-05,1.258e-05,1.26e-05
2025-03-01,1.276e-05,1.325e-05,9.07e-06,1.075e-05
2025-03-05,1.075e-05,1.399e-05,1.021e-05,1.153e-05
2025-03-09,1.148e-05,1.209e-05,8.67e-06,8.69e-06
2025-03-13,8.71e-06,9.12e-06,6.66e-06,7.65e-06
2025-03-17,7.63e-06,7.66e-06,6.77e-06,6.85e-06
2025-03-21,6.87e-06,7.6e-06,6.66e-06,6.94e-06
2025-03-25,7.25e-06,7.96e-06,6.97e-06,7.71e-06
2025-03-29,7.72e-06,8.34e-06,7.05e-06,7.37e-06
2025-04-02,7.38e-06,7.42e-06,6.72e-06,7.04e-06
2025-04-06,6.22e-06,6.82e-06,6.19e-06,6.51e-06
2025-04-10,6.64e-06,7.69e-06,5.47e-06,7.62e-06
2025-04-14,7.63e-06,1.057e-05,7.49e-06,9.85e-06
2025-04-18,9.89e-06,1.123e-05,9.87e-06,1.086e-05
2025-04-22,1.098e-05,1.18e-05,1.088e-05,1.106e-05
2025-04-26,1.114e-05,1.382e-05,1.105e-05,1.362e-05
2025-04-30,1.362e-05,1.376e-05,1.203e-05,1.214e-05
2025-05-04,1.212e-05,1.273e-05,1.153e-05,1.181e-05
2025-05-08,1.166e-05,1.175e-05,1.059e-05,1.094e-05
2025-05-12,1.096e-05,1.203e-05,1.081e-05,1.172e-05
2025-05-16,1.173e-05,1.215e-05,1.048e-05,1.075e-05
