date,open,high,low,close
2024-05-17,3043.17,3050.05,2928.89,2942.47
2024-05-21,2945.89,3679.4,2938.01,3671.86
2024-05-25,3666.07,3935.38,3639.72,3723.64
2024-05-29,3726.32,3969.39,3716.07,3842.48
2024-06-02,3841.53,3877.01,3697.23,3811.26
2024-06-06,3811.81,3881.76,3747.31,3868.01
2024-06-10,3864.4,3871.37,3660.28,3707.91
2024-06-14,3708.49,3708.49,3441.76,3480.58
2024-06-18,3475.33,3635.16,3376.96,3504.91
2024-06-22,3496.58,3613.82,3379.95,3521.57
2024-06-26,3518.65,3518.65,3251.18,3403.59
2024-06-30,3397.27,3474.22,3345.79,3375.72
2024-07-04,3372.01,3507.28,3265.23,3292.92
2024-07-08,3291.07,3306.23,2837.06,2912.12
2024-07-12,2906.98,3194.76,2834.07,3100.79
2024-07-16,3097.4,3493.68,3051.17,3493.68
2024-07-20,3487.94,3539.88,3363.15,3505.17
2024-07-24,3505.57,3551.87,3414.54,3487.48
2024-07-28,3486.8,3489.2,3102.6,3253.94
2024-08-01,3251.75,3395.56,3206.75,3227.43
2024-08-05,3229.0,3239.27,2685.57,2693.76
2024-08-09,2685.58,2705.36,2202.73,2678.39
2024-08-13,2683.41,2738.29,2515.88,2726.39
2024-08-17,2722.32,2762.23,2516.44,2594.9
2024-08-21,2592.21,2693.36,2562.61,2575.54
2024-08-25,2575.83,2817.64,2551.15,2764.5
2024-08-29,2767.42,2790.25,2423.76,2530.43
2024-09-02,2526.37,2590.3,2408.92,2427.52
2024-09-06,2429.53,2560.59,2324.77,2371.03
2024-09-10,2368.77,2406.14,2166.14,2360.28
2024-09-14,2359.25,2461.25,2237.37,2441.32
2024-09-18,2439.2,2530.04,2259.36,2338.45
2024-09-22,2341.08,2614.15,2285.92,2614.15
2024-09-26,2614.75,2689.14,2538.46,2573.38
2024-09-30,2576.59,2720.85,2561.08,2659.62
2024-10-04,2656.73,2661.1,2313.07,2347.41
2024-10-08,2349.09,2512.17,2339.63,2423.9
2024-10-12,2425.54,2467.08,2331.23,2434.91
2024-10-16,2439.02,2665.67,2433.84,2597.29
2024-10-20,2605.86,2674.02,2578.8,2651.93
2024-10-24,2650.56,2762.15,2468.83,2522.19
2024-10-28,2521.62,2557.14,2392.16,2504.6
2024-11-01,2506.52,2721.77,2470.16,2516.79
2024-11-05,2514.17,2584.08,2371.67,2397.05
2024-11-09,2397.14,2973.56,2381.91,2955.98
2024-11-13,2956.99,3403.07,2956.99,3249.1
2024-11-17,3254.38,3342.69,3015.58,3128.61
2024-11-21,3130.15,3223.04,3037.27,3077.91
2024-11-25,3069.5,3489.22,3042.38,3355.47
2024-11-29,3360.3,3764.8,3270.87,3581.56
2024-12-03,3579.83,3749.35,3543.6,3638.0
2024-12-07,3645.5,4089.92,3526.74,4008.39
2024-12-11,4003.29,4026.58,3531.52,3621.51
2024-12-15,3623.52,3982.95,3570.2,3864.87
2024-12-19,3866.16,4094.69,3627.53,3627.53
2024-12-23,3626.03,3714.97,3116.97,3276.26
2024-12-27,3274.93,3534.1,3221.91,3327.1
2024-12-31,3329.05,3425.63,3295.24,3359.89
2025-01-04,3357.77,3624.9,3306.84,3603.16
2025-01-08,3607.06,3736.24,3368.69,3381.9
2025-01-12,3377.08,3410.5,3168.73,3283.98
2025-01-16,3284.09,3469.95,2996.88,3445.16
2025-01-20,3446.19,3516.24,3133.34,3278.03
2025-01-24,3251.17,3440.12,3172.23,3329.45
2025-01-28,3333.13,3418.99,3030.82,3174.9
2025-02-01,3180.99,3425.12,3047.14,3293.29
2025-02-05,3292.58,3330.62,2371.69,2730.04
2025-02-09,2737.64,2854.89,2570.77,2632.52
2025-02-13,2632.77,2782.51,2547.15,2731.09
2025-02-17,2732.1,2787.58,2621.04,2661.57
2025-02-21,2665.09,2826.53,2615.65,2740.84
2025-02-25,2741.37,2847.81,2507.4,2510.88
2025-03-01,2512.91,2571.33,2089.23,2234.14
2025-03-05,2236.82,2538.39,2002.23,2169.1
2025-03-09,2168.19,2317.83,2117.05,2198.94
2025-03-13,2197.8,2216.39,1786.24,1905.66
2025-03-17,1905.68,1957.86,1801.4,1887.14
2025-03-21,1889.2,2072.99,1867.72,1981.02
2025-03-25,1984.54,2099.1,1767.16,2074.38
2025-03-29,2077.81,2091.59,1831.35,1895.02
2025-04-02,1896.98,1923.05,1779.63,1906.83
2025-04-06,1906.07,2029.43,1759.34,1806.14
2025-04-10,1801.25,1814.22,1391.94,1662.81
2025-04-14,1662.51,1665.2,1481.87,1595.91
2025-04-18,1597.49,1701.8,1551.54,1583.35
2025-04-22,1583.97,1706.11,1493.48,1574.94
2025-04-26,1575.65,1830.16,1559.15,1788.99
2025-04-30,1787.46,1848.69,1753.47,1790.35
2025-05-04,1796.93,1871.52,1740.36,1828.51
2025-05-08,1828.51,1854.69,1759.98,1812.13
2025-05-12,1812.14,2587.17,1811.33,2511.2
2025-05-16,2513.53,2745.6,2425.79,2559.16
