date,open,high,low,close
2024-09-14,3.346e-05,6.067e-05,2.84e-05,3.23e-05
2024-09-18,3.248e-05,3.335e-05,1.187e-05,1.493e-05
2024-09-22,1.479e-05,1.945e-05,3.77e-06,6.19e-06
2024-09-26,6.21e-06,1.418e-05,5.54e-06,7.9e-06
2024-09-30,7.97e-06,8.41e-06,6.15e-06,6.31e-06
2024-10-04,6.31e-06,7.88e-06,4.44e-06,4.55e-06
2024-10-08,4.55e-06,5.88e-06,4.5e-06,5.67e-06
2024-10-12,5.67e-06,0.00043436,5.1e-06,5.52e-06
2024-10-16,5.53e-06,5.9e-06,4.64e-06,5.13e-06
2024-10-20,5.14e-06,0.00029605,4.17e-06,0.00026986
2024-10-24,0.00027028,0.00029585,4.12e-06,4.27e-06
2024-10-28,4.27e-06,0.00032407,3.76e-06,4.12e-06
2024-11-01,4.12e-06,0.00031088,3.87e-06,0.0002602
2024-11-05,0.00025995,0.00027382,0.00022131,0.00022374
2024-11-09,0.00022387,0.00024141,3.97e-06,0.00024019
2024-11-13,0.00024023,0.00029421,4.62e-06,5.1e-06
2024-11-17,5.07e-06,0.00028264,5.05e-06,0.00028248
2024-11-21,0.00028242,0.00028534,6.77e-06,7.57e-06
2024-11-25,7.46e-06,0.0002284,7.14e-06,7.64e-06
2024-11-29,7.63e-06,0.00030649,7.36e-06,0.00024031
2024-12-03,0.00024036,0.00024145,7.34e-06,8.98e-06
2024-12-07,8.98e-06,0.00027181,8.23e-06,9.11e-06
2024-12-11,9.11e-06,0.00025996,7.7e-06,8.1e-06
2024-12-15,8.11e-06,0.00026713,7.94e-06,8.42e-06
2024-12-19,8.42e-06,0.00034785,7.97e-06,0.00024106
2024-12-23,0.00024092,0.00024192,4.99e-06,0.00020125
2024-12-27,0.00020151,0.00020519,0.00018929,0.00019434
2024-12-31,0.00019427,0.00019706,5.09e-06,0.00018672
2025-01-04,0.00018661,0.00020675,4.96e-06,0.00019042
2025-01-08,0.00019061,0.00019642,0.00016611,0.00016645
2025-01-12,0.00016642,0.00017206,5.03e-06,5.07e-06
2025-01-16,5.07e-06,0.00016446,4.62e-06,5.17e-06
2025-01-20,5.18e-06,0.00031196,5.12e-06,0.00015852
2025-01-24,0.00016047,0.00018587,0.0001578,0.00016195
2025-01-28,0.00016197,0.00017059,4.1e-06,0.00016567
2025-02-01,0.0001655,0.00018475,3.5e-06,0.00016064
2025-02-05,0.00016117,0.00016117,0.00012837,0.00013725
2025-02-09,0.00013682,0.00013745,0.00013008,0.00013019
2025-02-13,0.00013012,0.00013259,0.00012894,0.0001298
2025-02-17,0.0001292,0.00013593,0.00012541,0.00012943
2025-02-21,0.0001293,0.00012951,0.0001152,0.00011863
2025-02-25,0.00011844,0.00011863,2.61e-06,2.61e-06
2025-03-01,2.62e-06,2.64e-06,2.32e-06,2.6e-06
2025-03-05,2.6e-06,2.94e-06,2.36e-06,2.42e-06
2025-03-09,2.54e-06,2.67e-06,2.24e-06,2.29e-06
2025-03-13,1.98e-06,2.26e-06,1.91e-06,2.26e-06
2025-03-17,2.26e-06,2.73e-06,1.93e-06,1.95e-06
2025-03-21,1.95e-06,1.98e-06,1.95e-06,1.97e-06
2025-03-29,2.12e-06,2.14e-06,1.97e-06,1.97e-06
2025-04-02,1.84e-06,1.9e-06,1.19e-06,1.19e-06
2025-04-06,1.19e-06,1.96e-06,1.18e-06,1.85e-06
2025-04-10,1.5e-06,1.63e-06,1.5e-06,1.58e-06
2025-04-14,1.67e-06,1.69e-06,1.65e-06,1.68e-06
2025-04-26,1.83e-06,1.83e-06,1.81e-06,1.81e-06
2025-04-30,1.81e-06,1.83e-06,1.81e-06,1.83e-06
2025-05-04,1.85e-06,1.89e-06,1.83e-06,1.85e-06
2025-05-08,1.85e-06,1.87e-06,1.85e-06,1.86e-06
2025-05-12,2.09e-06,2.55e-06,2.09e-06,2.5e-06
2025-05-16,2.57e-06,2.6e-06,2.47e-06,2.6e-06
