symbol,address,v24hUSD,liquidity
SOL,So11111111111111111111111111111111111111112,6439421844.942548,19150352950.323643
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3206549892.0477476,1319040500.7488108
USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,356853660.4006439,104110738.04372244
Fartcoin ,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,340838873.08113605,53593452.283697434
TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,210348661.40811184,426771309.8540897
PASTERNAK,Ey59PH7Z4BFU4HjyKnyMdWt5GGN76KazTAwQihoUXRnk,163086618.7503176,7745807.600928488
POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,145254747.7714718,23741938.636832625
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,117786769.4320293,25020608.01779859
GOONC,ENfpbQUM5xAnNP8ecyEQGFJ6KwbuPjMwv7ZjR29cDuAb,104462077.19474816,5575292.775543691
WBTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,82542032.5765019,12525008.62725299
Glonk,8yxD7uSEyEKpJqaSiunworBFzirAsRXKNjD2X1mdbonk,81608434.36006194,1832742.7801658632
JitoSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,63796424.38914314,73480637.61979993
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,61685823.989240915,26888624.860901836
WETH,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,52311505.79708773,8889458.458584653
USELESS,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,45913885.5335343,2083750.719594615
JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,40184792.1117052,15108615.503534002
DUPE,fRfKGCriduzDwSudCwpL7ySCEiboNuryhZDVJtr1a1C,39714124.174374886,3175008.088380497
gork,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,37225193.79141907,3413019.7481631297
House,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,36592606.79357121,3933336.55289511
MOODENG,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,36540523.95226081,8952243.634965904
$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,34265502.1310355,20013933.949990947
NOODLE,7cEgQdp8JTXvBrpjSzji7bLEeCHWENRwX62B2Ep97k5H,33764967.244541645,1258441.7240555517
ai16z,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,31733815.71669858,9512597.774407456
IKUN,AtortPA9SVbkKmdzu5zg4jxgkR4howvPshorA9jYbonk,29220731.30006903,501334.08669297426
BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,28768500.222704515,34694612.46536836
PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,28520021.555098496,12035120.995110188
STARTUP,97PVGU2DzFqsAWaYU17ZBqGvQFmkqtdMywYBNPAfy8vy,28392810.413056612,634104.0274672706
RAY,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,24220115.685619697,30271919.957981687
BUDDY,65svCEvM4HdBHXKDxfhjm3yw1A6mKXkdS6HXWXDQTSNA,23874304.19855577,1243386.968410857
Bonk,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,22420367.725398924,14283082.429247366
jellyjelly,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,22184993.91462572,4687103.206642677
FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,21061756.845816158,8601929.497513307
arc,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,20686999.64402511,9135577.324546315
FITCOIN,Cr2mM4szbt8286XMn7iTpY5A8S17LbGAu1UyodkyEwn4,19342763.679131314,1053007.5948798514
titcoin,FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump,17011927.971986882,3629791.5026904293
mSOL,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,16605608.874730052,45592826.70925519
